year,bula_h,regtyp,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No answer / don't know,Just Right,0.65502,132,132,0.57362,0.73643
1984,Hamburg,No answer / don't know,A Bit Too Small,0.18245,34,151,0.12064,0.24425
1984,Hamburg,No answer / don't know,Just Right,0.72236,117,151,0.65069,0.79403
1984,Lower Saxony,No answer / don't know,A Bit Too Small,0.10528,77,565,0.07995,0.13061
1984,Lower Saxony,No answer / don't know,Just Right,0.77848,448,565,0.74421,0.81276
1984,Lower Saxony,No answer / don't know,A Bit Too Large,0.07475,40,565,0.05304,0.09645
1984,Bremen,No answer / don't know,Just Right,0.81021,59,59,0.70929,0.91113
1984,North Rhine-Westphalia,No answer / don't know,Much Too Small,0.02427,65,1576,0.01667,0.03187
1984,North Rhine-Westphalia,No answer / don't know,A Bit Too Small,0.13043,256,1576,0.11380,0.14706
1984,North Rhine-Westphalia,No answer / don't know,Just Right,0.75470,1158,1576,0.73345,0.77595
1984,North Rhine-Westphalia,No answer / don't know,A Bit Too Large,0.07801,97,1576,0.06477,0.09126
1984,Hesse,No answer / don't know,A Bit Too Small,0.10048,89,521,0.07464,0.12632
1984,Hesse,No answer / don't know,Just Right,0.79701,432,521,0.76244,0.83159
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,A Bit Too Small,0.07280,39,373,0.04640,0.09920
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,Just Right,0.75728,292,373,0.71372,0.80085
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,A Bit Too Large,0.12203,42,373,0.08877,0.15529
1984,Baden-Wuerttemberg,No answer / don't know,Much Too Small,0.02223,39,1045,0.01329,0.03118
1984,Baden-Wuerttemberg,No answer / don't know,A Bit Too Small,0.11362,163,1045,0.09437,0.13287
1984,Baden-Wuerttemberg,No answer / don't know,Just Right,0.78184,792,1045,0.75678,0.80689
1984,Baden-Wuerttemberg,No answer / don't know,A Bit Too Large,0.07239,51,1045,0.05667,0.08810
1984,Bavaria,No answer / don't know,A Bit Too Small,0.14379,161,948,0.12145,0.16614
1984,Bavaria,No answer / don't know,Just Right,0.76053,731,948,0.73335,0.78771
1984,Bavaria,No answer / don't know,A Bit Too Large,0.06695,56,948,0.05104,0.08287
1984,Berlin,No answer / don't know,A Bit Too Small,0.21062,58,200,0.15396,0.26727
1984,Berlin,No answer / don't know,Just Right,0.69175,142,200,0.62759,0.75591
1985,Schleswig-Holstein,Urban regions,Just Right,0.74419,64,64,0.63645,0.85193
1985,Schleswig-Holstein,Rural regions,Just Right,0.74616,69,69,0.64271,0.84960
1985,Hamburg,Urban regions,A Bit Too Small,0.19601,36,137,0.12929,0.26273
1985,Hamburg,Urban regions,Just Right,0.68822,101,137,0.61037,0.76607
1985,Lower Saxony,Urban regions,Just Right,0.81027,196,196,0.75524,0.86530
1985,Lower Saxony,Rural regions,Just Right,0.77949,211,211,0.72341,0.83556
1985,Bremen,Urban regions,Just Right,0.83561,50,50,0.73183,0.93938
1985,North Rhine-Westphalia,Urban regions,Much Too Small,0.02693,54,1369,0.01836,0.03551
1985,North Rhine-Westphalia,Urban regions,A Bit Too Small,0.12610,217,1369,0.10851,0.14369
1985,North Rhine-Westphalia,Urban regions,Just Right,0.76334,1023,1369,0.74082,0.78586
1985,North Rhine-Westphalia,Urban regions,A Bit Too Large,0.06882,75,1369,0.05540,0.08223
1985,Hesse,Urban regions,A Bit Too Small,0.13096,81,407,0.09814,0.16377
1985,Hesse,Urban regions,Just Right,0.75485,326,407,0.71300,0.79669
1985,Hesse,Rural regions,Just Right,0.83735,53,53,0.73704,0.93766
1985,"Rhineland-Palatinate, Saarland",Urban regions,Just Right,0.78318,223,223,0.72898,0.83739
1985,"Rhineland-Palatinate, Saarland",Rural regions,Just Right,0.79732,48,48,0.68239,0.91225
1985,Baden-Wuerttemberg,Urban regions,A Bit Too Small,0.09332,108,770,0.07276,0.11388
1985,Baden-Wuerttemberg,Urban regions,Just Right,0.80579,624,770,0.77783,0.83375
1985,Baden-Wuerttemberg,Urban regions,A Bit Too Large,0.06393,38,770,0.04664,0.08123
1985,Baden-Wuerttemberg,Rural regions,Just Right,0.79741,103,103,0.71940,0.87541
1985,Bavaria,Urban regions,A Bit Too Small,0.13758,86,465,0.10624,0.16893
1985,Bavaria,Urban regions,Just Right,0.73929,339,465,0.69935,0.77924
1985,Bavaria,Urban regions,A Bit Too Large,0.08531,40,465,0.05989,0.11073
1985,Bavaria,Rural regions,A Bit Too Small,0.11207,51,360,0.07944,0.14470
1985,Bavaria,Rural regions,Just Right,0.77591,309,360,0.73277,0.81904
1985,Berlin,Urban regions,A Bit Too Small,0.17007,39,181,0.11519,0.22496
1985,Berlin,Urban regions,Just Right,0.75104,142,181,0.68787,0.81421
1986,Schleswig-Holstein,Urban regions,Just Right,0.78532,62,62,0.68228,0.88836
1986,Schleswig-Holstein,Rural regions,Just Right,0.73467,61,61,0.62295,0.84639
1986,Hamburg,Urban regions,A Bit Too Small,0.18945,31,131,0.12209,0.25682
1986,Hamburg,Urban regions,Just Right,0.73595,100,131,0.66017,0.81173
1986,Lower Saxony,Urban regions,Just Right,0.83218,208,208,0.78127,0.88309
1986,Lower Saxony,Rural regions,Just Right,0.78312,204,204,0.72643,0.83982
1986,Bremen,Urban regions,Just Right,0.79190,44,44,0.67056,0.91324
1986,North Rhine-Westphalia,Urban regions,Much Too Small,0.02114,39,1311,0.01335,0.02893
1986,North Rhine-Westphalia,Urban regions,A Bit Too Small,0.12413,194,1311,0.10627,0.14198
1986,North Rhine-Westphalia,Urban regions,Just Right,0.77633,1008,1311,0.75377,0.79890
1986,North Rhine-Westphalia,Urban regions,A Bit Too Large,0.06629,70,1311,0.05281,0.07976
1986,Hesse,Urban regions,A Bit Too Small,0.17017,86,382,0.13243,0.20790
1986,Hesse,Urban regions,Just Right,0.71889,296,382,0.67375,0.76403
