,Unnamed: 0,year,bula_h,sampreg,hgseval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Schleswig-Holstein,West,Just Right,1.0,132,5570,0.94074,1.06686
1,1,1984,Hamburg,West,A Bit Too Small,0.20164,34,5570,0.16957,0.23388
2,2,1984,Hamburg,West,Just Right,0.79836,117,5570,0.73236,0.87161
3,3,1984,Lower Saxony,West,A Bit Too Small,0.10983,77,5570,0.09643,0.12211
4,4,1984,Lower Saxony,West,Just Right,0.81218,448,5570,0.78843,0.84211
5,5,1984,Lower Saxony,West,A Bit Too Large,0.07798,40,5570,0.06911,0.08667
6,6,1984,Bremen,West,Just Right,1.0,59,5570,0.86248,1.11498
7,7,1984,North Rhine-Westphalia,West,Much Too Small,0.02458,65,5570,0.02034,0.02944
8,8,1984,North Rhine-Westphalia,West,A Bit Too Small,0.13209,256,5570,0.12272,0.14053
9,9,1984,North Rhine-Westphalia,West,Just Right,0.76432,1158,5570,0.73812,0.7886
10,10,1984,North Rhine-Westphalia,West,A Bit Too Large,0.07901,97,5570,0.07206,0.08476
11,11,1984,Hesse,West,A Bit Too Small,0.11195,89,5570,0.09458,0.12893
12,12,1984,Hesse,West,Just Right,0.88805,432,5570,0.84153,0.9316
13,13,1984,"Rhineland-Palatinate, Saarland",West,A Bit Too Small,0.07646,39,5570,0.06399,0.08896
14,14,1984,"Rhineland-Palatinate, Saarland",West,Just Right,0.79537,292,5570,0.76326,0.82598
15,15,1984,"Rhineland-Palatinate, Saarland",West,A Bit Too Large,0.12817,42,5570,0.11608,0.1394
16,16,1984,Baden-Wuerttemberg,West,Much Too Small,0.02246,39,5570,0.01603,0.02816
17,17,1984,Baden-Wuerttemberg,West,A Bit Too Small,0.11476,163,5570,0.10002,0.12665
18,18,1984,Baden-Wuerttemberg,West,Just Right,0.78967,792,5570,0.75378,0.82321
19,19,1984,Baden-Wuerttemberg,West,A Bit Too Large,0.07311,51,5570,0.06559,0.07916
20,20,1984,Bavaria,West,A Bit Too Small,0.14805,161,5570,0.13708,0.15775
21,21,1984,Bavaria,West,Just Right,0.78302,731,5570,0.75559,0.80658
22,22,1984,Bavaria,West,A Bit Too Large,0.06893,56,5570,0.06239,0.07575
23,23,1984,Berlin,West,A Bit Too Small,0.23341,58,5570,0.20433,0.26333
24,24,1984,Berlin,West,Just Right,0.76659,142,5570,0.71157,0.82114
25,25,1985,Schleswig-Holstein,West,Just Right,1.0,133,4933,0.92372,1.06322
