year,rentown,sampreg,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Owner,West,A Bit Too Small,0.08131,181,1985,0.06928,0.09333
1984,Owner,West,Just Right,0.78069,1573,1985,0.76248,0.79889
1984,Owner,West,A Bit Too Large,0.10868,196,1985,0.09498,0.12238
1984,Owner,West,Much Too Large,0.02154,35,1985,0.01515,0.02792
1984,Tenant,West,Much Too Small,0.03391,200,3830,0.02818,0.03964
1984,Tenant,West,A Bit Too Small,0.15449,733,3830,0.14304,0.16593
1984,Tenant,West,Just Right,0.74506,2730,3830,0.73126,0.75887
1984,Tenant,West,A Bit Too Large,0.05867,167,3830,0.05123,0.06612
1985,Owner,West,A Bit Too Small,0.06794,146,1816,0.05636,0.07952
1985,Owner,West,Just Right,0.80337,1489,1816,0.78508,0.82165
1985,Owner,West,A Bit Too Large,0.10715,181,1816,0.09292,0.12138
1985,Tenant,West,Much Too Small,0.03390,169,3357,0.02778,0.04003
1985,Tenant,West,A Bit Too Small,0.14339,613,3357,0.13153,0.15524
1985,Tenant,West,Just Right,0.75005,2420,3357,0.73540,0.76470
1985,Tenant,West,A Bit Too Large,0.06265,155,3357,0.05445,0.07085
1986,Owner,West,A Bit Too Small,0.06606,137,1788,0.05455,0.07758
1986,Owner,West,Just Right,0.79602,1463,1788,0.77734,0.81470
1986,Owner,West,A Bit Too Large,0.11578,188,1788,0.10095,0.13062
1986,Tenant,West,Much Too Small,0.02947,135,3150,0.02357,0.03538
1986,Tenant,West,A Bit Too Small,0.14774,562,3150,0.13535,0.16014
1986,Tenant,West,Just Right,0.75841,2317,3150,0.74346,0.77336
1986,Tenant,West,A Bit Too Large,0.05795,136,3150,0.04979,0.06611
1987,Owner,West,A Bit Too Small,0.06639,136,1789,0.05485,0.07793
1987,Owner,West,Just Right,0.79927,1466,1789,0.78071,0.81784
1987,Owner,West,A Bit Too Large,0.11525,187,1789,0.10045,0.13005
1987,Tenant,West,Much Too Small,0.02507,111,3102,0.01956,0.03057
1987,Tenant,West,A Bit Too Small,0.13679,529,3102,0.12469,0.14888
1987,Tenant,West,Just Right,0.77254,2319,3102,0.75779,0.78730
1987,Tenant,West,A Bit Too Large,0.06132,143,3102,0.05288,0.06977
1988,Owner,West,A Bit Too Small,0.06469,128,1709,0.05302,0.07635
1988,Owner,West,Just Right,0.80096,1406,1709,0.78203,0.81990
1988,Owner,West,A Bit Too Large,0.11288,175,1709,0.09787,0.12788
1988,Tenant,West,Much Too Small,0.02274,103,2991,0.01740,0.02808
1988,Tenant,West,A Bit Too Small,0.13570,486,2991,0.12343,0.14798
1988,Tenant,West,Just Right,0.77792,2262,2991,0.76302,0.79282
1988,Tenant,West,A Bit Too Large,0.06020,140,2991,0.05167,0.06872
