year,rentown,hgseval,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,Owner,Just Right,0.7853220169745382,5863,0.7748117496066093,0.7958322843424671
1984,Owner,A Bit Too Large,0.09785322016974538,5863,0.09024781620212693,0.10545862413736382
1984,Owner,A Bit Too Small,0.09036445332001997,5863,0.08302559254645313,0.0977033140935868
1984,Owner,Much Too Large,0.017473789316025962,5863,0.014119799464455175,0.02082777916759675
1984,Owner,Much Too Small,0.008986520219670495,5863,0.006570883163759174,0.011402157275581816
1984,Tenant,Just Right,0.7083549558899844,5863,0.6967204245694075,0.7199894872105613
1984,Tenant,A Bit Too Small,0.19019200830306177,5863,0.1801462370326179,0.20023777957350564
1984,Tenant,Much Too Small,0.05189413596263622,5863,0.04621628899141612,0.057571982933856326
1984,Tenant,A Bit Too Large,0.04333160352880124,5863,0.038119905811703936,0.04854330124589855
1984,Tenant,Much Too Large,0.006227296315516347,5863,0.00421362111382293,0.008240971517209764
1985,Owner,Just Right,0.8039956803455723,5272,0.7932797952127683,0.8147115654783764
1985,Owner,A Bit Too Large,0.09773218142548597,5272,0.08971623325264325,0.10574812959832869
1985,Owner,A Bit Too Small,0.07883369330453564,5272,0.07155935776723542,0.08610802884183587
1985,Owner,Much Too Large,0.011879049676025918,5272,0.008954464505674142,0.014803634846377695
1985,Owner,Much Too Small,0.00755939524838013,5272,0.0052212894464763165,0.009897501050283943
1985,Tenant,Just Right,0.7147076196101595,5272,0.7025183505661188,0.7268968886542002
1985,Tenant,A Bit Too Small,0.18103957471943297,5272,0.17064548194602014,0.1914336674928458
1985,Tenant,Much Too Small,0.04991139988186651,5272,0.04403311946798225,0.05578968029575077
1985,Tenant,A Bit Too Large,0.0457767277023036,5272,0.040134952925137066,0.051418502479470135
1985,Tenant,Much Too Large,0.008564678086237449,5272,0.006077218197167576,0.011052137975307321
1986,Owner,Just Right,0.8016438356164384,5039,0.7906335782265379,0.8126540930063388
1986,Owner,A Bit Too Large,0.10301369863013699,5039,0.09462056210120741,0.11140683515906656
1986,Owner,A Bit Too Small,0.07506849315068494,5039,0.06779291469751604,0.08234407160385383
1986,Owner,Much Too Large,0.01315068493150685,5039,0.010005229755815397,0.016296140107198303
1986,Owner,Much Too Small,0.007123287671232876,5039,0.004801236445898448,0.009445338896567304
1986,Tenant,Just Right,0.7318382817435249,5039,0.7196064966066452,0.7440700668804047
1986,Tenant,A Bit Too Small,0.17751105495893874,5039,0.16696083220249125,0.18806127771538622
1986,Tenant,A Bit Too Large,0.04295641187618446,5039,0.03735801413272127,0.04855480961964764
1986,Tenant,Much Too Small,0.04264055590650663,5039,0.037061858133236106,0.048219253679777155
1986,Tenant,Much Too Large,0.00505369551484523,5039,0.003095805687691391,0.0070115853419990696
1987,Owner,Just Right,0.8041689522764673,4975,0.7931415313227849,0.8151963732301498
1987,Owner,A Bit Too Large,0.10257816785518377,4975,0.09414704703119438,0.11100928867917316
1987,Owner,A Bit Too Small,0.0746023038946791,4975,0.0673010095721737,0.0819035982171845
1987,Owner,Much Too Large,0.012068019747668678,4975,0.009033841734358493,0.015102197760978863
1987,Owner,Much Too Small,0.006582556226001097,4975,0.00433545462923484,0.008829657822767354
1987,Tenant,Just Right,0.74446227929374,4975,0.7323421183740324,0.7565824402134476
1987,Tenant,A Bit Too Small,0.16982343499197433,4975,0.15938960937185656,0.1802572606120921
1987,Tenant,A Bit Too Large,0.045906902086677366,4975,0.04009131050661147,0.05172249366674326
1987,Tenant,Much Too Small,0.03563402889245586,4975,0.0304827752884652,0.040785282496446515
1987,Tenant,Much Too Large,0.004173354735152488,4975,0.0023819486269218084,0.005964760843383168
1988,Owner,Just Right,0.8061926605504587,4770,0.794975022788917,0.8174102983120004
1988,Owner,A Bit Too Large,0.1003440366972477,4770,0.09181733838243358,0.10887073501206182
1988,Owner,A Bit Too Small,0.07339449541284404,4770,0.06599373978169264,0.08079525104399544
1988,Owner,Much Too Large,0.012041284403669725,4770,0.008945984834015742,0.015136583973323708
