year,bula_h,quintil_oecd_hh,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Lower Saxony,2nd Quintile,Just Right,0.78536,78,78,0.69366,0.87707
1986,Lower Saxony,3rd Quintile,Just Right,0.73028,79,79,0.63179,0.82878
1986,Lower Saxony,4th Quintile,Just Right,0.78337,77,77,0.69075,0.87598
1986,Lower Saxony,5th Quintile,Just Right,0.84221,83,83,0.76330,0.92111
1986,North Rhine-Westphalia,1st Quintile,A Bit Too Small,0.14992,53,267,0.10702,0.19283
1986,North Rhine-Westphalia,1st Quintile,Just Right,0.75902,214,267,0.70762,0.81041
1986,North Rhine-Westphalia,2nd Quintile,A Bit Too Small,0.11755,40,240,0.07671,0.15838
1986,North Rhine-Westphalia,2nd Quintile,Just Right,0.80060,200,240,0.74995,0.85126
1986,North Rhine-Westphalia,3rd Quintile,A Bit Too Small,0.13741,45,258,0.09531,0.17950
1986,North Rhine-Westphalia,3rd Quintile,Just Right,0.79770,213,258,0.74859,0.84682
1986,North Rhine-Westphalia,4th Quintile,Just Right,0.81966,228,228,0.76964,0.86967
1986,North Rhine-Westphalia,5th Quintile,A Bit Too Small,0.12686,31,237,0.08440,0.16932
1986,North Rhine-Westphalia,5th Quintile,Just Right,0.70285,175,237,0.64454,0.76115
1986,North Rhine-Westphalia,5th Quintile,A Bit Too Large,0.14338,31,237,0.09866,0.18809
1986,Hesse,1st Quintile,Just Right,0.73879,74,74,0.63802,0.83957
1986,Hesse,2nd Quintile,Just Right,0.78692,74,74,0.69298,0.88085
1986,Hesse,3rd Quintile,Just Right,0.71908,48,48,0.59058,0.84757
1986,Hesse,4th Quintile,Just Right,0.74618,79,79,0.64960,0.84276
1986,Hesse,5th Quintile,Just Right,0.72490,72,72,0.62103,0.82878
1986,"Rhineland-Palatinate, Saarland",1st Quintile,Just Right,0.81623,56,56,0.71387,0.91859
1986,"Rhineland-Palatinate, Saarland",2nd Quintile,Just Right,0.82712,71,71,0.73854,0.91571
1986,"Rhineland-Palatinate, Saarland",3rd Quintile,Just Right,0.74856,52,52,0.62949,0.86763
1986,"Rhineland-Palatinate, Saarland",4th Quintile,Just Right,0.72357,48,48,0.59571,0.85144
