year,quintil_oecd_hh,regtyp,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,No answer / don't know,Much Too Small,0.03901,74,1202,0.02806,0.04996
1984,1st Quintile,No answer / don't know,A Bit Too Small,0.13167,205,1202,0.11255,0.15080
1984,1st Quintile,No answer / don't know,Just Right,0.75799,866,1202,0.73377,0.78222
1984,1st Quintile,No answer / don't know,A Bit Too Large,0.06306,57,1202,0.04931,0.07680
1984,2nd Quintile,No answer / don't know,Much Too Small,0.02418,53,1187,0.01544,0.03292
1984,2nd Quintile,No answer / don't know,A Bit Too Small,0.12394,208,1187,0.10519,0.14270
1984,2nd Quintile,No answer / don't know,Just Right,0.76370,858,1187,0.73952,0.78787
1984,2nd Quintile,No answer / don't know,A Bit Too Large,0.07701,68,1187,0.06184,0.09218
1984,3rd Quintile,No answer / don't know,Much Too Small,0.02228,39,1165,0.01380,0.03076
1984,3rd Quintile,No answer / don't know,A Bit Too Small,0.13634,196,1165,0.11663,0.15605
1984,3rd Quintile,No answer / don't know,Just Right,0.75156,852,1165,0.72673,0.77638
1984,3rd Quintile,No answer / don't know,A Bit Too Large,0.08240,78,1165,0.06660,0.09819
1984,4th Quintile,No answer / don't know,Much Too Small,0.01942,31,1171,0.01152,0.02733
1984,4th Quintile,No answer / don't know,A Bit Too Small,0.12320,168,1171,0.10437,0.14203
1984,4th Quintile,No answer / don't know,Just Right,0.75864,892,1171,0.73412,0.78316
1984,4th Quintile,No answer / don't know,A Bit Too Large,0.08519,80,1171,0.06919,0.10119
1984,5th Quintile,No answer / don't know,A Bit Too Small,0.11033,134,1033,0.09122,0.12945
1984,5th Quintile,No answer / don't know,Just Right,0.76497,820,1033,0.73910,0.79084
1984,5th Quintile,No answer / don't know,A Bit Too Large,0.08694,79,1033,0.06975,0.10413
1985,1st Quintile,Urban regions,Much Too Small,0.05034,63,800,0.03518,0.06550
1985,1st Quintile,Urban regions,A Bit Too Small,0.13449,155,800,0.11083,0.15814
1985,1st Quintile,Urban regions,Just Right,0.75676,582,800,0.72701,0.78651
1985,1st Quintile,Rural regions,Just Right,0.81057,188,188,0.75440,0.86673
1985,2nd Quintile,Urban regions,Much Too Small,0.02141,33,826,0.01153,0.03128
1985,2nd Quintile,Urban regions,A Bit Too Small,0.15004,152,826,0.12567,0.17441
1985,2nd Quintile,Urban regions,Just Right,0.75453,607,826,0.72516,0.78389
1985,2nd Quintile,Urban regions,A Bit Too Large,0.05960,34,826,0.04344,0.07575
1985,2nd Quintile,Rural regions,A Bit Too Small,0.11549,31,206,0.07174,0.15925
1985,2nd Quintile,Rural regions,Just Right,0.75304,175,206,0.69400,0.81207
1985,3rd Quintile,Urban regions,A Bit Too Small,0.10595,124,816,0.08482,0.12708
1985,3rd Quintile,Urban regions,Just Right,0.81397,650,816,0.78726,0.84069
1985,3rd Quintile,Urban regions,A Bit Too Large,0.05836,42,816,0.04227,0.07446
1985,3rd Quintile,Rural regions,Just Right,0.81236,177,177,0.75468,0.87004
1985,4th Quintile,Urban regions,A Bit Too Small,0.11173,117,831,0.09030,0.13317
1985,4th Quintile,Urban regions,Just Right,0.75755,648,831,0.72839,0.78671
1985,4th Quintile,Urban regions,A Bit Too Large,0.09576,66,831,0.07574,0.11578
1985,4th Quintile,Rural regions,Just Right,0.73852,133,133,0.66356,0.81349
1985,5th Quintile,Urban regions,A Bit Too Small,0.10604,97,763,0.08418,0.12790
1985,5th Quintile,Urban regions,Just Right,0.75959,597,763,0.72925,0.78993
1985,5th Quintile,Urban regions,A Bit Too Large,0.09888,69,763,0.07768,0.12007
1985,5th Quintile,Rural regions,Just Right,0.78042,147,147,0.71327,0.84757
1986,1st Quintile,Urban regions,Much Too Small,0.04159,45,753,0.02732,0.05586
1986,1st Quintile,Urban regions,A Bit Too Small,0.13554,138,753,0.11107,0.16001
1986,1st Quintile,Urban regions,Just Right,0.77367,570,753,0.74377,0.80358
1986,1st Quintile,Rural regions,A Bit Too Small,0.12929,33,185,0.08081,0.17777
1986,1st Quintile,Rural regions,Just Right,0.77799,152,185,0.71793,0.83804
1986,2nd Quintile,Urban regions,A Bit Too Small,0.11607,121,759,0.09327,0.13887
1986,2nd Quintile,Urban regions,Just Right,0.79702,599,759,0.76838,0.82565
1986,2nd Quintile,Urban regions,A Bit Too Large,0.06757,39,759,0.04970,0.08544
1986,2nd Quintile,Rural regions,Just Right,0.82327,188,188,0.76860,0.87794
1986,3rd Quintile,Urban regions,A Bit Too Small,0.14604,142,789,0.12138,0.17070
1986,3rd Quintile,Urban regions,Just Right,0.76643,612,789,0.73689,0.79597
1986,3rd Quintile,Urban regions,A Bit Too Large,0.05293,35,789,0.03730,0.06856
1986,3rd Quintile,Rural regions,Just Right,0.75785,155,155,0.69019,0.82551
1986,4th Quintile,Urban regions,A Bit Too Small,0.10791,104,796,0.08635,0.12948
1986,4th Quintile,Urban regions,Just Right,0.78588,639,796,0.75737,0.81440
1986,4th Quintile,Urban regions,A Bit Too Large,0.07956,53,796,0.06075,0.09837
1986,4th Quintile,Rural regions,Just Right,0.75199,143,143,0.68095,0.82302
1986,5th Quintile,Urban regions,A Bit Too Small,0.11394,90,757,0.09129,0.13659
1986,5th Quintile,Urban regions,Just Right,0.74148,587,757,0.71028,0.77269
1986,5th Quintile,Urban regions,A Bit Too Large,0.12076,80,757,0.09753,0.14399
1986,5th Quintile,Rural regions,Just Right,0.76360,135,135,0.69166,0.83554
1987,1st Quintile,Urban regions,Much Too Small,0.03945,34,725,0.02527,0.05363
1987,1st Quintile,Urban regions,A Bit Too Small,0.11905,128,725,0.09546,0.14264
1987,1st Quintile,Urban regions,Just Right,0.77555,532,725,0.74516,0.80594
1987,1st Quintile,Urban regions,A Bit Too Large,0.05946,31,725,0.04224,0.07669
1987,1st Quintile,Rural regions,A Bit Too Small,0.15178,40,191,0.10076,0.20280
1987,1st Quintile,Rural regions,Just Right,0.74364,151,191,0.68156,0.80573
1987,2nd Quintile,Urban regions,A Bit Too Small,0.10407,109,755,0.08228,0.12587
1987,2nd Quintile,Urban regions,Just Right,0.80760,606,755,0.77946,0.83574
1987,2nd Quintile,Urban regions,A Bit Too Large,0.06760,40,755,0.04968,0.08552
1987,2nd Quintile,Rural regions,Just Right,0.80524,174,174,0.74623,0.86425
1987,3rd Quintile,Urban regions,A Bit Too Small,0.12340,127,789,0.10044,0.14636
1987,3rd Quintile,Urban regions,Just Right,0.80233,629,789,0.77453,0.83014
1987,3rd Quintile,Urban regions,A Bit Too Large,0.05079,33,789,0.03546,0.06613
1987,3rd Quintile,Rural regions,Just Right,0.80379,169,169,0.74373,0.86384
1987,4th Quintile,Urban regions,A Bit Too Small,0.13136,118,800,0.10794,0.15479
1987,4th Quintile,Urban regions,Just Right,0.76986,629,800,0.74068,0.79905
1987,4th Quintile,Urban regions,A Bit Too Large,0.07648,53,800,0.05805,0.09491
1987,4th Quintile,Rural regions,Just Right,0.80087,158,158,0.73840,0.86333
1987,5th Quintile,Urban regions,A Bit Too Small,0.09690,79,774,0.07605,0.11776
1987,5th Quintile,Urban regions,Just Right,0.76289,617,774,0.73291,0.79288
1987,5th Quintile,Urban regions,A Bit Too Large,0.11988,78,774,0.09698,0.14278
1987,5th Quintile,Rural regions,Just Right,0.76904,119,119,0.69300,0.84509
1988,1st Quintile,Urban regions,Much Too Small,0.03066,32,704,0.01792,0.04340
1988,1st Quintile,Urban regions,A Bit Too Small,0.13019,126,704,0.10531,0.15507
1988,1st Quintile,Urban regions,Just Right,0.77718,546,704,0.74642,0.80794
1988,1st Quintile,Rural regions,A Bit Too Small,0.12534,33,190,0.07813,0.17254
1988,1st Quintile,Rural regions,Just Right,0.81145,157,190,0.75569,0.86722
1988,2nd Quintile,Urban regions,A Bit Too Small,0.10688,107,734,0.08451,0.12925
1988,2nd Quintile,Urban regions,Just Right,0.81422,596,734,0.78606,0.84237
1988,2nd Quintile,Urban regions,A Bit Too Large,0.05343,31,734,0.03715,0.06971
1988,2nd Quintile,Rural regions,Just Right,0.82609,157,157,0.76661,0.88557
1988,3rd Quintile,Urban regions,A Bit Too Small,0.13508,122,762,0.11080,0.15937
1988,3rd Quintile,Urban regions,Just Right,0.78453,605,762,0.75532,0.81375
1988,3rd Quintile,Urban regions,A Bit Too Large,0.05253,35,762,0.03668,0.06838
1988,3rd Quintile,Rural regions,Just Right,0.78375,155,155,0.71873,0.84877
1988,4th Quintile,Urban regions,A Bit Too Small,0.09214,81,753,0.07147,0.11281
1988,4th Quintile,Urban regions,Just Right,0.77510,606,753,0.74525,0.80494
1988,4th Quintile,Urban regions,A Bit Too Large,0.10588,66,753,0.08389,0.12787
1988,4th Quintile,Rural regions,Just Right,0.79387,157,157,0.73039,0.85735
1988,5th Quintile,Urban regions,A Bit Too Small,0.10866,84,731,0.08608,0.13124
1988,5th Quintile,Urban regions,Just Right,0.78295,581,731,0.75305,0.81286
1988,5th Quintile,Urban regions,A Bit Too Large,0.09782,66,731,0.07627,0.11937
1988,5th Quintile,Rural regions,Just Right,0.71264,107,107,0.62649,0.79879
1989,1st Quintile,Urban regions,Much Too Small,0.03225,33,701,0.01917,0.04534
1989,1st Quintile,Urban regions,A Bit Too Small,0.11286,122,701,0.08941,0.13630
1989,1st Quintile,Urban regions,Just Right,0.80840,546,701,0.77925,0.83756
1989,1st Quintile,Rural regions,Just Right,0.78217,136,136,0.71254,0.85180
1989,2nd Quintile,Urban regions,A Bit Too Small,0.13182,120,748,0.10756,0.15608
1989,2nd Quintile,Urban regions,Just Right,0.78963,592,748,0.76040,0.81885
1989,2nd Quintile,Urban regions,A Bit Too Large,0.05961,36,748,0.04263,0.07659
1989,2nd Quintile,Rural regions,Just Right,0.84306,163,163,0.78705,0.89908
1989,3rd Quintile,Urban regions,A Bit Too Small,0.10412,98,735,0.08202,0.12621
1989,3rd Quintile,Urban regions,Just Right,0.80013,595,735,0.77120,0.82906
1989,3rd Quintile,Urban regions,A Bit Too Large,0.06504,42,735,0.04720,0.08288
1989,3rd Quintile,Rural regions,Just Right,0.76936,146,146,0.70079,0.83792
1989,4th Quintile,Urban regions,A Bit Too Small,0.10813,82,732,0.08562,0.13064
1989,4th Quintile,Urban regions,Just Right,0.76904,591,732,0.73848,0.79959
1989,4th Quintile,Urban regions,A Bit Too Large,0.10090,59,732,0.07907,0.12273
1989,4th Quintile,Rural regions,Just Right,0.77308,149,149,0.70560,0.84056
1989,5th Quintile,Urban regions,A Bit Too Small,0.11117,82,697,0.08782,0.13453
1989,5th Quintile,Urban regions,Just Right,0.77631,549,697,0.74535,0.80726
1989,5th Quintile,Urban regions,A Bit Too Large,0.09777,66,697,0.07570,0.11983
1989,5th Quintile,Rural regions,Just Right,0.75072,105,105,0.66757,0.83386
1990,1st Quintile,Urban regions,Much Too Small,0.05216,49,773,0.03648,0.06785
1990,1st Quintile,Urban regions,A Bit Too Small,0.23323,198,773,0.20340,0.26306
1990,1st Quintile,Urban regions,Just Right,0.65472,487,773,0.62118,0.68826
1990,1st Quintile,Urban regions,A Bit Too Large,0.05384,39,773,0.03792,0.06977
1990,1st Quintile,Rural regions,Much Too Small,0.06369,102,1354,0.05068,0.07670
1990,1st Quintile,Rural regions,A Bit Too Small,0.19559,314,1354,0.17446,0.21673
1990,1st Quintile,Rural regions,Just Right,0.68240,890,1354,0.65760,0.70721
1990,1st Quintile,Rural regions,A Bit Too Large,0.04598,48,1354,0.03482,0.05714
1990,2nd Quintile,Urban regions,Much Too Small,0.02321,33,894,0.01333,0.03308
1990,2nd Quintile,Urban regions,A Bit Too Small,0.12333,139,894,0.10176,0.14489
1990,2nd Quintile,Urban regions,Just Right,0.78919,686,894,0.76244,0.81594
1990,2nd Quintile,Urban regions,A Bit Too Large,0.05594,36,894,0.04087,0.07102
1990,2nd Quintile,Rural regions,A Bit Too Small,0.14423,42,231,0.09882,0.18963
1990,2nd Quintile,Rural regions,Just Right,0.78754,189,231,0.73468,0.84041
1990,3rd Quintile,Urban regions,A Bit Too Small,0.10207,119,897,0.08224,0.12189
