,Unnamed: 0,year,hhtyp,quintil_oecd_hh,hgseval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Single-person household,1st Quintile,A Bit Too Small,0.11258,39,4826,0.10155,0.12407
1,1,1984,Single-person household,1st Quintile,Just Right,0.88742,256,4826,0.85328,0.91993
2,2,1984,Single-person household,2nd Quintile,Just Right,1.0,178,4826,0.95539,1.03842
3,3,1984,Single-person household,3rd Quintile,Just Right,1.0,181,4826,0.94702,1.04748
4,4,1984,Single-person household,4th Quintile,Just Right,1.0,164,4826,0.93001,1.06946
5,5,1984,Single-person household,5th Quintile,Just Right,1.0,162,4826,0.95929,1.03772
6,6,1984,Couple without children,1st Quintile,Just Right,1.0,134,4826,0.91984,1.0653
7,7,1984,Couple without children,2nd Quintile,Just Right,1.0,167,4826,0.9464,1.03983
8,8,1984,Couple without children,3rd Quintile,Just Right,1.0,207,4826,0.94736,1.05059
9,9,1984,Couple without children,4th Quintile,A Bit Too Small,0.12386,37,4826,0.10174,0.14407
10,10,1984,Couple without children,4th Quintile,Just Right,0.87614,238,4826,0.83139,0.92198
11,11,1984,Couple without children,5th Quintile,A Bit Too Small,0.14177,58,4826,0.13037,0.15163
12,12,1984,Couple without children,5th Quintile,Just Right,0.85823,323,4826,0.82893,0.88798
13,13,1984,Single parent,1st Quintile,Just Right,1.0,89,4826,0.91313,1.08252
14,14,1984,Single parent,2nd Quintile,Just Right,1.0,49,4826,0.90588,1.08481
15,15,1984,Single parent,3rd Quintile,Just Right,1.0,43,4826,0.89478,1.09897
16,16,1984,Single parent,4th Quintile,Just Right,1.0,35,4826,0.86527,1.10556
17,17,1984,Couple with children,1st Quintile,Much Too Small,0.08946,49,4826,0.06709,0.10786
18,18,1984,Couple with children,1st Quintile,A Bit Too Small,0.19877,111,4826,0.16581,0.23364
19,19,1984,Couple with children,1st Quintile,Just Right,0.71177,352,4826,0.65447,0.7733
20,20,1984,Couple with children,2nd Quintile,Much Too Small,0.04484,39,4826,0.03137,0.0556
21,21,1984,Couple with children,2nd Quintile,A Bit Too Small,0.21588,153,4826,0.19063,0.24076
22,22,1984,Couple with children,2nd Quintile,Just Right,0.73928,417,4826,0.70075,0.78003
23,23,1984,Couple with children,3rd Quintile,A Bit Too Small,0.19834,120,4826,0.18035,0.21919
24,24,1984,Couple with children,3rd Quintile,Just Right,0.80166,403,4826,0.76836,0.84179
25,25,1984,Couple with children,4th Quintile,A Bit Too Small,0.16776,97,4826,0.14846,0.18659
26,26,1984,Couple with children,4th Quintile,Just Right,0.83224,407,4826,0.79836,0.86915
27,27,1984,Couple with children,5th Quintile,A Bit Too Small,0.11599,42,4826,0.09689,0.13206
28,28,1984,Couple with children,5th Quintile,Just Right,0.88401,276,4826,0.85179,0.9149
29,29,1985,Single-person household,1st Quintile,A Bit Too Small,0.10218,34,4313,0.08915,0.11361
30,30,1985,Single-person household,1st Quintile,Just Right,0.89782,227,4313,0.86248,0.93361
31,31,1985,Single-person household,2nd Quintile,Just Right,1.0,161,4313,0.94789,1.05658
32,32,1985,Single-person household,3rd Quintile,Just Right,1.0,167,4313,0.93417,1.06139
33,33,1985,Single-person household,4th Quintile,Just Right,1.0,152,4313,0.92997,1.06726
34,34,1985,Single-person household,5th Quintile,Just Right,1.0,138,4313,0.95214,1.05355
35,35,1985,Couple without children,1st Quintile,Just Right,1.0,112,4313,0.92914,1.07314
36,36,1985,Couple without children,2nd Quintile,Just Right,1.0,162,4313,0.94472,1.05192
37,37,1985,Couple without children,3rd Quintile,Just Right,1.0,177,4313,0.95315,1.0473
38,38,1985,Couple without children,4th Quintile,Just Right,1.0,232,4313,0.9409,1.05217
39,39,1985,Couple without children,5th Quintile,A Bit Too Small,0.09084,41,4313,0.07744,0.1012
40,40,1985,Couple without children,5th Quintile,Just Right,0.79239,297,4313,0.76394,0.819
41,41,1985,Couple without children,5th Quintile,A Bit Too Large,0.11677,40,4313,0.10949,0.12485
42,42,1985,Single parent,1st Quintile,Just Right,1.0,72,4313,0.89465,1.10621
43,43,1985,Single parent,2nd Quintile,Just Right,1.0,44,4313,0.88855,1.11126
44,44,1985,Single parent,3rd Quintile,Just Right,1.0,40,4313,0.92109,1.11302
45,45,1985,Couple with children,1st Quintile,Much Too Small,0.08845,45,4313,0.06331,0.10949
46,46,1985,Couple with children,1st Quintile,A Bit Too Small,0.18188,103,4313,0.1516,0.2144
47,47,1985,Couple with children,1st Quintile,Just Right,0.72967,318,4313,0.65973,0.77966
48,48,1985,Couple with children,2nd Quintile,A Bit Too Small,0.24497,131,4313,0.2196,0.26981
49,49,1985,Couple with children,2nd Quintile,Just Right,0.75503,384,4313,0.70917,0.79403
50,50,1985,Couple with children,3rd Quintile,A Bit Too Small,0.16183,96,4313,0.1447,0.18176
51,51,1985,Couple with children,3rd Quintile,Just Right,0.83817,388,4313,0.79846,0.87891
52,52,1985,Couple with children,4th Quintile,A Bit Too Small,0.13998,74,4313,0.12507,0.15988
53,53,1985,Couple with children,4th Quintile,Just Right,0.78289,346,4313,0.73959,0.81677
54,54,1985,Couple with children,4th Quintile,A Bit Too Large,0.07713,31,4313,0.06877,0.08422
55,55,1985,Couple with children,5th Quintile,A Bit Too Small,0.11359,40,4313,0.09385,0.13191
56,56,1985,Couple with children,5th Quintile,Just Right,0.88641,261,4313,0.84805,0.92708
57,57,1986,Single-person household,1st Quintile,A Bit Too Small,0.13143,41,4094,0.10986,0.14941
58,58,1986,Single-person household,1st Quintile,Just Right,0.86857,212,4094,0.82699,0.90254
59,59,1986,Single-person household,2nd Quintile,Just Right,1.0,142,4094,0.95388,1.04777
60,60,1986,Single-person household,3rd Quintile,Just Right,1.0,155,4094,0.93067,1.07496
61,61,1986,Single-person household,4th Quintile,Just Right,1.0,160,4094,0.94378,1.05784
62,62,1986,Single-person household,5th Quintile,Just Right,1.0,121,4094,0.94271,1.05715
63,63,1986,Couple without children,1st Quintile,Just Right,1.0,122,4094,0.91254,1.07624
64,64,1986,Couple without children,2nd Quintile,Just Right,1.0,155,4094,0.92947,1.06974
65,65,1986,Couple without children,3rd Quintile,Just Right,1.0,167,4094,0.93477,1.05069
66,66,1986,Couple without children,4th Quintile,Just Right,1.0,233,4094,0.94487,1.05876
67,67,1986,Couple without children,5th Quintile,A Bit Too Small,0.10907,38,4094,0.09621,0.12365
68,68,1986,Couple without children,5th Quintile,Just Right,0.77774,297,4094,0.75099,0.80805
69,69,1986,Couple without children,5th Quintile,A Bit Too Large,0.11319,36,4094,0.10459,0.12155
70,70,1986,Single parent,1st Quintile,Just Right,1.0,72,4094,0.89502,1.09668
71,71,1986,Single parent,2nd Quintile,Just Right,1.0,41,4094,0.87386,1.12765
72,72,1986,Single parent,3rd Quintile,Just Right,1.0,45,4094,0.86587,1.13616
73,73,1986,Couple with children,1st Quintile,A Bit Too Small,0.20846,87,4094,0.17139,0.24492
74,74,1986,Couple with children,1st Quintile,Just Right,0.79154,287,4094,0.71855,0.86247
75,75,1986,Couple with children,2nd Quintile,A Bit Too Small,0.16566,100,4094,0.1415,0.19321
76,76,1986,Couple with children,2nd Quintile,Just Right,0.83434,397,4094,0.79038,0.88302
77,77,1986,Couple with children,3rd Quintile,A Bit Too Small,0.19999,103,4094,0.17555,0.22553
78,78,1986,Couple with children,3rd Quintile,Just Right,0.80001,360,4094,0.763,0.84444
79,79,1986,Couple with children,4th Quintile,A Bit Too Small,0.1228,61,4094,0.10285,0.14382
80,80,1986,Couple with children,4th Quintile,Just Right,0.8772,337,4094,0.83816,0.91377
81,81,1986,Couple with children,5th Quintile,A Bit Too Small,0.12467,39,4094,0.10449,0.142
82,82,1986,Couple with children,5th Quintile,Just Right,0.87533,253,4094,0.84734,0.92245
83,83,1986,Multi-generational household,2nd Quintile,Just Right,1.0,33,4094,0.7147,1.30381
84,84,1987,Single-person household,1st Quintile,A Bit Too Small,0.11729,38,4053,0.09807,0.13596
85,85,1987,Single-person household,1st Quintile,Just Right,0.88271,212,4053,0.84036,0.92463
86,86,1987,Single-person household,2nd Quintile,Just Right,1.0,157,4053,0.95295,1.04302
87,87,1987,Single-person household,3rd Quintile,Just Right,1.0,172,4053,0.93163,1.06131
88,88,1987,Single-person household,4th Quintile,A Bit Too Small,0.1862,36,4053,0.1561,0.21507
89,89,1987,Single-person household,4th Quintile,Just Right,0.8138,136,4053,0.76191,0.87265
90,90,1987,Single-person household,5th Quintile,Just Right,1.0,134,4053,0.94678,1.05409
91,91,1987,Couple without children,1st Quintile,Just Right,1.0,122,4053,0.91375,1.0683
92,92,1987,Couple without children,2nd Quintile,Just Right,1.0,142,4053,0.91678,1.08435
93,93,1987,Couple without children,3rd Quintile,Just Right,1.0,158,4053,0.94315,1.06312
94,94,1987,Couple without children,4th Quintile,Just Right,1.0,233,4053,0.94701,1.04936
95,95,1987,Couple without children,5th Quintile,A Bit Too Small,0.10593,40,4053,0.08973,0.12259
96,96,1987,Couple without children,5th Quintile,Just Right,0.7837,302,4053,0.74552,0.8232
97,97,1987,Couple without children,5th Quintile,A Bit Too Large,0.11037,37,4053,0.10146,0.12242
98,98,1987,Single parent,1st Quintile,Just Right,1.0,67,4053,0.89839,1.10311
99,99,1987,Single parent,2nd Quintile,Just Right,1.0,50,4053,0.8713,1.11192
100,100,1987,Single parent,3rd Quintile,Just Right,1.0,39,4053,0.8789,1.10738
101,101,1987,Couple with children,1st Quintile,A Bit Too Small,0.25724,92,4053,0.2161,0.30642
102,102,1987,Couple with children,1st Quintile,Just Right,0.74276,241,4053,0.67056,0.80802
103,103,1987,Couple with children,2nd Quintile,A Bit Too Small,0.15921,97,4053,0.13454,0.1861
104,104,1987,Couple with children,2nd Quintile,Just Right,0.84079,392,4053,0.79018,0.89724
105,105,1987,Couple with children,3rd Quintile,A Bit Too Small,0.18327,94,4053,0.1609,0.2045
106,106,1987,Couple with children,3rd Quintile,Just Right,0.81673,386,4053,0.77081,0.85632
107,107,1987,Couple with children,4th Quintile,A Bit Too Small,0.11929,60,4053,0.09995,0.14157
108,108,1987,Couple with children,4th Quintile,Just Right,0.88071,366,4053,0.82899,0.91567
109,109,1987,Couple with children,5th Quintile,Just Right,1.0,250,4053,0.9616,1.04582
110,110,1988,Single-person household,1st Quintile,A Bit Too Small,0.13347,36,3871,0.11526,0.15129
111,111,1988,Single-person household,1st Quintile,Just Right,0.86653,209,3871,0.82678,0.90821
112,112,1988,Single-person household,2nd Quintile,Just Right,1.0,159,3871,0.95579,1.04363
113,113,1988,Single-person household,3rd Quintile,Just Right,1.0,151,3871,0.93545,1.06091
114,114,1988,Single-person household,4th Quintile,Just Right,1.0,143,3871,0.92226,1.06266
115,115,1988,Single-person household,5th Quintile,Just Right,1.0,132,3871,0.94581,1.05166
116,116,1988,Couple without children,1st Quintile,Just Right,1.0,128,3871,0.91432,1.07531
117,117,1988,Couple without children,2nd Quintile,Just Right,1.0,143,3871,0.91895,1.06773
118,118,1988,Couple without children,3rd Quintile,Just Right,1.0,172,3871,0.93323,1.07119
119,119,1988,Couple without children,4th Quintile,Just Right,1.0,199,3871,0.92809,1.06646
120,120,1988,Couple without children,5th Quintile,A Bit Too Small,0.12883,42,3871,0.11328,0.14518
121,121,1988,Couple without children,5th Quintile,Just Right,0.87117,292,3871,0.8338,0.90503
122,122,1988,Single parent,1st Quintile,Just Right,1.0,64,3871,0.89712,1.12844
123,123,1988,Single parent,2nd Quintile,Just Right,1.0,46,3871,0.88142,1.12501
124,124,1988,Single parent,3rd Quintile,Just Right,1.0,40,3871,0.82614,1.16389
125,125,1988,Single parent,4th Quintile,Just Right,1.0,31,3871,0.86209,1.16226
126,126,1988,Couple with children,1st Quintile,A Bit Too Small,0.21566,89,3871,0.18205,0.25005
127,127,1988,Couple with children,1st Quintile,Just Right,0.78434,263,3871,0.71312,0.86356
128,128,1988,Couple with children,2nd Quintile,A Bit Too Small,0.1552,81,3871,0.12879,0.17897
129,129,1988,Couple with children,2nd Quintile,Just Right,0.8448,369,3871,0.79505,0.90641
130,130,1988,Couple with children,3rd Quintile,A Bit Too Small,0.17316,84,3871,0.14915,0.19427
131,131,1988,Couple with children,3rd Quintile,Just Right,0.82684,377,3871,0.77388,0.87466
132,132,1988,Couple with children,4th Quintile,A Bit Too Small,0.09601,45,3871,0.0775,0.11665
133,133,1988,Couple with children,4th Quintile,Just Right,0.90399,351,3871,0.85968,0.95402
134,134,1988,Couple with children,5th Quintile,Just Right,1.0,225,3871,0.9534,1.04903
135,135,1989,Single-person household,1st Quintile,A Bit Too Small,0.10712,33,3751,0.08632,0.12521
136,136,1989,Single-person household,1st Quintile,Just Right,0.89288,211,3751,0.85434,0.93352
137,137,1989,Single-person household,2nd Quintile,Just Right,1.0,162,3751,0.93559,1.05267
138,138,1989,Single-person household,3rd Quintile,Just Right,1.0,153,3751,0.93577,1.06658
139,139,1989,Single-person household,4th Quintile,Just Right,1.0,137,3751,0.91561,1.07253
140,140,1989,Single-person household,5th Quintile,Just Right,1.0,132,3751,0.93617,1.03976
