year,hhtyp,rentown,hgseval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1986,Couple with children,Owner,A Bit Too Small,0.09748,96,4795,0.09721,0.09776
1986,Couple with children,Owner,Just Right,0.81760,773,4795,0.81724,0.81795
1986,Couple with children,Owner,A Bit Too Large,0.08492,74,4795,0.08467,0.08518
1986,Couple with children,Tenant,Much Too Small,0.05141,79,4795,0.05119,0.05164
1986,Couple with children,Tenant,A Bit Too Small,0.21923,294,4795,0.21881,0.21965
1986,Couple with children,Tenant,Just Right,0.72936,860,4795,0.72890,0.72981
1986,Multi-generational household,Owner,Just Right,1.00000,48,4795,1.00000,1.00000
1986,Multi-generational household,Tenant,Just Right,1.00000,39,4795,1.00000,1.00000
1986,Other Combinations,Owner,Just Right,1.00000,37,4795,1.00000,1.00000
1986,Other Combinations,Tenant,Just Right,1.00000,57,4795,1.00000,1.00000
1987,Single-person household,Owner,Just Right,0.82613,171,4718,0.82560,0.82667
1987,Single-person household,Owner,A Bit Too Large,0.17387,35,4718,0.17333,0.17440
1987,Single-person household,Tenant,A Bit Too Small,0.11649,112,4718,0.11625,0.11673
1987,Single-person household,Tenant,Just Right,0.80018,641,4718,0.79989,0.80048
1987,Single-person household,Tenant,A Bit Too Large,0.08333,61,4718,0.08312,0.08353
1987,Couple without children,Owner,Just Right,0.85720,384,4718,0.85678,0.85761
1987,Couple without children,Owner,A Bit Too Large,0.14280,62,4718,0.14239,0.14322
1987,Couple without children,Tenant,A Bit Too Small,0.12506,88,4718,0.12472,0.12540
1987,Couple without children,Tenant,Just Right,0.81173,573,4718,0.81134,0.81213
1987,Couple without children,Tenant,A Bit Too Large,0.06320,42,4718,0.06296,0.06345
1987,Single parent,Owner,Just Right,1.00000,69,4718,1.00000,1.00000
1987,Single parent,Tenant,A Bit Too Small,0.14735,32,4718,0.14659,0.14810
1987,Single parent,Tenant,Just Right,0.85265,133,4718,0.85190,0.85341
1987,Couple with children,Owner,A Bit Too Small,0.09375,90,4718,0.09348,0.09402
1987,Couple with children,Owner,Just Right,0.82316,762,4718,0.82280,0.82351
1987,Couple with children,Owner,A Bit Too Large,0.08309,71,4718,0.08283,0.08335
1987,Couple with children,Tenant,Much Too Small,0.03967,60,4718,0.03947,0.03987
1987,Couple with children,Tenant,A Bit Too Small,0.20806,280,4718,0.20765,0.20847
1987,Couple with children,Tenant,Just Right,0.75227,873,4718,0.75183,0.75271
1987,Multi-generational household,Owner,Just Right,1.00000,47,4718,1.00000,1.00000
1987,Multi-generational household,Tenant,Just Right,1.00000,38,4718,1.00000,1.00000
1987,Other Combinations,Owner,Just Right,1.00000,33,4718,1.00000,1.00000
1987,Other Combinations,Tenant,Just Right,1.00000,61,4718,1.00000,1.00000
1988,Single-person household,Owner,Just Right,0.82658,171,4508,0.82606,0.82710
1988,Single-person household,Owner,A Bit Too Large,0.17342,35,4508,0.17290,0.17394
1988,Single-person household,Tenant,A Bit Too Small,0.11432,99,4508,0.11409,0.11456
1988,Single-person household,Tenant,Just Right,0.80110,624,4508,0.80081,0.80140
1988,Single-person household,Tenant,A Bit Too Large,0.08457,59,4508,0.08437,0.08478
1988,Couple without children,Owner,Just Right,0.85581,364,4508,0.85541,0.85622
1988,Couple without children,Owner,A Bit Too Large,0.14419,59,4508,0.14378,0.14459
1988,Couple without children,Tenant,A Bit Too Small,0.13493,95,4508,0.13459,0.13527
1988,Couple without children,Tenant,Just Right,0.81534,570,4508,0.81495,0.81573
1988,Couple without children,Tenant,A Bit Too Large,0.04973,38,4508,0.04951,0.04994
1988,Single parent,Owner,Just Right,1.00000,73,4508,1.00000,1.00000
1988,Single parent,Tenant,A Bit Too Small,0.17463,37,4508,0.17384,0.17541
1988,Single parent,Tenant,Just Right,0.82537,127,4508,0.82459,0.82616
1988,Couple with children,Owner,A Bit Too Small,0.09212,87,4508,0.09185,0.09239
1988,Couple with children,Owner,Just Right,0.82322,733,4508,0.82287,0.82357
1988,Couple with children,Owner,A Bit Too Large,0.08466,69,4508,0.08440,0.08492
1988,Couple with children,Tenant,Much Too Small,0.03148,51,4508,0.03130,0.03166
1988,Couple with children,Tenant,A Bit Too Small,0.19125,239,4508,0.19085,0.19165
1988,Couple with children,Tenant,Just Right,0.77727,852,4508,0.77684,0.77769
1988,Multi-generational household,Owner,Just Right,1.00000,37,4508,1.00000,1.00000
1988,Multi-generational household,Tenant,Just Right,1.00000,38,4508,1.00000,1.00000
1988,Other Combinations,Tenant,Just Right,1.00000,51,4508,1.00000,1.00000
1989,Single-person household,Owner,Just Right,0.79150,164,4349,0.79095,0.79205
1989,Single-person household,Owner,A Bit Too Large,0.20850,39,4349,0.20795,0.20905
1989,Single-person household,Tenant,A Bit Too Small,0.11518,105,4349,0.11494,0.11541
1989,Single-person household,Tenant,Just Right,0.81422,632,4349,0.81394,0.81450
1989,Single-person household,Tenant,A Bit Too Large,0.07060,52,4349,0.07042,0.07079
1989,Couple without children,Owner,Just Right,0.87480,364,4349,0.87442,0.87518
