,Unnamed: 0,year,bula_h,hgseval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Schleswig-Holstein,Just Right,1.0,132,5570,0.95619,1.0574
1,1,1984,Hamburg,A Bit Too Small,0.20164,34,5570,0.16612,0.23414
2,2,1984,Hamburg,Just Right,0.79836,117,5570,0.71589,0.86845
3,3,1984,Lower Saxony,A Bit Too Small,0.10983,77,5570,0.09747,0.12228
4,4,1984,Lower Saxony,Just Right,0.81218,448,5570,0.78481,0.84248
5,5,1984,Lower Saxony,A Bit Too Large,0.07798,40,5570,0.07022,0.08693
6,6,1984,Bremen,Just Right,1.0,59,5570,0.86347,1.10801
7,7,1984,North Rhine-Westphalia,Much Too Small,0.02458,65,5570,0.02036,0.02892
8,8,1984,North Rhine-Westphalia,A Bit Too Small,0.13209,256,5570,0.12121,0.14161
9,9,1984,North Rhine-Westphalia,Just Right,0.76432,1158,5570,0.74142,0.78947
10,10,1984,North Rhine-Westphalia,A Bit Too Large,0.07901,97,5570,0.07311,0.08495
11,11,1984,Hesse,A Bit Too Small,0.11195,89,5570,0.08942,0.13138
12,12,1984,Hesse,Just Right,0.88805,432,5570,0.83838,0.9321
13,13,1984,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.07646,39,5570,0.06213,0.08917
14,14,1984,"Rhineland-Palatinate, Saarland",Just Right,0.79537,292,5570,0.76504,0.82555
15,15,1984,"Rhineland-Palatinate, Saarland",A Bit Too Large,0.12817,42,5570,0.11702,0.13953
16,16,1984,Baden-Wuerttemberg,Much Too Small,0.02246,39,5570,0.01704,0.02873
17,17,1984,Baden-Wuerttemberg,A Bit Too Small,0.11476,163,5570,0.10191,0.1289
18,18,1984,Baden-Wuerttemberg,Just Right,0.78967,792,5570,0.75627,0.82551
19,19,1984,Baden-Wuerttemberg,A Bit Too Large,0.07311,51,5570,0.0647,0.08045
20,20,1984,Bavaria,A Bit Too Small,0.14805,161,5570,0.13617,0.15952
21,21,1984,Bavaria,Just Right,0.78302,731,5570,0.7572,0.80497
22,22,1984,Bavaria,A Bit Too Large,0.06893,56,5570,0.0622,0.07547
23,23,1984,Berlin,A Bit Too Small,0.23341,58,5570,0.2048,0.26344
24,24,1984,Berlin,Just Right,0.76659,142,5570,0.70024,0.82442
25,25,1985,Schleswig-Holstein,Just Right,1.0,133,4933,0.92302,1.07559
26,26,1985,Hamburg,A Bit Too Small,0.22358,37,4933,0.17575,0.26262
27,27,1985,Hamburg,Just Right,0.77642,103,4933,0.69913,0.85076
28,28,1985,Lower Saxony,A Bit Too Small,0.07679,47,4933,0.06747,0.08539
29,29,1985,Lower Saxony,Just Right,0.81136,407,4933,0.77657,0.84617
30,30,1985,Lower Saxony,A Bit Too Large,0.11185,48,4933,0.10014,0.12316
31,31,1985,Bremen,Just Right,1.0,50,4933,0.86605,1.10865
32,32,1985,North Rhine-Westphalia,Much Too Small,0.02657,54,4933,0.02178,0.0316
33,33,1985,North Rhine-Westphalia,A Bit Too Small,0.12788,222,4933,0.11867,0.13826
34,34,1985,North Rhine-Westphalia,Just Right,0.77553,1049,4933,0.74979,0.79693
35,35,1985,North Rhine-Westphalia,A Bit Too Large,0.07002,78,4933,0.06294,0.07671
36,36,1985,Hesse,A Bit Too Small,0.13042,89,4933,0.10898,0.15062
37,37,1985,Hesse,Just Right,0.86958,379,4933,0.80735,0.93398
38,38,1985,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.08982,34,4933,0.07117,0.10696
39,39,1985,"Rhineland-Palatinate, Saarland",Just Right,0.91018,271,4933,0.86795,0.95317
40,40,1985,Baden-Wuerttemberg,A Bit Too Small,0.09697,124,4933,0.08476,0.11049
41,41,1985,Baden-Wuerttemberg,Just Right,0.83316,727,4933,0.78159,0.8761
42,42,1985,Baden-Wuerttemberg,A Bit Too Large,0.06987,47,4933,0.06204,0.07661
43,43,1985,Bavaria,A Bit Too Small,0.1296,137,4933,0.11759,0.14045
44,44,1985,Bavaria,Just Right,0.78094,648,4933,0.74871,0.81231
45,45,1985,Bavaria,A Bit Too Large,0.08947,68,4933,0.07928,0.09974
46,46,1985,Berlin,A Bit Too Small,0.18464,39,4933,0.15433,0.21388
47,47,1985,Berlin,Just Right,0.81536,142,4933,0.74678,0.88719
48,48,1986,Schleswig-Holstein,Just Right,1.0,123,4731,0.91112,1.08988
49,49,1986,Hamburg,A Bit Too Small,0.20664,32,4731,0.17424,0.25205
50,50,1986,Hamburg,Just Right,0.79336,102,4731,0.70704,0.87185
51,51,1986,Lower Saxony,A Bit Too Small,0.06525,38,4731,0.05445,0.07735
52,52,1986,Lower Saxony,Just Right,0.82172,412,4731,0.78071,0.85667
53,53,1986,Lower Saxony,A Bit Too Large,0.11303,49,4731,0.10061,0.12702
54,54,1986,Bremen,Just Right,1.0,44,4731,0.84793,1.12048
55,55,1986,North Rhine-Westphalia,Much Too Small,0.02084,39,4731,0.01602,0.02562
56,56,1986,North Rhine-Westphalia,A Bit Too Small,0.12548,198,4731,0.11463,0.1356
57,57,1986,North Rhine-Westphalia,Just Right,0.78629,1032,4731,0.75835,0.81548
58,58,1986,North Rhine-Westphalia,A Bit Too Large,0.06738,73,4731,0.05905,0.075
59,59,1986,Hesse,A Bit Too Small,0.1673,95,4731,0.14286,0.19727
60,60,1986,Hesse,Just Right,0.8327,347,4731,0.78163,0.89259
61,61,1986,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.10466,37,4731,0.08873,0.12094
62,62,1986,"Rhineland-Palatinate, Saarland",Just Right,0.89534,274,4731,0.83736,0.9458
63,63,1986,Baden-Wuerttemberg,A Bit Too Small,0.09319,113,4731,0.08023,0.10588
64,64,1986,Baden-Wuerttemberg,Just Right,0.82924,696,4731,0.79063,0.87169
65,65,1986,Baden-Wuerttemberg,A Bit Too Large,0.07757,48,4731,0.06855,0.08622
66,66,1986,Bavaria,A Bit Too Small,0.12671,120,4731,0.11622,0.13931
67,67,1986,Bavaria,Just Right,0.77934,612,4731,0.75075,0.81568
68,68,1986,Bavaria,A Bit Too Large,0.09396,66,4731,0.08429,0.10298
69,69,1986,Berlin,A Bit Too Small,0.20064,40,4731,0.16931,0.24161
70,70,1986,Berlin,Just Right,0.79936,141,4731,0.72793,0.87237
71,71,1987,Schleswig-Holstein,Just Right,1.0,126,4672,0.93299,1.08295
72,72,1987,Hamburg,Just Right,1.0,95,4672,0.90054,1.11928
73,73,1987,Lower Saxony,A Bit Too Small,0.07832,43,4672,0.06647,0.09065
74,74,1987,Lower Saxony,Just Right,0.80477,400,4672,0.76374,0.84146
75,75,1987,Lower Saxony,A Bit Too Large,0.11691,52,4672,0.10637,0.13469
76,76,1987,Bremen,Just Right,1.0,47,4672,0.86041,1.12568
77,77,1987,North Rhine-Westphalia,Much Too Small,0.01944,32,4672,0.01486,0.02533
78,78,1987,North Rhine-Westphalia,A Bit Too Small,0.11029,182,4672,0.09984,0.12125
79,79,1987,North Rhine-Westphalia,Just Right,0.79727,1039,4672,0.77282,0.82323
80,80,1987,North Rhine-Westphalia,A Bit Too Large,0.073,79,4672,0.06553,0.08098
81,81,1987,Hesse,A Bit Too Small,0.15341,89,4672,0.12452,0.18027
82,82,1987,Hesse,Just Right,0.84659,345,4672,0.79228,0.90224
83,83,1987,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.09318,37,4672,0.07238,0.11129
84,84,1987,"Rhineland-Palatinate, Saarland",Just Right,0.90682,273,4672,0.85365,0.94915
85,85,1987,Baden-Wuerttemberg,A Bit Too Small,0.09421,112,4672,0.07936,0.10778
86,86,1987,Baden-Wuerttemberg,Just Right,0.83461,700,4672,0.79069,0.8745
87,87,1987,Baden-Wuerttemberg,A Bit Too Large,0.07118,44,4672,0.06198,0.08199
88,88,1987,Bavaria,A Bit Too Small,0.12922,119,4672,0.11665,0.14262
89,89,1987,Bavaria,Just Right,0.78928,620,4672,0.76142,0.8225
90,90,1987,Bavaria,A Bit Too Large,0.0815,60,4672,0.07294,0.08955
91,91,1987,Berlin,A Bit Too Small,0.19054,37,4672,0.15139,0.23313
92,92,1987,Berlin,Just Right,0.80946,141,4672,0.73939,0.89036
93,93,1988,Schleswig-Holstein,Just Right,1.0,122,4493,0.92399,1.07993
94,94,1988,Hamburg,Just Right,1.0,93,4493,0.87849,1.10934
95,95,1988,Lower Saxony,A Bit Too Small,0.07129,38,4493,0.06205,0.08291
96,96,1988,Lower Saxony,Just Right,0.82028,387,4493,0.77993,0.86082
97,97,1988,Lower Saxony,A Bit Too Large,0.10843,47,4493,0.09486,0.12425
98,98,1988,Bremen,Just Right,1.0,45,4493,0.85797,1.11534
99,99,1988,North Rhine-Westphalia,A Bit Too Small,0.11461,171,4493,0.1035,0.12751
100,100,1988,North Rhine-Westphalia,Just Right,0.81675,999,4493,0.78987,0.84581
101,101,1988,North Rhine-Westphalia,A Bit Too Large,0.06864,73,4493,0.06096,0.07695
102,102,1988,Hesse,A Bit Too Small,0.12566,81,4493,0.10451,0.14778
103,103,1988,Hesse,Just Right,0.77232,330,4493,0.71418,0.83085
104,104,1988,Hesse,A Bit Too Large,0.10203,32,4493,0.08293,0.11962
105,105,1988,"Rhineland-Palatinate, Saarland",A Bit Too Small,0.09236,32,4493,0.07355,0.11231
106,106,1988,"Rhineland-Palatinate, Saarland",Just Right,0.90764,264,4493,0.85303,0.95117
107,107,1988,Baden-Wuerttemberg,A Bit Too Small,0.10017,106,4493,0.0856,0.116
108,108,1988,Baden-Wuerttemberg,Just Right,0.83638,694,4493,0.7918,0.87883
109,109,1988,Baden-Wuerttemberg,A Bit Too Large,0.06345,38,4493,0.05506,0.07198
110,110,1988,Bavaria,A Bit Too Small,0.12076,110,4493,0.10578,0.13685
111,111,1988,Bavaria,Just Right,0.78923,600,4493,0.75704,0.82555
112,112,1988,Bavaria,A Bit Too Large,0.09001,61,4493,0.08046,0.0994
113,113,1988,Berlin,A Bit Too Small,0.20046,36,4493,0.15795,0.2476
114,114,1988,Berlin,Just Right,0.79954,134,4493,0.73179,0.86812
115,115,1989,Schleswig-Holstein,Just Right,1.0,115,4317,0.91234,1.09071
116,116,1989,Hamburg,Just Right,1.0,88,4317,0.87485,1.11333
117,117,1989,Lower Saxony,A Bit Too Small,0.07828,41,4317,0.06835,0.09038
118,118,1989,Lower Saxony,Just Right,0.79346,373,4317,0.75519,0.84267
119,119,1989,Lower Saxony,A Bit Too Large,0.12825,56,4317,0.11553,0.14435
120,120,1989,Bremen,Just Right,1.0,48,4317,0.88823,1.11288
121,121,1989,North Rhine-Westphalia,A Bit Too Small,0.11449,161,4317,0.10277,0.12648
122,122,1989,North Rhine-Westphalia,Just Right,0.82112,980,4317,0.7923,0.84656
123,123,1989,North Rhine-Westphalia,A Bit Too Large,0.06439,65,4317,0.05713,0.07273
124,124,1989,Hesse,A Bit Too Small,0.14649,86,4317,0.11455,0.17139
125,125,1989,Hesse,Just Right,0.85351,334,4317,0.79231,0.91424
126,126,1989,"Rhineland-Palatinate, Saarland",Just Right,1.0,253,4317,0.94394,1.07415
127,127,1989,Baden-Wuerttemberg,A Bit Too Small,0.0765,90,4317,0.06258,0.09198
128,128,1989,Baden-Wuerttemberg,Just Right,0.85983,670,4317,0.81268,0.91125
129,129,1989,Baden-Wuerttemberg,A Bit Too Large,0.06366,40,4317,0.05409,0.07333
130,130,1989,Bavaria,A Bit Too Small,0.1253,112,4317,0.11166,0.14219
131,131,1989,Bavaria,Just Right,0.785,581,4317,0.75379,0.81337
132,132,1989,Bavaria,A Bit Too Large,0.0897,59,4317,0.08103,0.0992
133,133,1989,Berlin,A Bit Too Small,0.20349,34,4317,0.15196,0.25428
134,134,1989,Berlin,Just Right,0.79651,131,4317,0.71468,0.86682
135,135,1990,Schleswig-Holstein,Just Right,1.0,113,6207,0.93037,1.10058
136,136,1990,Hamburg,Just Right,1.0,82,6207,0.8903,1.13735
137,137,1990,Lower Saxony,A Bit Too Small,0.09052,46,6207,0.07894,0.10256
138,138,1990,Lower Saxony,Just Right,0.78737,370,6207,0.73888,0.82957
139,139,1990,Lower Saxony,A Bit Too Large,0.12211,52,6207,0.10799,0.13934
140,140,1990,Bremen,Just Right,1.0,46,6207,0.8775,1.11511
141,141,1990,North Rhine-Westphalia,A Bit Too Small,0.11149,146,6207,0.09999,0.12507
142,142,1990,North Rhine-Westphalia,Just Right,0.82958,975,6207,0.79593,0.85895
143,143,1990,North Rhine-Westphalia,A Bit Too Large,0.05893,60,6207,0.0521,0.06626
144,144,1990,Hesse,A Bit Too Small,0.14774,80,6207,0.1231,0.17587
