year,quintil_oecd_hh,rentown,hgseval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Owner,Just Right,0.80464,215,215,0.75152,0.85776
1984,1st Quintile,Tenant,Much Too Small,0.05133,71,943,0.03723,0.06542
1984,1st Quintile,Tenant,A Bit Too Small,0.15978,186,943,0.13639,0.18318
1984,1st Quintile,Tenant,Just Right,0.73876,651,943,0.71071,0.76682
1984,1st Quintile,Tenant,A Bit Too Large,0.04881,35,943,0.03505,0.06257
1984,2nd Quintile,Owner,A Bit Too Small,0.08615,38,365,0.05732,0.11497
1984,2nd Quintile,Owner,Just Right,0.77630,290,365,0.73349,0.81911
1984,2nd Quintile,Owner,A Bit Too Large,0.11183,37,365,0.07945,0.14421
1984,2nd Quintile,Tenant,Much Too Small,0.03352,49,818,0.02118,0.04587
1984,2nd Quintile,Tenant,A Bit Too Small,0.14690,170,818,0.12263,0.17118
1984,2nd Quintile,Tenant,Just Right,0.75569,568,818,0.72623,0.78515
1984,2nd Quintile,Tenant,A Bit Too Large,0.05578,31,818,0.04004,0.07151
1984,3rd Quintile,Owner,A Bit Too Small,0.10860,47,389,0.07764,0.13956
1984,3rd Quintile,Owner,Just Right,0.76832,306,389,0.72634,0.81030
1984,3rd Quintile,Owner,A Bit Too Large,0.09841,36,389,0.06877,0.12805
1984,3rd Quintile,Tenant,Much Too Small,0.02968,34,771,0.01769,0.04166
1984,3rd Quintile,Tenant,A Bit Too Small,0.15343,149,771,0.12798,0.17889
1984,3rd Quintile,Tenant,Just Right,0.73757,546,771,0.70649,0.76864
1984,3rd Quintile,Tenant,A Bit Too Large,0.07182,42,771,0.05359,0.09006
1984,4th Quintile,Owner,A Bit Too Small,0.06880,33,428,0.04479,0.09280
1984,4th Quintile,Owner,Just Right,0.78276,347,428,0.74364,0.82187
1984,4th Quintile,Owner,A Bit Too Large,0.12212,48,428,0.09106,0.15317
1984,4th Quintile,Tenant,A Bit Too Small,0.16288,135,712,0.13573,0.19002
1984,4th Quintile,Tenant,Just Right,0.73951,545,712,0.70724,0.77177
1984,4th Quintile,Tenant,A Bit Too Large,0.05794,32,712,0.04076,0.07511
1984,5th Quintile,Owner,A Bit Too Small,0.07810,44,510,0.05479,0.10142
1984,5th Quintile,Owner,Just Right,0.77599,413,510,0.73977,0.81221
1984,5th Quintile,Owner,A Bit Too Large,0.11003,53,510,0.08284,0.13722
1984,5th Quintile,Tenant,A Bit Too Small,0.14636,90,497,0.11526,0.17747
1984,5th Quintile,Tenant,Just Right,0.75247,407,497,0.71449,0.79046
1985,1st Quintile,Owner,Just Right,0.84222,195,195,0.79093,0.89352
1985,1st Quintile,Tenant,Much Too Small,0.04868,63,802,0.03378,0.06358
1985,1st Quintile,Tenant,A Bit Too Small,0.14483,164,802,0.12046,0.16920
1985,1st Quintile,Tenant,Just Right,0.74049,575,802,0.71013,0.77085
1985,2nd Quintile,Owner,A Bit Too Small,0.12578,43,288,0.08742,0.16414
1985,2nd Quintile,Owner,Just Right,0.74249,245,288,0.69190,0.79308
1985,2nd Quintile,Tenant,Much Too Small,0.02791,35,712,0.01580,0.04001
1985,2nd Quintile,Tenant,A Bit Too Small,0.14866,140,712,0.12251,0.17481
1985,2nd Quintile,Tenant,Just Right,0.75411,537,712,0.72246,0.78576
1985,3rd Quintile,Owner,A Bit Too Small,0.07119,33,376,0.04516,0.09722
1985,3rd Quintile,Owner,Just Right,0.81087,309,376,0.77124,0.85051
1985,3rd Quintile,Owner,A Bit Too Large,0.09240,34,376,0.06309,0.12171
1985,3rd Quintile,Tenant,Much Too Small,0.02835,31,663,0.01570,0.04099
1985,3rd Quintile,Tenant,A Bit Too Small,0.11494,114,663,0.09064,0.13923
1985,3rd Quintile,Tenant,Just Right,0.80059,518,663,0.77016,0.83103
1985,4th Quintile,Owner,Just Right,0.79864,343,393,0.75894,0.83834
1985,4th Quintile,Owner,A Bit Too Large,0.12352,50,393,0.09095,0.15609
1985,4th Quintile,Tenant,A Bit Too Small,0.15352,112,586,0.12431,0.18274
1985,4th Quintile,Tenant,Just Right,0.71263,438,586,0.67596,0.74930
1985,4th Quintile,Tenant,A Bit Too Large,0.08573,36,586,0.06304,0.10842
1985,5th Quintile,Owner,Just Right,0.79892,396,450,0.76185,0.83600
