year,quintil_oecd_hh,hgseval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Much Too Small,0.008430164892070697,76,5842,0.008394541093570592,0.008465788690570802
1984,1st Quintile,A Bit Too Small,0.026422198180743522,198,5842,0.02635970532917795,0.026484691032309094
1984,1st Quintile,Just Right,0.15389211378638634,864,5842,0.15375151499364006,0.15403271257913262
1984,1st Quintile,A Bit Too Large,0.013049185274981986,58,5842,0.013004967183759476,0.013093403366204497
1984,2nd Quintile,Much Too Small,0.004653646773602809,52,5842,0.004627128554143094,0.004680164993062525
1984,2nd Quintile,A Bit Too Small,0.025640341400301758,215,5842,0.025578755387672413,0.025701927412931102
1984,2nd Quintile,Just Right,0.15491457179693585,853,5842,0.15477359196784082,0.15505555162603088
1984,2nd Quintile,A Bit Too Large,0.015617033736080383,68,5842,0.015568723199970557,0.01566534427219021
1984,3rd Quintile,Much Too Small,0.003960536840899913,38,5842,0.0039360644816620605,0.003985009200137765
1984,3rd Quintile,A Bit Too Small,0.026871687215786262,191,5842,0.026808679598036674,0.02693469483353585
1984,3rd Quintile,Just Right,0.1542755428020086,862,5842,0.15413480086488235,0.15441628473913482
1984,3rd Quintile,A Bit Too Large,0.01636765250818821,75,5842,0.016318213455905874,0.016417091560470547
1984,4th Quintile,Much Too Small,0.004313414693130782,32,5842,0.0042878798924400365,0.004338949493821527
1984,4th Quintile,A Bit Too Small,0.02567090362908922,174,5842,0.025609281889849192,0.025732525368329248
1984,4th Quintile,Just Right,0.15302834778259933,890,5842,0.1528880725751056,0.15316862299009307
1984,4th Quintile,A Bit Too Large,0.017213338840354385,81,5842,0.01716266046039654,0.01726401722031223
1984,5th Quintile,A Bit Too Small,0.022467840968363035,133,5842,0.022410096985586485,0.022525584951139585
1984,5th Quintile,Just Right,0.15529339128470426,819,5842,0.15515227082882702,0.1554345117405815
1984,5th Quintile,A Bit Too Large,0.017918087593772607,80,5842,0.017866400725181066,0.017969774462364148
1985,1st Quintile,Much Too Small,0.008087353118865001,67,5265,0.008052648964168943,0.00812205727356106
1985,1st Quintile,A Bit Too Small,0.02514082277333922,182,5265,0.025080162796631195,0.025201482750047244
1985,1st Quintile,Just Right,0.15739543062110686,765,5265,0.1572543233091651,0.15753653793304861
1985,1st Quintile,A Bit Too Large,0.013034158246253126,49,5265,0.012990210752856206,0.013078105739650046
1985,2nd Quintile,Much Too Small,0.004194581279007371,38,5265,0.004169539043044973,0.0042196235149697696
1985,2nd Quintile,A Bit Too Small,0.02816532300967468,181,5265,0.02810121753540254,0.02822942848394682
1985,2nd Quintile,Just Right,0.15719389995208416,791,5265,0.15705286614376238,0.15733493376040594
1985,2nd Quintile,A Bit Too Large,0.012260512668075018,47,5265,0.012217872679763524,0.012303152656386512
1985,3rd Quintile,A Bit Too Small,0.021010115478142622,150,5265,0.020954544905047688,0.021065686051237556
1985,3rd Quintile,Just Right,0.16339365018627502,814,5265,0.1632503919106077,0.16353690846194235
1985,3rd Quintile,A Bit Too Large,0.015088916514716258,63,5265,0.015041680951953415,0.015136152077479101
1985,4th Quintile,A Bit Too Small,0.021977292919517034,136,5265,0.021920485753863534,0.022034100085170535
1985,4th Quintile,Just Right,0.15444324948487193,789,5265,0.1543032271228136,0.15458327184693024
1985,4th Quintile,A Bit Too Large,0.02006912145368086,86,5265,0.020014783477912496,0.020123459429449223
1985,5th Quintile,A Bit Too Small,0.01965863697996013,109,5265,0.019604846314302198,0.019712427645618064
1985,5th Quintile,Just Right,0.15696383511532816,745,5265,0.15682288531753902,0.1571047849131173
1985,5th Quintile,A Bit Too Large,0.021923100199102537,91,5265,0.021866361543776754,0.02197983885442832
1986,1st Quintile,Much Too Small,0.007217198973768707,51,5034,0.0071846613851037425,0.007249736562433672
1986,1st Quintile,A Bit Too Small,0.026135857268777065,163,5034,0.026074531716858213,0.026197182820695917
1986,1st Quintile,Just Right,0.15909714788293944,725,5034,0.15895655024885244,0.15923774551702644
1986,1st Quintile,A Bit Too Large,0.00965291374093529,34,5034,0.00961533027487554,0.009690497206995038
1986,2nd Quintile,A Bit Too Small,0.020620904767195258,140,5034,0.020566278292293107,0.02067553124209741
1986,2nd Quintile,Just Right,0.16240962276426923,781,5034,0.16226784908139566,0.1625513964471428
1986,2nd Quintile,A Bit Too Large,0.016210302871072453,61,5034,0.01616176054285076,0.016258845199294145
1986,3rd Quintile,Much Too Small,0.004598539257000084,34,5034,0.004572532692278181,0.004624545821721987
1986,3rd Quintile,A Bit Too Small,0.0256879598988449,158,5034,0.025627148114767618,0.025748771682922184
1986,3rd Quintile,Just Right,0.15649882012648142,768,5034,0.15635916004732828,0.15663848020563456
1986,3rd Quintile,A Bit Too Large,0.014698646891733298,57,5034,0.014652387797931482,0.014744905985535113
1986,4th Quintile,A Bit Too Small,0.02210407938637019,131,5034,0.022047565335805472,0.02216059343693491
1986,4th Quintile,Just Right,0.15930123865589202,787,5034,0.15916056794476838,0.15944190936701566
1986,4th Quintile,A Bit Too Large,0.01761712782921567,74,5034,0.017566559122525197,0.017667696535906146
1986,5th Quintile,A Bit Too Small,0.022708505003962477,106,5034,0.022651241194721214,0.02276576881320374
1986,5th Quintile,Just Right,0.15111084602868807,719,5034,0.15097317352397507,0.15124851853340107
1986,5th Quintile,A Bit Too Large,0.024330288652854377,98,5034,0.02427106448803658,0.024389512817672175
1987,1st Quintile,Much Too Small,0.00614263516693263,37,4972,0.006112774225534866,0.006172496108330394
1987,1st Quintile,A Bit Too Small,0.026302640036943548,168,4972,0.026241478868866963,0.026363801205020132
1987,1st Quintile,Just Right,0.15616494850961182,678,4972,0.15602621394807292,0.15630368307115072
1987,1st Quintile,A Bit Too Large,0.013752594872460394,48,4972,0.013708085715781105,0.013797104029139683
1987,2nd Quintile,A Bit Too Small,0.020527605346362363,138,4972,0.020473414073857103,0.020581796618867623
1987,2nd Quintile,Just Right,0.16531269396008258,782,4972,0.1651707296715862,0.16545465824857897
1987,2nd Quintile,A Bit Too Large,0.014692380645923203,57,4972,0.014646397772074068,0.014738363519772339
1987,3rd Quintile,A Bit Too Small,0.02116336978698007,135,4972,0.021108363589842957,0.02121837598411718
1987,3rd Quintile,Just Right,0.16370511958871364,795,4972,0.16356371127156302,0.16384652790586426
1987,3rd Quintile,A Bit Too Large,0.013760284107248897,55,4972,0.013715762683071994,0.013804805531425799
1987,4th Quintile,A Bit Too Small,0.024236151724075138,134,4972,0.024177380018097168,0.024294923430053107
1987,4th Quintile,Just Right,0.15662774660966547,789,4972,0.15648884473458918,0.15676664848474176
1987,4th Quintile,A Bit Too Large,0.017288969915045367,74,4972,0.017239154749402196,0.017338785080688538
1987,5th Quintile,A Bit Too Small,0.01892123393874299,90,4972,0.01886916355601181,0.018973304321474167
1987,5th Quintile,Just Right,0.15696325069007097,740,4972,0.15682422778814753,0.1571022735919944
1987,5th Quintile,A Bit Too Large,0.02443837510114087,95,4972,0.024379364828449913,0.024497385373831823
1988,1st Quintile,Much Too Small,0.004375492844435259,33,4768,0.004350511093211144,0.004400474595659373
1988,1st Quintile,A Bit Too Small,0.026646489020241717,162,4768,0.026585532958824355,0.02670744508165908
1988,1st Quintile,Just Right,0.16050780592732572,700,4768,0.16036886889717886,0.16064674295747258
1988,1st Quintile,A Bit Too Large,0.011181117652466939,36,4768,0.011141319529885917,0.011220915775047961
1988,2nd Quintile,Much Too Small,0.004379043005101695,34,4768,0.004354051165719739,0.004404034844483651
1988,2nd Quintile,A Bit Too Small,0.020173583256121876,125,4768,0.020120369036741203,0.02022679747550255
1988,2nd Quintile,Just Right,0.16458437859989133,746,4768,0.1644440302848255,0.16472472691495718
1988,2nd Quintile,A Bit Too Large,0.012806948037936918,51,4768,0.012764389620514842,0.012849506455358994
1988,3rd Quintile,A Bit Too Small,0.0225896954413302,132,4768,0.022533454154930087,0.022645936727730315
1988,3rd Quintile,Just Right,0.1613392222304581,773,4768,0.16119999481957875,0.16147844964133745
1988,3rd Quintile,A Bit Too Large,0.013740404983190777,53,4768,0.013696343715465598,0.013784466250915955
1988,4th Quintile,A Bit Too Small,0.018166957491328607,96,4768,0.018116407449068114,0.0182175075335891
1988,4th Quintile,Just Right,0.15737855596407901,759,4768,0.1572407237816241,0.15751638814653393
1988,4th Quintile,A Bit Too Large,0.021700657643918913,85,4768,0.021645509115318016,0.02175580617251981
1988,5th Quintile,A Bit Too Small,0.02120780099566031,98,4768,0.02115326858825789,0.02126233340306273
1988,5th Quintile,Just Right,0.15611719282927897,689,4768,0.1559798113977774,0.15625457426078054
1988,5th Quintile,A Bit Too Large,0.023104654077233593,90,4768,0.023047790345565203,0.023161517808901983
1989,1st Quintile,Much Too Small,0.0054869647881050495,37,4650,0.00545915736472548,0.005514772211484619
1989,1st Quintile,A Bit Too Small,0.023379880625266147,148,4650,0.023322998816111894,0.0234367624344204
1989,1st Quintile,Just Right,0.1630127037544329,676,4650,0.16287365740819099,0.16315175010067484
1989,1st Quintile,A Bit Too Large,0.009975042659108632,34,4650,0.009937634195228104,0.01001245112298916
1989,2nd Quintile,A Bit Too Small,0.024940423296072576,144,4650,0.024881720753943293,0.02499912583820186
1989,2nd Quintile,Just Right,0.16199074363349122,753,4650,0.16185204923220842,0.16212943803477403
1989,2nd Quintile,A Bit Too Large,0.013616660910550527,56,4650,0.013573034689253697,0.013660287131847356
1989,3rd Quintile,A Bit Too Small,0.01901133362102344,112,4650,0.018959925976013255,0.019062741266033623
1989,3rd Quintile,Just Right,0.16353874712902994,748,4650,0.16339952038400238,0.1636779738740575
1989,3rd Quintile,A Bit Too Large,0.014558888416667908,55,4650,0.01451379959666059,0.014603977236675225
1989,4th Quintile,A Bit Too Small,0.021048992759153392,99,4650,0.020994956464537518,0.021103029053769266
1989,4th Quintile,Just Right,0.15719669609042877,741,4650,0.15705967915666777,0.15733371302418978
1989,4th Quintile,A Bit Too Large,0.021413093242153465,81,4650,0.021358601734104397,0.021467584750202533
1989,5th Quintile,A Bit Too Small,0.019963817769709902,89,4650,0.019911163659742152,0.02001647187967765
1989,5th Quintile,Just Right,0.15729604233020186,654,4650,0.15715899018512147,0.15743309447528225
1989,5th Quintile,A Bit Too Large,0.02356996897460421,89,4650,0.023512861955378037,0.023627075993830383
1990,1st Quintile,Much Too Small,0.011909485154629394,152,6748,0.011873109985170957,0.01194586032408783
1990,1st Quintile,A Bit Too Small,0.04336834243715145,529,6748,0.043300042712555595,0.04343664216174731
1990,1st Quintile,Just Right,0.13596860845092795,1402,6748,0.13585367558045056,0.13608354132140535
1990,1st Quintile,A Bit Too Large,0.010191706532460534,89,6748,0.010158027534202911,0.010225385530718157
1990,2nd Quintile,Much Too Small,0.003834499263255873,38,6748,0.0038137749454155044,0.003855223581096242
1990,2nd Quintile,A Bit Too Small,0.02563622291745831,178,6748,0.025583226348839718,0.025689219486076904
1990,2nd Quintile,Just Right,0.1607179384828274,872,6748,0.1605947851091918,0.16084109185646298
1990,2nd Quintile,A Bit Too Large,0.011058835511873318,49,6748,0.01102376839240488,0.011093902631341756
1990,3rd Quintile,Much Too Small,0.004112230658010225,32,6748,0.00409077192387731,0.00413368939214314
1990,3rd Quintile,A Bit Too Small,0.020084855883954002,148,6748,0.020037813560787876,0.02013189820712013
1990,3rd Quintile,Just Right,0.1634848730502931,921,6748,0.1633608690050237,0.16360887709556252
1990,3rd Quintile,A Bit Too Large,0.013984903695396692,67,6748,0.013945527687044094,0.014024279703749289
1990,4th Quintile,A Bit Too Small,0.022758598475275973,137,6748,0.022708591123982227,0.022808605826569718
