year,age_gr,quintil_oecd,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,1st Quintile,Heterosexual,0.93871,1109,1151,0.92485,0.95257
2016,17-29 y.,1st Quintile,No answer/ Do not wish to respond,0.03218,42,1151,0.02198,0.04239
2016,17-29 y.,2nd Quintile,Heterosexual,0.91933,723,754,0.89988,0.93878
2016,17-29 y.,2nd Quintile,No answer/ Do not wish to respond,0.04172,31,754,0.02744,0.05600
2016,17-29 y.,3rd Quintile,Heterosexual,0.94776,613,613,0.93013,0.96539
2016,17-29 y.,4th Quintile,Heterosexual,0.93477,495,495,0.91300,0.95655
2016,17-29 y.,5th Quintile,Heterosexual,0.95695,401,401,0.93706,0.97684
2016,30-45 y.,1st Quintile,Heterosexual,0.91632,1428,1492,0.90226,0.93037
2016,30-45 y.,1st Quintile,No answer/ Do not wish to respond,0.04912,64,1492,0.03815,0.06009
2016,30-45 y.,2nd Quintile,Heterosexual,0.93850,1395,1438,0.92608,0.95093
2016,30-45 y.,2nd Quintile,No answer/ Do not wish to respond,0.03910,43,1438,0.02908,0.04912
2016,30-45 y.,3rd Quintile,Heterosexual,0.94782,1248,1279,0.93563,0.96002
2016,30-45 y.,3rd Quintile,No answer/ Do not wish to respond,0.03054,31,1279,0.02110,0.03997
2016,30-45 y.,4th Quintile,Heterosexual,0.95588,1294,1294,0.94469,0.96707
2016,30-45 y.,5th Quintile,Heterosexual,0.96597,1009,1009,0.95478,0.97716
2016,46-65 y.,1st Quintile,Heterosexual,0.92726,1180,1255,0.91288,0.94163
2016,46-65 y.,1st Quintile,No answer/ Do not wish to respond,0.05882,75,1255,0.04580,0.07184
2016,46-65 y.,2nd Quintile,Heterosexual,0.91187,1243,1317,0.89656,0.92719
2016,46-65 y.,2nd Quintile,No answer/ Do not wish to respond,0.07476,74,1317,0.06055,0.08896
2016,46-65 y.,3rd Quintile,Heterosexual,0.92635,1302,1374,0.91253,0.94017
2016,46-65 y.,3rd Quintile,No answer/ Do not wish to respond,0.06572,72,1374,0.05262,0.07883
2016,46-65 y.,4th Quintile,Heterosexual,0.91543,1556,1650,0.90200,0.92886
2016,46-65 y.,4th Quintile,No answer/ Do not wish to respond,0.06796,94,1650,0.05581,0.08010
2016,46-65 y.,5th Quintile,Heterosexual,0.93567,2107,2189,0.92539,0.94595
2016,46-65 y.,5th Quintile,No answer/ Do not wish to respond,0.04647,82,2189,0.03765,0.05529
2016,66 and older,1st Quintile,Heterosexual,0.85064,512,578,0.82156,0.87973
2016,66 and older,1st Quintile,No answer/ Do not wish to respond,0.14936,66,578,0.12027,0.17844
2016,66 and older,2nd Quintile,Heterosexual,0.85664,897,1008,0.83500,0.87829
2016,66 and older,2nd Quintile,No answer/ Do not wish to respond,0.13837,111,1008,0.11705,0.15970
2016,66 and older,3rd Quintile,Heterosexual,0.89321,803,880,0.87279,0.91363
2016,66 and older,3rd Quintile,No answer/ Do not wish to respond,0.10248,77,880,0.08243,0.12253
2016,66 and older,4th Quintile,Heterosexual,0.89035,670,731,0.86769,0.91302
2016,66 and older,4th Quintile,No answer/ Do not wish to respond,0.09711,61,731,0.07563,0.11859
2016,66 and older,5th Quintile,Heterosexual,0.93763,820,861,0.92147,0.95379
2016,66 and older,5th Quintile,No answer/ Do not wish to respond,0.05228,41,861,0.03740,0.06716
2019,17-29 y.,1st Quintile,Heterosexual,0.91504,987,1104,0.89859,0.93150
2019,17-29 y.,1st Quintile,Bisexual,0.03416,55,1104,0.02344,0.04488
2019,17-29 y.,1st Quintile,No answer/ Do not wish to respond,0.04130,62,1104,0.02955,0.05304
2019,17-29 y.,2nd Quintile,Heterosexual,0.91608,767,841,0.89733,0.93483
2019,17-29 y.,2nd Quintile,Bisexual,0.02307,34,841,0.01291,0.03322
2019,17-29 y.,2nd Quintile,No answer/ Do not wish to respond,0.04380,40,841,0.02996,0.05764
