year,bula_h,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Heterosexual,0.95253,715,752,0.93732,0.96774
2016,Schleswig-Holstein,No answer/ Do not wish to respond,0.04002,37,752,0.02600,0.05404
2016,Hamburg,Heterosexual,0.91071,389,389,0.88233,0.93908
2016,Lower Saxony,Heterosexual,0.93649,2115,2189,0.92627,0.94671
2016,Lower Saxony,No answer/ Do not wish to respond,0.04887,74,2189,0.03984,0.05790
2016,Bremen,Heterosexual,0.93979,164,164,0.90327,0.97631
2016,North Rhine-Westphalia,Heterosexual,0.93430,4350,4540,0.92709,0.94151
2016,North Rhine-Westphalia,Homosexual,0.01595,34,4540,0.01231,0.01959
2016,North Rhine-Westphalia,No answer/ Do not wish to respond,0.04595,156,4540,0.03985,0.05204
2016,Hesse,Heterosexual,0.91520,1397,1479,0.90099,0.92940
2016,Hesse,No answer/ Do not wish to respond,0.06507,82,1479,0.05249,0.07764
2016,"Rhineland-Palatinate, Saarland",Heterosexual,0.90689,1169,1283,0.89098,0.92280
2016,"Rhineland-Palatinate, Saarland",No answer/ Do not wish to respond,0.07507,114,1283,0.06064,0.08949
2016,Baden-Wuerttemberg,Heterosexual,0.91960,2595,2712,0.90936,0.92983
2016,Baden-Wuerttemberg,No answer/ Do not wish to respond,0.06715,117,2712,0.05773,0.07657
2016,Bavaria,Heterosexual,0.91242,3207,3417,0.90294,0.92190
2016,Bavaria,No answer/ Do not wish to respond,0.07786,210,3417,0.06887,0.08684
2016,Berlin,Heterosexual,0.90745,799,833,0.88775,0.92714
2016,Berlin,Homosexual,0.04435,34,833,0.03036,0.05834
2016,Brandenburg,Heterosexual,0.88099,796,850,0.85921,0.90277
2016,Brandenburg,No answer/ Do not wish to respond,0.11595,54,850,0.09441,0.13748
2016,Mecklenburg-Western Pomerania,Heterosexual,0.95762,434,434,0.93865,0.97660
2016,Saxony,Heterosexual,0.92757,1227,1303,0.91349,0.94165
2016,Saxony,No answer/ Do not wish to respond,0.06049,76,1303,0.04754,0.07344
2016,Saxony-Anhalt,Heterosexual,0.92654,718,768,0.90808,0.94500
2016,Saxony-Anhalt,No answer/ Do not wish to respond,0.06759,50,768,0.04982,0.08535
2016,Thuringa,Heterosexual,0.91260,734,768,0.89262,0.93259
2016,Thuringa,No answer/ Do not wish to respond,0.05761,34,768,0.04112,0.07410
2019,Schleswig-Holstein,Heterosexual,0.90017,869,922,0.88081,0.91953
2019,Schleswig-Holstein,No answer/ Do not wish to respond,0.07513,53,922,0.05811,0.09215
2019,Hamburg,Heterosexual,0.90796,481,481,0.88210,0.93382
2019,Lower Saxony,Heterosexual,0.92888,2310,2457,0.91872,0.93905
2019,Lower Saxony,Homosexual,0.00857,34,2457,0.00492,0.01221
2019,Lower Saxony,No answer/ Do not wish to respond,0.05393,113,2457,0.04500,0.06287
2019,Bremen,Heterosexual,0.91049,201,201,0.87093,0.95006
2019,North Rhine-Westphalia,Heterosexual,0.92547,4992,5384,0.91846,0.93249
2019,North Rhine-Westphalia,Homosexual,0.01121,94,5384,0.00840,0.01402
2019,North Rhine-Westphalia,Bisexual,0.01041,101,5384,0.00770,0.01312
2019,North Rhine-Westphalia,No answer/ Do not wish to respond,0.05290,197,5384,0.04692,0.05888
2019,Hesse,Heterosexual,0.92073,1570,1708,0.90791,0.93354
2019,Hesse,Homosexual,0.01558,39,1708,0.00970,0.02145
2019,Hesse,Bisexual,0.01716,42,1708,0.01100,0.02332
2019,Hesse,No answer/ Do not wish to respond,0.04654,57,1708,0.03655,0.05653
2019,"Rhineland-Palatinate, Saarland",Heterosexual,0.89855,1306,1423,0.88285,0.91424
2019,"Rhineland-Palatinate, Saarland",No answer/ Do not wish to respond,0.08126,117,1423,0.06706,0.09546
2019,Baden-Wuerttemberg,Heterosexual,0.90923,2578,2790,0.89857,0.91989
2019,Baden-Wuerttemberg,Homosexual,0.01245,37,2790,0.00834,0.01657
2019,Baden-Wuerttemberg,Bisexual,0.00888,46,2790,0.00540,0.01237
2019,Baden-Wuerttemberg,No answer/ Do not wish to respond,0.06943,129,2790,0.06000,0.07886
2019,Bavaria,Heterosexual,0.92585,3641,3935,0.91767,0.93404
2019,Bavaria,Homosexual,0.00927,56,3935,0.00628,0.01227
2019,Bavaria,Bisexual,0.01253,63,3935,0.00906,0.01601
2019,Bavaria,No answer/ Do not wish to respond,0.05234,175,3935,0.04538,0.05930
2019,Berlin,Heterosexual,0.87392,837,1023,0.85357,0.89427
2019,Berlin,Homosexual,0.03848,80,1023,0.02669,0.05027
2019,Berlin,Bisexual,0.03833,68,1023,0.02656,0.05010
2019,Berlin,No answer/ Do not wish to respond,0.04927,38,1023,0.03600,0.06254
2019,Brandenburg,Heterosexual,0.91010,1033,1089,0.89310,0.92709
2019,Brandenburg,No answer/ Do not wish to respond,0.07686,56,1089,0.06103,0.09268
2019,Mecklenburg-Western Pomerania,Heterosexual,0.93231,576,576,0.91177,0.95284
2019,Saxony,Heterosexual,0.91570,1481,1604,0.90209,0.92930
2019,Saxony,Bisexual,0.02070,34,1604,0.01373,0.02767
2019,Saxony,No answer/ Do not wish to respond,0.05018,89,1604,0.03949,0.06087
2019,Saxony-Anhalt,Heterosexual,0.91521,811,860,0.89658,0.93384
2019,Saxony-Anhalt,No answer/ Do not wish to respond,0.06172,49,860,0.04563,0.07782
2019,Thuringa,Heterosexual,0.90296,841,895,0.88356,0.92237
2019,Thuringa,No answer/ Do not wish to respond,0.07737,54,895,0.05985,0.09488
