year,bula_h,rentown,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Owner,No,0.98608,228,228,0.97085,1.00132
2016,Schleswig-Holstein,Tenant,No,0.99431,266,266,0.98525,1.00337
2016,Hamburg,Owner,No,0.97838,72,72,0.94454,1.01221
2016,Hamburg,Tenant,No,0.96754,185,185,0.94193,0.99315
2016,Lower Saxony,Owner,No,0.95668,668,668,0.94123,0.97213
2016,Lower Saxony,Tenant,No,0.98901,641,641,0.98094,0.99709
2016,Bremen,Owner,No,0.89375,32,32,0.78527,1.00223
2016,North Rhine-Westphalia,Owner,Yes,0.01193,32,1213,0.00582,0.01804
2016,North Rhine-Westphalia,Owner,No,0.98328,1181,1213,0.97606,0.99050
2016,North Rhine-Westphalia,Tenant,Yes,0.01964,31,1687,0.01301,0.02626
2016,North Rhine-Westphalia,Tenant,No,0.97822,1656,1687,0.97125,0.98518
2016,Hesse,Owner,No,0.97304,409,409,0.95732,0.98875
2016,Hesse,Tenant,No,0.98155,538,538,0.97017,0.99294
2016,"Rhineland-Palatinate, Saarland",Owner,No,0.99228,437,437,0.98407,1.00050
2016,"Rhineland-Palatinate, Saarland",Tenant,No,0.97664,397,397,0.96176,0.99152
2016,Baden-Wuerttemberg,Owner,Yes,0.02857,38,852,0.01738,0.03976
2016,Baden-Wuerttemberg,Owner,No,0.96713,814,852,0.95515,0.97911
2016,Baden-Wuerttemberg,Tenant,No,0.97529,755,755,0.96421,0.98637
2016,Bavaria,Owner,No,0.98667,1072,1072,0.97980,0.99354
2016,Bavaria,Tenant,Yes,0.02835,39,1200,0.01896,0.03775
2016,Bavaria,Tenant,No,0.97165,1161,1200,0.96225,0.98104
2016,Berlin,Owner,No,0.98677,105,105,0.96481,1.00873
2016,Berlin,Tenant,No,0.96495,485,485,0.94856,0.98133
2016,Brandenburg,Owner,No,0.98637,249,249,0.97195,1.00080
2016,Brandenburg,Tenant,No,0.99749,304,304,0.99187,1.00312
2016,Mecklenburg-Western Pomerania,Owner,No,0.97622,102,102,0.94650,1.00593
2016,Saxony,Owner,No,0.98539,296,296,0.97170,0.99908
2016,Saxony,Tenant,No,0.96519,545,545,0.94979,0.98060
2016,Saxony-Anhalt,Owner,No,0.98010,205,205,0.96093,0.99926
2016,Saxony-Anhalt,Tenant,No,0.97260,296,296,0.95397,0.99123
2016,Thuringa,Owner,No,0.97109,235,235,0.94962,0.99256
2016,Thuringa,Tenant,No,0.97829,296,296,0.96166,0.99492
2017,Schleswig-Holstein,Owner,No,0.96095,273,273,0.93792,0.98397
2017,Schleswig-Holstein,Tenant,No,0.96045,275,275,0.93738,0.98353
2017,Hamburg,Owner,No,0.94170,79,79,0.88969,0.99370
