year,sampreg,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,West,Yes,0.02037,292,11208,0.01775,0.02298
2016,West,No,0.97198,10916,11208,0.96892,0.97503
2016,East,Yes,0.01752,63,3068,0.01288,0.02216
2016,East,No,0.97389,3005,3068,0.96825,0.97954
2017,West,Yes,0.02003,330,12240,0.01755,0.02252
2017,West,No,0.97156,11910,12240,0.96862,0.97451
2017,East,Yes,0.01923,83,3412,0.01462,0.02384
2017,East,No,0.97321,3329,3412,0.96779,0.97862
2018,West,Yes,0.02092,327,12009,0.01836,0.02348
2018,West,No,0.97040,11682,12009,0.96737,0.97344
2018,East,Yes,0.01835,79,3426,0.01385,0.02284
2018,East,No,0.97476,3347,3426,0.96951,0.98002
2019,West,Yes,0.02235,385,12468,0.01975,0.02494
2019,West,No,0.96816,12083,12468,0.96507,0.97124
2019,East,Yes,0.01746,91,3587,0.01318,0.02175
2019,East,No,0.97524,3496,3587,0.97015,0.98033
2020,West,Yes,0.02503,390,12834,0.02233,0.02773
2020,West,No,0.96039,12444,12834,0.95702,0.96377
2020,East,Yes,0.02046,90,3441,0.01573,0.02520
2020,East,No,0.96898,3351,3441,0.96319,0.97477
2021,West,Yes,0.02416,298,8678,0.02093,0.02739
2021,West,No,0.96247,8380,8678,0.95847,0.96647
2021,East,Yes,0.03096,74,2393,0.02402,0.03791
2021,East,No,0.95749,2319,2393,0.94940,0.96557
2022,West,Yes,0.02755,520,14966,0.02493,0.03017
2022,West,No,0.95754,14446,14966,0.95431,0.96077
2022,East,Yes,0.01710,96,4185,0.01317,0.02103
2022,East,No,0.96511,4089,4185,0.95955,0.97067
