year,hhtyp,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,Yes,0.01513,56,3383,0.01101,0.01924
2016,Single-person household,No,0.97692,3327,3383,0.97185,0.98198
2016,Couple without children,Yes,0.01888,84,4089,0.01470,0.02305
2016,Couple without children,No,0.97748,4005,4089,0.97293,0.98203
2016,Single parent,Yes,0.01836,33,1523,0.01162,0.02511
2016,Single parent,No,0.97488,1490,1523,0.96702,0.98274
2016,Couple with children,Yes,0.03104,177,4979,0.02622,0.03586
2016,Couple with children,No,0.95823,4802,4979,0.95268,0.96379
2016,Multi-generational household,No,0.96774,107,107,0.93411,1.00138
2016,Other Combinations,No,0.93225,190,190,0.89641,0.96808
2017,Single-person household,Yes,0.01302,74,3826,0.00943,0.01661
2017,Single-person household,No,0.97896,3752,3826,0.97441,0.98351
2017,Couple without children,Yes,0.02020,102,4605,0.01614,0.02426
2017,Couple without children,No,0.97719,4503,4605,0.97288,0.98151
2017,Single parent,Yes,0.02805,37,1539,0.01980,0.03630
2017,Single parent,No,0.96332,1502,1539,0.95392,0.97271
2017,Couple with children,Yes,0.03097,195,5310,0.02631,0.03563
2017,Couple with children,No,0.95487,5115,5310,0.94928,0.96045
2017,Multi-generational household,No,0.98541,112,112,0.96310,1.00772
2017,Other Combinations,No,0.93658,255,255,0.90660,0.96655
2018,Single-person household,Yes,0.01507,82,4021,0.01131,0.01884
2018,Single-person household,No,0.97676,3939,4021,0.97210,0.98142
2018,Couple without children,Yes,0.02138,113,4542,0.01718,0.02559
2018,Couple without children,No,0.97609,4429,4542,0.97165,0.98053
2018,Single parent,Yes,0.02186,35,1510,0.01448,0.02924
2018,Single parent,No,0.96466,1475,1510,0.95534,0.97397
2018,Couple with children,Yes,0.03081,173,5017,0.02602,0.03559
2018,Couple with children,No,0.95569,4844,5017,0.94999,0.96138
2018,Multi-generational household,No,0.97608,114,114,0.94790,1.00425
2018,Other Combinations,No,0.95735,228,228,0.93106,0.98363
2019,Single-person household,Yes,0.01657,101,4134,0.01268,0.02046
2019,Single-person household,No,0.97397,4033,4134,0.96912,0.97883
2019,Couple without children,Yes,0.01874,113,5090,0.01502,0.02247
2019,Couple without children,No,0.97977,4977,5090,0.97591,0.98364
2019,Single parent,Yes,0.02069,44,1417,0.01328,0.02811
2019,Single parent,No,0.96575,1373,1417,0.95628,0.97522
2019,Couple with children,Yes,0.03661,217,5149,0.03148,0.04174
2019,Couple with children,No,0.94798,4932,5149,0.94192,0.95405
2019,Multi-generational household,No,0.97947,103,103,0.95196,1.00699
2019,Other Combinations,No,0.94427,217,217,0.91367,0.97486
2020,Single-person household,Yes,0.01878,97,4604,0.01486,0.02270
2020,Single-person household,No,0.96982,4507,4604,0.96487,0.97476
2020,Couple without children,Yes,0.01998,131,5020,0.01611,0.02385
2020,Couple without children,No,0.97025,4889,5020,0.96555,0.97495
2020,Single parent,Yes,0.02071,38,1338,0.01308,0.02834
2020,Single parent,No,0.96301,1300,1338,0.95289,0.97313
2020,Couple with children,Yes,0.04164,205,4897,0.03605,0.04724
2020,Couple with children,No,0.93704,4692,4897,0.93023,0.94384
2020,Multi-generational household,No,0.97892,115,115,0.95255,1.00529
2020,Other Combinations,No,0.92804,292,292,0.89834,0.95773
2021,Single-person household,Yes,0.02002,89,3190,0.01515,0.02488
2021,Single-person household,No,0.96681,3101,3190,0.96059,0.97303
2021,Couple without children,Yes,0.02082,98,3417,0.01603,0.02561
2021,Couple without children,No,0.97482,3319,3417,0.96957,0.98008
2021,Single parent,No,0.96394,868,868,0.95153,0.97635
2021,Couple with children,Yes,0.04295,150,3172,0.03589,0.05001
2021,Couple with children,No,0.93564,3022,3172,0.92710,0.94419
2021,Multi-generational household,No,0.97483,73,73,0.93864,1.01101
2021,Other Combinations,No,0.92262,257,257,0.88989,0.95535
2022,Single-person household,Yes,0.02327,155,5562,0.01931,0.02723
2022,Single-person household,No,0.96092,5407,5562,0.95583,0.96601
2022,Couple without children,Yes,0.01969,166,5709,0.01608,0.02329
2022,Couple without children,No,0.97381,5543,5709,0.96967,0.97795
2022,Single parent,Yes,0.02133,32,1138,0.01293,0.02973
2022,Single parent,No,0.96233,1106,1138,0.95126,0.97340
2022,Couple with children,Yes,0.04146,214,5135,0.03601,0.04692
2022,Couple with children,No,0.93451,4921,5135,0.92774,0.94128
2022,Multi-generational household,No,0.95637,81,81,0.91161,1.00113
2022,Other Combinations,Yes,0.03234,38,1103,0.02189,0.04278
2022,Other Combinations,No,0.94253,1065,1103,0.92879,0.95627
