year,rentown,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Owner,Yes,0.02028,184,6289,0.01679,0.02376
2016,Owner,No,0.97742,6105,6289,0.97375,0.98109
2016,Tenant,Yes,0.01969,171,7986,0.01664,0.02274
2016,Tenant,No,0.97757,7815,7986,0.97432,0.98082
2017,Owner,Yes,0.02070,204,7052,0.01738,0.02402
2017,Owner,No,0.97743,6848,7052,0.97396,0.98089
2017,Tenant,Yes,0.01926,209,8600,0.01635,0.02216
2017,Tenant,No,0.97001,8391,8600,0.96640,0.97361
2018,Owner,Yes,0.02042,184,6747,0.01705,0.02380
2018,Owner,No,0.97816,6563,6747,0.97468,0.98165
2018,Tenant,Yes,0.02051,222,8688,0.01753,0.02349
2018,Tenant,No,0.96511,8466,8688,0.96125,0.96897
2019,Owner,Yes,0.01862,232,7865,0.01563,0.02161
2019,Owner,No,0.98026,7633,7865,0.97719,0.98334
2019,Tenant,Yes,0.02417,251,8253,0.02086,0.02749
2019,Tenant,No,0.95980,8002,8253,0.95556,0.96404
2020,Owner,Yes,0.02162,218,6944,0.01820,0.02505
2020,Owner,No,0.97259,6726,6944,0.96875,0.97643
2020,Tenant,Yes,0.02647,262,9331,0.02321,0.02972
2020,Tenant,No,0.95266,9069,9331,0.94835,0.95697
2021,Owner,Yes,0.02160,174,5072,0.01760,0.02560
2021,Owner,No,0.97548,4898,5072,0.97122,0.97974
2021,Tenant,Yes,0.02865,198,5995,0.02443,0.03287
2021,Tenant,No,0.94967,5797,5995,0.94413,0.95520
2022,Owner,Yes,0.02475,271,7801,0.02130,0.02820
2022,Owner,No,0.97055,7530,7801,0.96680,0.97430
2022,Tenant,Yes,0.02669,345,11336,0.02373,0.02966
2022,Tenant,No,0.94857,10991,11336,0.94451,0.95264
