year,bula_h,hhtyp,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Single-person household,No,0.97792,125,125,0.95206,1.00379
2016,Schleswig-Holstein,Couple without children,No,0.99865,131,131,0.99233,1.00496
2016,Schleswig-Holstein,Single parent,No,0.98439,58,58,0.95222,1.01657
2016,Schleswig-Holstein,Couple with children,No,0.96166,169,169,0.93262,0.99069
2016,Hamburg,Single-person household,No,0.97823,69,69,0.94354,1.01292
2016,Hamburg,Couple without children,No,0.93891,64,64,0.87976,0.99805
2016,Hamburg,Couple with children,No,0.97636,90,90,0.94480,1.00792
2016,Lower Saxony,Single-person household,No,0.97297,282,282,0.95401,0.99193
2016,Lower Saxony,Couple without children,No,0.95901,384,384,0.93915,0.97887
2016,Lower Saxony,Single parent,No,0.98414,151,151,0.96414,1.00413
2016,Lower Saxony,Couple with children,No,0.95839,460,460,0.94012,0.97666
2016,Bremen,Couple with children,No,0.96864,36,36,0.91090,1.02638
2016,North Rhine-Westphalia,Single-person household,No,0.97142,596,596,0.95803,0.98481
2016,North Rhine-Westphalia,Couple without children,No,0.97565,767,767,0.96474,0.98657
2016,North Rhine-Westphalia,Single parent,No,0.98196,306,306,0.96702,0.99690
2016,North Rhine-Westphalia,Couple with children,No,0.97605,1107,1107,0.96704,0.98506
2016,North Rhine-Westphalia,Other Combinations,No,0.95698,43,43,0.89561,1.01834
2016,Hesse,Single-person household,No,0.98334,205,205,0.96578,1.00091
2016,Hesse,Couple without children,No,0.97621,271,271,0.95803,0.99439
2016,Hesse,Single parent,No,0.97970,106,106,0.95273,1.00668
2016,Hesse,Couple with children,No,0.95128,331,331,0.92805,0.97451
2016,"Rhineland-Palatinate, Saarland",Single-person household,No,0.98082,201,201,0.96181,0.99983
2016,"Rhineland-Palatinate, Saarland",Couple without children,No,0.99281,238,238,0.98205,1.00357
2016,"Rhineland-Palatinate, Saarland",Single parent,No,0.98213,80,80,0.95292,1.01134
2016,"Rhineland-Palatinate, Saarland",Couple with children,No,0.94802,288,288,0.92234,0.97370
