year,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Yes,0.01985,355,14276,0.01757,0.02214
2016,No,0.97232,13921,14276,0.96963,0.97501
2017,Yes,0.01989,413,15652,0.01770,0.02208
2017,No,0.97185,15239,15652,0.96926,0.97444
2018,Yes,0.02047,406,15435,0.01823,0.02270
2018,No,0.97117,15029,15435,0.96853,0.97381
2019,Yes,0.02159,483,16118,0.01935,0.02384
2019,No,0.96931,15635,16118,0.96665,0.97197
2020,Yes,0.02422,480,16275,0.02185,0.02658
2020,No,0.96192,15795,16275,0.95898,0.96486
2021,Yes,0.02534,372,11071,0.02241,0.02827
2021,No,0.96161,10699,11071,0.95803,0.96519
2022,Yes,0.02575,616,19151,0.02351,0.02800
2022,No,0.95884,18535,19151,0.95603,0.96165
