year,bula_h,quintil_oecd_hh,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,1st Quintile,No,0.94622,126,126,0.90668,0.98577
2016,Schleswig-Holstein,2nd Quintile,No,0.99507,108,108,0.98180,1.00834
2016,Schleswig-Holstein,3rd Quintile,No,0.98527,94,94,0.96079,1.00975
2016,Schleswig-Holstein,4th Quintile,No,0.98765,86,86,0.96417,1.01113
2016,Schleswig-Holstein,5th Quintile,No,0.98939,80,80,0.96680,1.01198
2016,Hamburg,1st Quintile,No,0.94297,48,48,0.87667,1.00927
2016,Hamburg,5th Quintile,No,0.89686,60,60,0.81925,0.97447
2016,Lower Saxony,1st Quintile,No,0.95542,303,303,0.93214,0.97870
2016,Lower Saxony,2nd Quintile,No,0.97296,244,244,0.95256,0.99335
2016,Lower Saxony,3rd Quintile,No,0.97742,235,235,0.95839,0.99646
2016,Lower Saxony,4th Quintile,No,0.97597,267,267,0.95756,0.99437
2016,Lower Saxony,5th Quintile,No,0.94450,260,260,0.91661,0.97238
2016,Bremen,1st Quintile,No,0.96523,38,38,0.90620,1.02426
2016,North Rhine-Westphalia,1st Quintile,No,0.95171,676,676,0.93554,0.96789
2016,North Rhine-Westphalia,2nd Quintile,No,0.98201,563,563,0.97103,0.99300
2016,North Rhine-Westphalia,3rd Quintile,No,0.98954,513,513,0.98073,0.99835
2016,North Rhine-Westphalia,4th Quintile,No,0.98449,528,528,0.97394,0.99504
2016,North Rhine-Westphalia,5th Quintile,No,0.96762,557,557,0.95291,0.98234
2016,Hesse,1st Quintile,No,0.97487,194,194,0.95279,0.99695
2016,Hesse,2nd Quintile,No,0.98776,184,184,0.97183,1.00369
2016,Hesse,3rd Quintile,No,0.98807,162,162,0.97130,1.00484
2016,Hesse,4th Quintile,No,0.96931,166,166,0.94299,0.99563
2016,Hesse,5th Quintile,No,0.95591,240,240,0.92988,0.98194
2016,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.94751,192,192,0.91588,0.97914
2016,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.99382,189,189,0.98263,1.00502
2016,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.97994,153,153,0.95765,1.00223
2016,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.96764,148,148,0.93904,0.99625
2016,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.99517,152,152,0.98411,1.00623
2016,Baden-Wuerttemberg,1st Quintile,No,0.93649,222,222,0.90434,0.96865
2016,Baden-Wuerttemberg,2nd Quintile,No,0.97827,292,292,0.96151,0.99502
2016,Baden-Wuerttemberg,3rd Quintile,No,0.98607,319,319,0.97318,0.99895
2016,Baden-Wuerttemberg,4th Quintile,No,0.98469,344,344,0.97169,0.99768
2016,Baden-Wuerttemberg,5th Quintile,No,0.94137,391,391,0.91806,0.96469
2016,Bavaria,1st Quintile,No,0.97341,363,363,0.95684,0.98999
2016,Bavaria,2nd Quintile,No,0.99388,490,490,0.98697,1.00079
2016,Bavaria,3rd Quintile,No,0.96907,428,428,0.95265,0.98549
2016,Bavaria,4th Quintile,No,0.96810,451,451,0.95186,0.98434
2016,Bavaria,5th Quintile,No,0.97613,502,502,0.96277,0.98950
2016,Berlin,1st Quintile,No,0.99012,151,151,0.97430,1.00595
2016,Berlin,2nd Quintile,No,0.94918,109,109,0.90776,0.99060
2016,Berlin,3rd Quintile,No,0.95368,109,109,0.91404,0.99332
2016,Berlin,4th Quintile,No,0.95036,116,116,0.91066,0.99006
2016,Berlin,5th Quintile,No,0.99053,104,104,0.97183,1.00923
2016,Brandenburg,1st Quintile,No,0.97765,132,132,0.95234,1.00296
2016,Brandenburg,2nd Quintile,No,0.99410,147,147,0.98168,1.00652
2016,Brandenburg,3rd Quintile,No,0.99688,127,127,0.98714,1.00662
2016,Brandenburg,5th Quintile,No,0.96875,70,70,0.92770,1.00981
2016,Mecklenburg-Western Pomerania,1st Quintile,No,0.97813,103,103,0.94974,1.00651
2016,Mecklenburg-Western Pomerania,2nd Quintile,No,0.99783,79,79,0.98751,1.00815
2016,Mecklenburg-Western Pomerania,4th Quintile,No,0.95070,38,38,0.88094,1.02046
2016,Mecklenburg-Western Pomerania,5th Quintile,No,0.97862,33,33,0.92851,1.02874
2016,Saxony,1st Quintile,No,0.97473,213,213,0.95360,0.99586
2016,Saxony,2nd Quintile,No,0.96265,225,225,0.93782,0.98748
2016,Saxony,3rd Quintile,No,0.97007,201,201,0.94646,0.99369
2016,Saxony,4th Quintile,No,0.97090,124,124,0.94119,1.00060
2016,Saxony,5th Quintile,No,0.95179,78,78,0.90394,0.99963
2016,Saxony-Anhalt,1st Quintile,No,0.92934,157,157,0.88912,0.96955
2016,Saxony-Anhalt,2nd Quintile,No,0.99647,132,132,0.98632,1.00663
2016,Saxony-Anhalt,3rd Quintile,No,0.97978,98,98,0.95177,1.00779
2016,Saxony-Anhalt,4th Quintile,No,0.97729,69,69,0.94188,1.01270
2016,Saxony-Anhalt,5th Quintile,No,0.98681,45,45,0.95309,1.02052
2016,Thuringa,1st Quintile,No,0.95356,139,139,0.91845,0.98867
2016,Thuringa,2nd Quintile,No,0.95799,141,141,0.92476,0.99122
2016,Thuringa,3rd Quintile,No,0.99741,111,111,0.98791,1.00691
