year,rentown,sampreg,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Owner,West,Yes,0.02066,153,5135,0.01677,0.02455
2016,Owner,West,No,0.97681,4982,5135,0.97270,0.98093
2016,Owner,East,Yes,0.01796,31,1154,0.01030,0.02563
2016,Owner,East,No,0.98109,1123,1154,0.97323,0.98895
2016,Tenant,West,Yes,0.02030,139,6072,0.01675,0.02385
2016,Tenant,West,No,0.97741,5933,6072,0.97367,0.98115
2016,Tenant,East,Yes,0.01742,32,1914,0.01156,0.02328
2016,Tenant,East,No,0.97817,1882,1914,0.97162,0.98472
2017,Owner,West,Yes,0.02045,166,5740,0.01679,0.02411
2017,Owner,West,No,0.97771,5574,5740,0.97389,0.98153
2017,Owner,East,Yes,0.02225,38,1312,0.01427,0.03024
2017,Owner,East,No,0.97570,1274,1312,0.96736,0.98403
2017,Tenant,West,Yes,0.01971,164,6500,0.01633,0.02309
2017,Tenant,West,No,0.96909,6336,6500,0.96488,0.97330
2017,Tenant,East,Yes,0.01753,45,2100,0.01191,0.02314
2017,Tenant,East,No,0.97346,2055,2100,0.96658,0.98034
2018,Owner,West,Yes,0.01967,143,5494,0.01599,0.02334
2018,Owner,West,No,0.97870,5351,5494,0.97489,0.98252
2018,Owner,East,Yes,0.02508,41,1253,0.01642,0.03375
2018,Owner,East,No,0.97483,1212,1253,0.96615,0.98350
2018,Tenant,West,Yes,0.02211,184,6515,0.01854,0.02568
2018,Tenant,West,No,0.96257,6331,6515,0.95796,0.96718
2018,Tenant,East,Yes,0.01445,38,2173,0.00943,0.01947
2018,Tenant,East,No,0.97473,2135,2173,0.96813,0.98133
2019,Owner,West,Yes,0.01893,189,6303,0.01556,0.02229
2019,Owner,West,No,0.97992,6114,6303,0.97646,0.98339
2019,Owner,East,Yes,0.01670,42,1547,0.01031,0.02309
2019,Owner,East,No,0.98238,1505,1547,0.97582,0.98894
2019,Tenant,West,Yes,0.02555,196,6165,0.02161,0.02949
2019,Tenant,West,No,0.95712,5969,6165,0.95206,0.96218
2019,Tenant,East,Yes,0.01792,49,2040,0.01217,0.02368
2019,Tenant,East,No,0.97091,1991,2040,0.96361,0.97820
2020,Owner,West,Yes,0.02055,179,5586,0.01683,0.02427
2020,Owner,West,No,0.97353,5407,5586,0.96932,0.97774
2020,Owner,East,Yes,0.02800,39,1358,0.01922,0.03678
2020,Owner,East,No,0.96697,1319,1358,0.95746,0.97648
2020,Tenant,West,Yes,0.02922,211,7248,0.02535,0.03310
2020,Tenant,West,No,0.94807,7037,7248,0.94296,0.95318
2020,Tenant,East,Yes,0.01593,51,2083,0.01055,0.02131
2020,Tenant,East,No,0.97019,2032,2083,0.96288,0.97749
2021,Owner,West,Yes,0.02209,146,4121,0.01760,0.02658
2021,Owner,West,No,0.97492,3975,4121,0.97015,0.97970
2021,Owner,East,No,0.97890,923,923,0.96963,0.98818
2021,Tenant,West,Yes,0.02615,152,4554,0.02152,0.03079
2021,Tenant,West,No,0.95099,4402,4554,0.94472,0.95726
2021,Tenant,East,Yes,0.03848,46,1441,0.02855,0.04842
2021,Tenant,East,No,0.94446,1395,1441,0.93263,0.95629
2022,Owner,West,Yes,0.02619,229,6262,0.02224,0.03015
2022,Owner,West,No,0.96977,6033,6262,0.96553,0.97401
2022,Owner,East,Yes,0.01572,42,1539,0.00950,0.02193
2022,Owner,East,No,0.97545,1497,1539,0.96772,0.98319
2022,Tenant,West,Yes,0.02891,291,8692,0.02539,0.03244
2022,Tenant,West,No,0.94595,8401,8692,0.94119,0.95070
2022,Tenant,East,Yes,0.01793,54,2644,0.01287,0.02299
2022,Tenant,East,No,0.95892,2590,2644,0.95135,0.96648
