year,quintil_oecd_hh,sampreg,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,West,No,0.95737,2249,2249,0.94901,0.96572
2016,1st Quintile,East,No,0.96495,808,808,0.95227,0.97764
2016,2nd Quintile,West,Yes,0.01190,40,2238,0.00741,0.01640
2016,2nd Quintile,West,No,0.98542,2198,2238,0.98045,0.99038
2016,2nd Quintile,East,No,0.97309,780,780,0.96172,0.98445
2016,3rd Quintile,West,Yes,0.01862,60,2070,0.01280,0.02445
2016,3rd Quintile,West,No,0.98120,2010,2070,0.97535,0.98705
2016,3rd Quintile,East,No,0.98283,658,658,0.97290,0.99276
2016,4th Quintile,West,Yes,0.01933,68,2199,0.01357,0.02508
2016,4th Quintile,West,No,0.97637,2131,2199,0.97002,0.98272
2016,4th Quintile,East,No,0.97937,445,445,0.96615,0.99259
2016,5th Quintile,West,Yes,0.03843,101,2425,0.03078,0.04608
2016,5th Quintile,West,No,0.96075,2324,2425,0.95302,0.96848
2016,5th Quintile,East,No,0.97147,314,314,0.95302,0.98991
2017,1st Quintile,West,Yes,0.01089,32,2320,0.00667,0.01511
2017,1st Quintile,West,No,0.95256,2288,2320,0.94391,0.96121
2017,1st Quintile,East,No,0.96160,863,863,0.94877,0.97443
2017,2nd Quintile,West,Yes,0.01501,44,2329,0.01007,0.01994
2017,2nd Quintile,West,No,0.98016,2285,2329,0.97450,0.98583
2017,2nd Quintile,East,No,0.97679,885,885,0.96686,0.98672
2017,3rd Quintile,West,Yes,0.01822,63,2364,0.01283,0.02361
2017,3rd Quintile,West,No,0.98165,2301,2364,0.97623,0.98706
2017,3rd Quintile,East,No,0.98944,710,710,0.98192,0.99696
2017,4th Quintile,West,Yes,0.02216,83,2513,0.01640,0.02791
2017,4th Quintile,West,No,0.97652,2430,2513,0.97060,0.98244
2017,4th Quintile,East,No,0.96375,504,504,0.94741,0.98008
2017,5th Quintile,West,Yes,0.03063,107,2710,0.02414,0.03712
2017,5th Quintile,West,No,0.96829,2603,2710,0.96169,0.97489
2017,5th Quintile,East,No,0.97460,367,367,0.95848,0.99072
2018,1st Quintile,West,Yes,0.01531,40,2365,0.01036,0.02026
2018,1st Quintile,West,No,0.94921,2325,2365,0.94036,0.95806
2018,1st Quintile,East,No,0.96632,927,927,0.95470,0.97794
2018,2nd Quintile,West,Yes,0.01013,42,2348,0.00607,0.01418
2018,2nd Quintile,West,No,0.98371,2306,2348,0.97858,0.98883
2018,2nd Quintile,East,No,0.97852,931,931,0.96921,0.98784
2018,3rd Quintile,West,Yes,0.02463,65,2262,0.01824,0.03102
2018,3rd Quintile,West,No,0.97447,2197,2262,0.96797,0.98097
2018,3rd Quintile,East,No,0.98249,659,659,0.97247,0.99251
2018,4th Quintile,West,Yes,0.02457,76,2381,0.01835,0.03079
2018,4th Quintile,West,No,0.97500,2305,2381,0.96873,0.98127
2018,4th Quintile,East,No,0.98216,483,483,0.97034,0.99398
2018,5th Quintile,West,Yes,0.02790,104,2648,0.02162,0.03417
2018,5th Quintile,West,No,0.97151,2544,2648,0.96517,0.97785
2018,5th Quintile,East,No,0.96346,347,347,0.94369,0.98323
2019,1st Quintile,West,Yes,0.01500,54,2097,0.00979,0.02020
2019,1st Quintile,West,No,0.94069,2043,2097,0.93058,0.95081
2019,1st Quintile,East,No,0.97023,817,817,0.95857,0.98189
2019,2nd Quintile,West,Yes,0.01901,54,2189,0.01329,0.02474
2019,2nd Quintile,West,No,0.97811,2135,2189,0.97198,0.98424
2019,2nd Quintile,East,No,0.97735,803,803,0.96705,0.98765
2019,3rd Quintile,West,Yes,0.02492,68,2176,0.01836,0.03147
2019,3rd Quintile,West,No,0.97461,2108,2176,0.96800,0.98122
2019,3rd Quintile,East,No,0.98135,671,671,0.97111,0.99160
2019,4th Quintile,West,Yes,0.02800,84,2369,0.02136,0.03465
