year,hhtyp,rentown,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,Owner,No,0.99035,922,922,0.98404,0.99667
2016,Single-person household,Tenant,Yes,0.01795,46,2450,0.01269,0.02320
2016,Single-person household,Tenant,No,0.97944,2404,2450,0.97382,0.98506
2016,Couple without children,Owner,Yes,0.01598,35,2218,0.01076,0.02119
2016,Couple without children,Owner,No,0.98120,2183,2218,0.97555,0.98686
2016,Couple without children,Tenant,Yes,0.02299,49,1871,0.01620,0.02979
2016,Couple without children,Tenant,No,0.97407,1822,1871,0.96687,0.98127
2016,Single parent,Owner,No,0.95725,366,366,0.93650,0.97800
2016,Single parent,Tenant,No,0.99091,1124,1124,0.98536,0.99646
2016,Couple with children,Owner,Yes,0.03379,120,2654,0.02691,0.04066
2016,Couple with children,Owner,No,0.96372,2534,2654,0.95660,0.97083
2016,Couple with children,Tenant,Yes,0.02756,57,2325,0.02090,0.03421
2016,Couple with children,Tenant,No,0.96825,2268,2325,0.96112,0.97537
2016,Multi-generational household,Owner,No,0.96093,51,51,0.90723,1.01464
2016,Other Combinations,Owner,No,0.91393,49,49,0.83458,0.99327
2016,Other Combinations,Tenant,No,0.99719,141,141,0.98843,1.00596
2017,Single-person household,Owner,No,0.99203,1002,1002,0.98653,0.99754
2017,Single-person household,Tenant,Yes,0.01547,58,2808,0.01090,0.02003
2017,Single-person household,Tenant,No,0.97465,2750,2808,0.96884,0.98047
2017,Couple without children,Owner,Yes,0.01952,49,2525,0.01412,0.02491
2017,Couple without children,Owner,No,0.97837,2476,2525,0.97269,0.98404
2017,Couple without children,Tenant,Yes,0.02122,53,2080,0.01503,0.02742
2017,Couple without children,Tenant,No,0.97597,2027,2080,0.96939,0.98256
2017,Single parent,Owner,No,0.94264,395,395,0.91968,0.96560
2017,Single parent,Tenant,No,0.97589,1107,1107,0.96686,0.98493
2017,Couple with children,Owner,Yes,0.03031,121,2951,0.02412,0.03650
2017,Couple with children,Owner,No,0.96585,2830,2951,0.95929,0.97240
2017,Couple with children,Tenant,Yes,0.03217,74,2359,0.02505,0.03930
2017,Couple with children,Tenant,No,0.94621,2285,2359,0.93710,0.95532
2017,Multi-generational household,Tenant,No,0.97406,56,56,0.93206,1.01607
2017,Other Combinations,Owner,No,0.94786,89,89,0.90141,0.99431
2017,Other Combinations,Tenant,No,0.94783,166,166,0.91390,0.98176
2018,Single-person household,Owner,No,0.98648,990,990,0.97928,0.99368
2018,Single-person household,Tenant,Yes,0.01666,65,3014,0.01209,0.02123
2018,Single-person household,Tenant,No,0.97200,2949,3014,0.96611,0.97789
2018,Couple without children,Owner,Yes,0.01579,44,2461,0.01086,0.02071
2018,Couple without children,Owner,No,0.98269,2417,2461,0.97754,0.98785
2018,Couple without children,Tenant,Yes,0.02955,69,2081,0.02227,0.03683
2018,Couple without children,Tenant,No,0.96645,2012,2081,0.95872,0.97419
2018,Single parent,Owner,No,0.95116,371,371,0.92920,0.97312
2018,Single parent,Tenant,No,0.97044,1104,1104,0.96045,0.98044
2018,Couple with children,Owner,Yes,0.03374,109,2757,0.02699,0.04048
2018,Couple with children,Owner,No,0.96573,2648,2757,0.95894,0.97252
2018,Couple with children,Tenant,Yes,0.02642,64,2260,0.01981,0.03304
2018,Couple with children,Tenant,No,0.94065,2196,2260,0.93091,0.95040
2018,Multi-generational household,Owner,No,0.97540,52,52,0.93288,1.01791
2018,Multi-generational household,Tenant,No,0.97686,62,62,0.93913,1.01459
2018,Other Combinations,Owner,No,0.99971,85,85,0.99608,1.00335
2018,Other Combinations,Tenant,No,0.92757,143,143,0.88493,0.97020
2019,Single-person household,Owner,No,0.98587,1161,1161,0.97908,0.99266
2019,Single-person household,Tenant,Yes,0.01892,79,2951,0.01400,0.02383
2019,Single-person household,Tenant,No,0.96803,2872,2951,0.96168,0.97438
2019,Couple without children,Owner,Yes,0.01169,45,2981,0.00783,0.01555
2019,Couple without children,Owner,No,0.98822,2936,2981,0.98434,0.99209
2019,Couple without children,Tenant,Yes,0.02905,68,2109,0.02188,0.03621
2019,Couple without children,Tenant,No,0.96744,2041,2109,0.95986,0.97502
2019,Single parent,Owner,No,0.97550,374,374,0.95981,0.99119
2019,Single parent,Tenant,No,0.96207,999,999,0.95022,0.97392
2019,Couple with children,Owner,Yes,0.03556,145,3157,0.02910,0.04202
2019,Couple with children,Owner,No,0.96318,3012,3157,0.95661,0.96975
2019,Couple with children,Tenant,Yes,0.03820,72,1992,0.02978,0.04662
2019,Couple with children,Tenant,No,0.92479,1920,1992,0.91321,0.93637
2019,Multi-generational household,Owner,No,0.99592,54,54,0.97877,1.01308
2019,Multi-generational household,Tenant,No,0.96131,49,49,0.90676,1.01587
2019,Other Combinations,Owner,No,0.99322,96,96,0.97671,1.00972
2019,Other Combinations,Tenant,No,0.91128,121,121,0.86041,0.96216
2020,Single-person household,Owner,No,0.98210,1080,1080,0.97419,0.99001
2020,Single-person household,Tenant,Yes,0.02169,77,3504,0.01687,0.02652
2020,Single-person household,Tenant,No,0.96387,3427,3504,0.95769,0.97005
2020,Couple without children,Owner,Yes,0.00935,41,2637,0.00568,0.01303
2020,Couple without children,Owner,No,0.98265,2596,2637,0.97767,0.98763
2020,Couple without children,Tenant,Yes,0.03525,90,2383,0.02785,0.04266
2020,Couple without children,Tenant,No,0.95242,2293,2383,0.94387,0.96097
2020,Single parent,Owner,No,0.96491,352,352,0.94566,0.98416
2020,Single parent,Tenant,No,0.96222,948,948,0.95008,0.97436
2020,Couple with children,Owner,Yes,0.04620,135,2691,0.03827,0.05414
2020,Couple with children,Owner,No,0.94994,2556,2691,0.94170,0.95818
2020,Couple with children,Tenant,Yes,0.03471,70,2206,0.02707,0.04235
2020,Couple with children,Tenant,No,0.91744,2136,2206,0.90595,0.92892
2020,Multi-generational household,Owner,No,0.98108,51,51,0.94332,1.01884
2020,Multi-generational household,Tenant,No,0.97708,64,64,0.94012,1.01403
2020,Other Combinations,Owner,No,0.98340,91,91,0.95700,1.00980
2020,Other Combinations,Tenant,No,0.87755,201,201,0.83212,0.92298
2021,Single-person household,Owner,No,0.99000,845,845,0.98329,0.99672
2021,Single-person household,Tenant,Yes,0.02686,75,2330,0.02029,0.03342
2021,Single-person household,Tenant,No,0.95495,2255,2330,0.94653,0.96338
2021,Couple without children,Owner,Yes,0.01383,42,1919,0.00860,0.01905
2021,Couple without children,Owner,No,0.98185,1877,1919,0.97588,0.98783
2021,Couple without children,Tenant,Yes,0.03150,56,1497,0.02265,0.04036
2021,Couple without children,Tenant,No,0.96408,1441,1497,0.95465,0.97351
2021,Single parent,Owner,No,0.96717,237,237,0.94444,0.98991
2021,Single parent,Tenant,No,0.96257,631,631,0.94775,0.97739
2021,Couple with children,Owner,Yes,0.04387,104,1883,0.03462,0.05312
2021,Couple with children,Owner,No,0.95580,1779,1883,0.94652,0.96509
2021,Couple with children,Tenant,Yes,0.04163,46,1287,0.03071,0.05255
2021,Couple with children,Tenant,No,0.90599,1241,1287,0.89003,0.92194
2021,Multi-generational household,Owner,No,0.98652,40,40,0.95032,1.02271
2021,Multi-generational household,Tenant,No,0.96487,33,33,0.90108,1.02866
2021,Other Combinations,Owner,No,0.90484,104,104,0.84817,0.96151
2021,Other Combinations,Tenant,No,0.93525,153,153,0.89612,0.97437
