year,bula_h,sampreg,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Hesse,West,No,0.95340,734,779,0.93859,0.96821
2001,"Rhineland-Palatinate, Saarland",West,Yes,0.06545,56,720,0.04738,0.08353
2001,"Rhineland-Palatinate, Saarland",West,No,0.93455,664,720,0.91647,0.95262
2001,Baden-Wuerttemberg,West,Yes,0.03702,64,1362,0.02699,0.04705
2001,Baden-Wuerttemberg,West,No,0.96298,1298,1362,0.95295,0.97301
2001,Bavaria,West,Yes,0.04468,86,1616,0.03460,0.05476
2001,Bavaria,West,No,0.95532,1530,1616,0.94524,0.96540
2001,Berlin,West,No,0.95965,258,258,0.93559,0.98371
2001,Berlin,East,No,0.92388,195,195,0.88657,0.96120
2001,Brandenburg,East,Yes,0.06704,39,500,0.04510,0.08898
2001,Brandenburg,East,No,0.93296,461,500,0.91102,0.95490
2001,Mecklenburg-Western Pomerania,East,No,0.94953,267,267,0.92322,0.97584
2001,Saxony,East,Yes,0.07069,68,849,0.05344,0.08794
2001,Saxony,East,No,0.92931,781,849,0.91206,0.94656
2001,Saxony-Anhalt,East,Yes,0.08485,50,505,0.06052,0.10918
2001,Saxony-Anhalt,East,No,0.91515,455,505,0.89082,0.93948
2001,Thuringa,East,Yes,0.08168,48,494,0.05750,0.10585
2001,Thuringa,East,No,0.91832,446,494,0.89415,0.94250
2006,Schleswig-Holstein,West,No,0.96188,373,373,0.94242,0.98134
2006,Hamburg,West,No,0.98799,188,188,0.97238,1.00360
2006,Lower Saxony,West,Yes,0.06087,73,1074,0.04656,0.07517
2006,Lower Saxony,West,No,0.93913,1001,1074,0.92483,0.95344
2006,Bremen,West,No,0.93273,84,84,0.87885,0.98662
2006,North Rhine-Westphalia,West,Yes,0.05095,157,2538,0.04240,0.05951
2006,North Rhine-Westphalia,West,No,0.94905,2381,2538,0.94049,0.95760
2006,Hesse,West,Yes,0.04110,51,846,0.02771,0.05448
2006,Hesse,West,No,0.95890,795,846,0.94552,0.97229
2006,"Rhineland-Palatinate, Saarland",West,Yes,0.05612,47,727,0.03938,0.07286
2006,"Rhineland-Palatinate, Saarland",West,No,0.94388,680,727,0.92714,0.96062
2006,Baden-Wuerttemberg,West,Yes,0.04500,81,1473,0.03441,0.05559
2006,Baden-Wuerttemberg,West,No,0.95500,1392,1473,0.94441,0.96559
2006,Bavaria,West,Yes,0.05124,97,1730,0.04085,0.06164
2006,Bavaria,West,No,0.94876,1633,1730,0.93836,0.95915
2006,Berlin,West,No,0.97854,270,270,0.96123,0.99586
2006,Berlin,East,No,0.94411,196,196,0.91187,0.97635
2006,Brandenburg,East,Yes,0.09018,41,532,0.06582,0.11454
2006,Brandenburg,East,No,0.90982,491,532,0.88546,0.93418
2006,Mecklenburg-Western Pomerania,East,No,0.94195,280,280,0.91451,0.96939
