year,hhtyp,sampreg,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,West,No,0.98899,1073,1073,0.98274,0.99524
1996,Single-person household,East,No,0.98025,336,336,0.96535,0.99515
1996,Couple without children,West,Yes,0.03537,52,1306,0.02535,0.04539
1996,Couple without children,West,No,0.96463,1254,1306,0.95461,0.97465
1996,Couple without children,East,No,0.95521,509,509,0.93722,0.97320
1996,Single parent,West,No,0.94444,263,263,0.91671,0.97218
1996,Single parent,East,No,0.92680,99,99,0.87524,0.97837
1996,Couple with children,West,Yes,0.07422,138,1922,0.06250,0.08595
1996,Couple with children,West,No,0.92578,1784,1922,0.91405,0.93750
1996,Couple with children,East,Yes,0.10915,84,764,0.08703,0.13128
1996,Couple with children,East,No,0.89085,680,764,0.86872,0.91297
1996,Multi-generational household,West,No,0.96512,94,94,0.92784,1.00241
1996,Other Combinations,West,No,0.93353,97,97,0.88370,0.98336
1996,Other Combinations,East,No,0.91096,53,53,0.83355,0.98837
2001,Single-person household,West,Yes,0.01595,39,2220,0.01074,0.02116
2001,Single-person household,West,No,0.98405,2181,2220,0.97884,0.98926
2001,Single-person household,East,No,0.97990,689,689,0.96942,0.99039
2001,Couple without children,West,Yes,0.04160,112,2664,0.03402,0.04919
2001,Couple without children,West,No,0.95840,2552,2664,0.95081,0.96598
2001,Couple without children,East,Yes,0.06811,65,925,0.05187,0.08436
2001,Couple without children,East,No,0.93189,860,925,0.91564,0.94813
2001,Single parent,West,No,0.95938,489,489,0.94187,0.97690
2001,Single parent,East,No,0.92099,177,177,0.88113,0.96084
2001,Couple with children,West,Yes,0.09975,305,3208,0.08938,0.11012
2001,Couple with children,West,No,0.90025,2903,3208,0.88988,0.91062
2001,Couple with children,East,Yes,0.15224,138,967,0.12959,0.17490
2001,Couple with children,East,No,0.84776,829,967,0.82510,0.87041
2001,Multi-generational household,West,No,0.92464,125,125,0.87818,0.97110
2001,Other Combinations,West,No,0.96379,93,93,0.92562,1.00197
2006,Single-person household,West,Yes,0.01822,54,2472,0.01295,0.02349
2006,Single-person household,West,No,0.98178,2418,2472,0.97651,0.98705
2006,Single-person household,East,Yes,0.03099,31,816,0.01910,0.04289
2006,Single-person household,East,No,0.96901,785,816,0.95711,0.98090
2006,Couple without children,West,Yes,0.04918,162,3132,0.04161,0.05676
2006,Couple without children,West,No,0.95082,2970,3132,0.94324,0.95839
2006,Couple without children,East,Yes,0.07138,66,1026,0.05562,0.08715
2006,Couple without children,East,No,0.92862,960,1026,0.91285,0.94438
2006,Single parent,West,No,0.96717,562,562,0.95242,0.98191
2006,Single parent,East,No,0.89435,170,170,0.84801,0.94070
2006,Couple with children,West,Yes,0.09895,294,2984,0.08824,0.10967
2006,Couple with children,West,No,0.90105,2690,2984,0.89033,0.91176
2006,Couple with children,East,Yes,0.17774,126,853,0.15207,0.20342
2006,Couple with children,East,No,0.82226,727,853,0.79658,0.84793
2006,Multi-generational household,West,No,0.96593,75,75,0.92460,1.00727
2006,Other Combinations,West,No,0.96682,82,82,0.92781,1.00582
2011,Single-person household,West,Yes,0.02098,59,2622,0.01549,0.02647
2011,Single-person household,West,No,0.97694,2563,2622,0.97120,0.98269
2011,Single-person household,East,No,0.97096,865,865,0.95976,0.98215
2011,Couple without children,West,Yes,0.04381,157,3281,0.03681,0.05082
2011,Couple without children,West,No,0.95583,3124,3281,0.94880,0.96286
2011,Couple without children,East,Yes,0.07182,76,1090,0.05649,0.08716
2011,Couple without children,East,No,0.92818,1014,1090,0.91284,0.94351
2011,Single parent,West,No,0.49940,561,561,0.45798,0.54081
2011,Single parent,East,No,0.50067,183,183,0.42803,0.57332
2011,Couple with children,West,Yes,0.08053,269,2566,0.07000,0.09106
2011,Couple with children,West,No,0.71603,2297,2566,0.69858,0.73348
2011,Couple with children,East,Yes,0.11092,94,674,0.08719,0.13464
2011,Couple with children,East,No,0.67133,580,674,0.63585,0.70682
2011,Multi-generational household,West,No,0.84811,60,60,0.75653,0.93970
2011,Other Combinations,West,No,0.93263,72,72,0.87433,0.99094
2016,Single-person household,West,No,0.98291,2508,2508,0.97783,0.98798
2016,Single-person household,East,No,0.96786,837,837,0.95591,0.97982
2016,Couple without children,West,Yes,0.02950,99,3085,0.02353,0.03547
2016,Couple without children,West,No,0.96974,2986,3085,0.96369,0.97579
2016,Couple without children,East,Yes,0.05572,61,1012,0.04158,0.06986
2016,Couple without children,East,No,0.94344,951,1012,0.92920,0.95768
2016,Single parent,West,Yes,0.02886,42,1188,0.01934,0.03839
2016,Single parent,West,No,0.96559,1146,1188,0.95522,0.97596
2016,Single parent,East,Yes,0.08912,31,336,0.05861,0.11963
2016,Single parent,East,No,0.90064,305,336,0.86861,0.93268
2016,Couple with children,West,Yes,0.06939,301,4169,0.06168,0.07711
2016,Couple with children,West,No,0.92332,3868,4169,0.91524,0.93140
2016,Couple with children,East,Yes,0.12111,99,821,0.09878,0.14344
2016,Couple with children,East,No,0.86967,722,821,0.84663,0.89271
2016,Multi-generational household,West,No,0.91689,79,79,0.85563,0.97815
