year,rentown,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Owner,Yes,0.05288,162,2395,0.04392,0.06184
1996,Owner,No,0.94712,2233,2395,0.93816,0.95608
1996,Tenant,Yes,0.03609,202,4236,0.03047,0.04171
1996,Tenant,No,0.96391,4034,4236,0.95829,0.96953
2001,Owner,Yes,0.06666,396,5267,0.05992,0.07339
2001,Owner,No,0.93334,4871,5267,0.92661,0.94008
2001,Tenant,Yes,0.04254,336,6413,0.03760,0.04748
2001,Tenant,No,0.95746,6077,6413,0.95252,0.96240
2006,Owner,Yes,0.06950,467,6003,0.06307,0.07594
2006,Owner,No,0.93050,5536,6003,0.92406,0.93693
2006,Tenant,Yes,0.04346,319,6260,0.03841,0.04851
2006,Tenant,No,0.95654,5941,6260,0.95149,0.96159
2011,Owner,Yes,0.06016,437,5944,0.05411,0.06620
2011,Owner,No,0.87882,5507,5944,0.87052,0.88711
2011,Tenant,Yes,0.03206,288,6140,0.02766,0.03647
2011,Tenant,No,0.87834,5852,6140,0.87016,0.88651
2016,Owner,Yes,0.04569,386,6302,0.04054,0.05085
2016,Owner,No,0.95431,5916,6302,0.94915,0.95946
2016,Tenant,Yes,0.02719,301,7999,0.02363,0.03076
2016,Tenant,No,0.97281,7698,7999,0.96924,0.97637
2021,Owner,Yes,0.04642,286,5080,0.04063,0.05220
2021,Owner,No,0.95260,4794,5080,0.94675,0.95844
2021,Tenant,Yes,0.02046,183,5971,0.01687,0.02405
2021,Tenant,No,0.95922,5788,5971,0.95420,0.96423
