year,bula_h,quintil_oecd_hh,pet_fish,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Schleswig-Holstein,2nd Quintile,No,0.97624,32,32,0.92262,1.02985
1996,Lower Saxony,2nd Quintile,No,0.90290,86,86,0.83995,0.96585
1996,Lower Saxony,3rd Quintile,No,0.93510,113,113,0.88948,0.98073
1996,Lower Saxony,4th Quintile,No,0.96815,109,109,0.93503,1.00127
1996,Lower Saxony,5th Quintile,No,0.95839,94,94,0.91780,0.99897
1996,North Rhine-Westphalia,1st Quintile,No,0.95291,269,269,0.92755,0.97827
1996,North Rhine-Westphalia,2nd Quintile,No,0.96446,259,259,0.94187,0.98705
1996,North Rhine-Westphalia,3rd Quintile,No,0.96333,218,218,0.93833,0.98834
1996,North Rhine-Westphalia,4th Quintile,No,0.95003,242,242,0.92252,0.97754
1996,North Rhine-Westphalia,5th Quintile,No,0.97596,244,244,0.95670,0.99522
1996,Hesse,1st Quintile,No,0.98181,107,107,0.95637,1.00725
1996,Hesse,2nd Quintile,No,0.98026,73,73,0.94813,1.01239
1996,Hesse,3rd Quintile,No,0.95938,85,85,0.91717,1.00160
1996,Hesse,4th Quintile,No,0.95046,86,86,0.90433,0.99659
1996,Hesse,5th Quintile,No,0.97604,97,97,0.94545,1.00663
1996,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.97342,71,71,0.93574,1.01110
1996,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.93299,60,60,0.86919,0.99679
1996,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.94855,64,64,0.89399,1.00310
1996,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.97440,78,78,0.93913,1.00968
1996,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.93593,56,56,0.87121,1.00065
1996,Baden-Wuerttemberg,1st Quintile,No,0.96614,150,150,0.93710,0.99518
1996,Baden-Wuerttemberg,2nd Quintile,No,0.95039,159,159,0.91654,0.98425
1996,Baden-Wuerttemberg,3rd Quintile,No,0.98121,161,161,0.96017,1.00225
1996,Baden-Wuerttemberg,4th Quintile,No,0.97279,175,175,0.94861,0.99696
