year,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,Westdeutschland,,,,,,,,,,,,
1985,Westdeutschland,,,,,,,,,,,,
1986,Westdeutschland,,,,,,,,,,,,
1987,Westdeutschland,,,,,,,,,,,,
1988,Westdeutschland,,,,,,,,,,,,
1989,Westdeutschland,,,,,,,,,,,,
1990,Westdeutschland,,,,,,,,,,,,
1990,Ostdeutschland,,,,,,,,,,,,
1991,Westdeutschland,,,,,,,,,,,,
1991,Ostdeutschland,,,,,,,,,,,,
1992,Westdeutschland,,,,,,,,,,,,
1992,Ostdeutschland,,,,,,,,,,,,
1993,Westdeutschland,,,,,,,,,,,,
1993,Ostdeutschland,,,,,,,,,,,,
1994,Westdeutschland,,,,,,,,,,,,
1994,Ostdeutschland,,,,,,,,,,,,
1995,Westdeutschland,,,,,,,,,,,,
1995,Ostdeutschland,,,,,,,,,,,,
1996,Westdeutschland,,,,,,,,,,,,
1996,Ostdeutschland,,,,,,,,,,,,
1997,Westdeutschland,,,,,,,,,,,,
1997,Ostdeutschland,,,,,,,,,,,,
1998,Westdeutschland,,,,,,,,,,,,
1998,Ostdeutschland,,,,,,,,,,,,
1999,Westdeutschland,,,,,,,,,,,,
1999,Ostdeutschland,,,,,,,,,,,,
2000,Westdeutschland,,,,,,,,,,,,
2000,Ostdeutschland,,,,,,,,,,,,
2001,Westdeutschland,,,,,,,,,,,,
2001,Ostdeutschland,,,,,,,,,,,,
2002,Westdeutschland,,,,,,,,,,,,
2002,Ostdeutschland,,,,,,,,,,,,
2003,Westdeutschland,,,,,,,,,,,,
2003,Ostdeutschland,,,,,,,,,,,,
2004,Westdeutschland,,,,,,,,,,,,
2004,Ostdeutschland,,,,,,,,,,,,
2005,Westdeutschland,,,,,,,,,,,,
2005,Ostdeutschland,,,,,,,,,,,,
2006,Westdeutschland,,,,,,,,,,,,
2006,Ostdeutschland,,,,,,,,,,,,
2007,Westdeutschland,,,,,,,,,,,,
2007,Ostdeutschland,,,,,,,,,,,,
2008,Westdeutschland,7.991861006307263,7.980371402584807,8.00335061002972,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,14449.0
2008,Ostdeutschland,7.983803971830975,7.964127493868821,8.003480449793129,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,4746.0
2009,Westdeutschland,7.906876555461366,7.894998014855879,7.918755096066853,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,13372.0
2009,Ostdeutschland,7.880240665578775,7.860823665047768,7.899657666109782,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,4508.0
2010,Westdeutschland,7.892447483355091,7.882014830602361,7.902880136107821,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,18395.0
2010,Ostdeutschland,7.771219498226402,7.752872061952753,7.78956693450005,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,5449.0
2011,Westdeutschland,7.809858180928221,7.800398852404529,7.819317509451913,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,21911.0
2011,Ostdeutschland,7.708110673083468,7.69067676081734,7.725544585349596,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,6268.0
2012,Westdeutschland,7.847717069262221,7.838094162761395,7.857339975763047,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,21286.0
2012,Ostdeutschland,7.747689368079389,7.730047954946678,7.765330781212099,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,6107.0
2013,Westdeutschland,7.741076244567755,7.731215652757348,7.750936836378162,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,19826.0
2013,Ostdeutschland,7.675702153039064,7.657774259193143,7.693630046884985,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,5689.0
2014,Westdeutschland,,,,,,,,,,,,
2014,Ostdeutschland,,,,,,,,,,,,
2015,Westdeutschland,7.706846294364916,7.697064158538586,7.716628430191246,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,19650.0
2015,Ostdeutschland,7.665833821744833,7.646866588037527,7.684801055452139,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,5206.0
2016,Westdeutschland,,,,,,,,,,,,
2016,Ostdeutschland,,,,,,,,,,,,
2017,Westdeutschland,7.6378350203738,7.628336170043574,7.647333870704027,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,20857.0
2017,Ostdeutschland,7.6078641371836095,7.5892548864705045,7.626473387896715,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,5574.0
2018,Westdeutschland,,,,,,,,,,,,
2018,Ostdeutschland,,,,,,,,,,,,
2019,-2,7.82549843501481,7.66280230163583,7.988194568393789,7.0,8.0,9.0,4.0,11.0,8.0,8.0,8.0,76.0
2019,Westdeutschland,7.578418663332687,7.568613319888429,7.588224006776945,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,20027.0
2019,Ostdeutschland,7.517347144206324,7.498295758526082,7.536398529886567,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,5525.0
2020,Westdeutschland,7.71548269980927,7.706517340457941,7.724448059160599,7.0,8.0,9.0,4.0,12.0,8.0,8.0,8.0,22575.0
2020,Ostdeutschland,7.683416232122192,7.665014952449687,7.7018175117946965,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,5683.0
2021,Westdeutschland,7.607010495605966,7.596563195096883,7.6174577961150485,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,15383.0
2021,Ostdeutschland,7.575669625693452,7.554031314519395,7.59730793686751,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,3867.0
