year,rentown,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Owner,West,2005,107.11020,105.18627,108.85193,80.00000,100.00000,127.00000,28.00000,197.50000,100.00000,100.00000,100.00000
1984,Tenant,West,3858,69.54107,68.60029,70.34474,53.00000,67.00000,82.00000,9.50000,125.50000,67.00000,66.00000,69.00000
1985,Owner,West,1865,106.48409,104.43091,108.24145,80.00000,100.00000,125.00000,16.00000,192.50000,100.00000,100.00000,100.00000
1985,Tenant,West,3407,69.00959,68.03714,70.04145,52.00000,65.00000,80.00000,10.00000,122.00000,65.00000,63.00000,65.00000
1986,Owner,West,1836,106.72302,104.52460,108.56758,80.00000,100.00000,126.00000,20.00000,195.00000,100.00000,100.00000,100.00000
1986,Tenant,West,3199,69.56923,68.56125,70.54598,53.00000,66.00000,82.00000,9.50000,125.50000,66.00000,64.00000,67.00000
1987,Owner,West,1830,106.49376,104.40189,108.20205,80.00000,100.00000,126.00000,15.00000,195.00000,100.00000,100.00000,100.00000
1987,Tenant,West,3143,70.08598,69.13802,71.05054,53.00000,65.00000,83.00000,11.00000,128.00000,65.00000,62.00000,65.00000
1988,Owner,West,1748,107.63740,105.83791,109.31778,80.00000,100.00000,130.00000,15.00000,205.00000,100.00000,98.97500,100.00000
1988,Tenant,West,3021,70.78634,69.64837,71.69425,54.00000,67.00000,83.00000,10.50000,126.50000,67.00000,66.00000,69.00000
1989,Owner,West,1713,108.72837,106.75778,110.66011,80.00000,100.00000,130.00000,15.00000,205.00000,100.00000,95.00000,100.00000
1989,Tenant,West,2935,70.70582,69.84954,71.68455,54.00000,68.00000,83.00000,10.50000,126.50000,68.00000,67.00000,70.00000
1990,Owner,West,1738,108.56764,106.39533,110.45009,80.00000,100.00000,130.00000,15.00000,205.00000,100.00000,96.00000,100.00000
1990,Owner,East,624,86.55556,83.66919,89.46017,60.00000,80.00000,103.56334,27.00000,168.90835,80.00000,75.00000,80.00000
1990,Tenant,West,2853,70.71548,69.40523,71.72115,55.00000,68.00000,83.00000,13.00000,125.00000,68.00000,67.00000,70.00000
1990,Tenant,East,1529,57.40931,56.18833,58.76792,42.00000,55.00000,68.00000,10.00000,107.00000,55.00000,54.00000,56.02500
1991,Owner,West,1752,110.62644,108.74945,112.23644,83.00000,104.00000,130.00000,15.00000,200.50000,104.00000,100.00000,108.00000
1991,Owner,East,587,87.53667,84.11899,90.41242,60.00000,80.00000,105.00000,23.00000,172.50000,80.00000,75.97500,80.00000
1991,Tenant,West,2889,70.83822,69.59306,71.92118,55.00000,67.00000,84.00000,11.50000,127.50000,67.00000,66.00000,69.00000
1991,Tenant,East,1400,58.07566,56.63381,59.47666,44.00000,55.00000,69.00000,10.00000,106.50000,55.00000,54.00000,56.00000
1992,Owner,West,1771,111.46086,109.00856,113.25777,85.00000,105.00000,130.00000,17.50000,197.50000,105.00000,100.00000,110.00000
1992,Owner,East,564,89.51186,86.76843,92.58288,62.74877,80.00000,110.00000,27.00000,180.87684,80.00000,74.97500,80.00000
1992,Tenant,West,2886,70.77793,69.62109,71.93926,55.00000,67.00000,83.00000,13.00000,125.00000,67.00000,66.00000,69.00000
1992,Tenant,East,1382,58.53390,57.23180,59.94495,45.00000,56.00000,69.00000,11.00000,105.00000,56.00000,55.00000,57.00000
1993,Owner,West,1771,112.31817,110.08058,114.20459,85.00000,106.00000,130.00000,17.50000,197.50000,106.00000,102.00000,110.00000
1993,Owner,East,551,92.04892,88.21000,95.26127,65.00000,85.00000,110.00000,27.00000,177.50000,85.00000,80.00000,90.00000
1993,Tenant,West,2913,71.50964,70.27607,72.69017,55.00000,68.00000,85.00000,10.00000,130.00000,68.00000,66.00000,69.00000
1993,Tenant,East,1334,59.37928,57.97743,60.78053,46.00000,56.00000,69.00000,11.50000,103.50000,56.00000,54.00000,57.00000
1994,Owner,West,1773,113.50399,111.22540,115.35871,86.00000,110.00000,135.00000,15.00000,208.50000,110.00000,110.00000,115.02500
1994,Owner,East,558,91.89834,89.00151,94.95532,66.78436,85.00000,110.00000,15.00000,174.82346,85.00000,80.00000,90.00000
1994,Tenant,West,2860,71.59186,70.45980,72.70801,55.00000,68.00000,85.00000,10.00000,130.00000,68.00000,66.00000,69.00000
1994,Tenant,East,1302,58.73036,57.12963,60.21185,46.00000,56.00000,69.00000,11.50000,103.50000,56.00000,55.00000,57.00000
1995,Owner,West,1804,114.03906,111.64572,115.96758,86.00000,110.00000,135.00000,15.00000,208.50000,110.00000,110.00000,115.02500
1995,Owner,East,560,93.33648,89.85981,96.44155,68.45669,88.00000,112.00000,15.00000,177.31497,88.00000,85.97500,96.00000
1995,Tenant,West,3067,71.45930,70.33526,72.55169,55.00000,68.00000,85.00000,10.00000,130.00000,68.00000,67.00000,69.02500
1995,Tenant,East,1266,59.05500,57.57385,60.66034,46.00000,56.00000,70.00000,10.00000,106.00000,56.00000,54.00000,57.00000
1996,Owner,West,1811,114.58715,112.37352,116.57636,87.00000,110.00000,135.00000,15.00000,207.00000,110.00000,110.00000,116.00000
1996,Owner,East,584,95.73535,91.90821,98.80987,70.00000,90.00000,117.72612,15.00000,189.31529,90.00000,81.00000,95.00000
1996,Tenant,West,2982,72.00281,70.79155,73.07477,55.00000,68.00000,85.00000,10.00000,130.00000,68.00000,66.00000,68.00000
1996,Tenant,East,1254,60.59700,59.05040,62.10720,47.00000,57.00000,70.00000,12.50000,104.50000,57.00000,54.00000,58.00000
1997,Owner,West,1845,115.13042,112.89727,117.10089,87.00000,110.00000,136.00000,13.50000,209.50000,110.00000,108.00000,113.00000
1997,Owner,East,599,96.51023,92.82125,99.77759,70.00000,92.00000,120.00000,15.00000,195.00000,92.00000,84.00000,94.00000
1997,Tenant,West,2880,72.25952,71.03971,73.42785,55.00000,69.00000,85.00000,10.00000,130.00000,69.00000,68.00000,70.00000
1997,Tenant,East,1222,60.08749,58.42209,61.15577,48.00000,58.00000,70.00000,15.00000,103.00000,58.00000,57.00000,60.00000
1998,Owner,West,2218,116.93306,114.84734,118.72922,90.00000,110.00000,139.83487,15.24770,214.58716,110.00000,105.00000,110.00000
1998,Owner,East,683,103.50758,99.95350,106.77143,80.00000,100.00000,120.00000,22.00000,180.00000,100.00000,100.00000,100.00000
1998,Tenant,West,3239,72.42422,71.42099,73.35141,55.00000,70.00000,85.00000,10.00000,130.00000,70.00000,70.00000,72.00000
1998,Tenant,East,1277,62.65766,61.36934,63.62840,50.00000,60.00000,71.00000,18.50000,102.50000,60.00000,60.00000,62.00000
1999,Owner,West,2176,117.74399,115.58005,119.90117,90.00000,114.00000,140.00000,15.00000,215.00000,114.00000,108.00000,118.00000
1999,Owner,East,683,103.64193,98.43643,107.59160,78.00000,100.00000,120.00000,22.00000,183.00000,100.00000,100.00000,102.00000
1999,Tenant,West,3037,72.67618,71.37775,73.94943,55.00000,70.00000,86.00000,10.00000,132.50000,70.00000,70.00000,72.00000
1999,Tenant,East,1247,63.10173,61.61911,64.35313,50.00000,60.00000,72.00000,17.00000,105.00000,60.00000,60.00000,62.00000
2000,Owner,West,4668,119.64108,118.45317,121.11343,90.00000,118.00000,140.00000,20.00000,215.00000,118.00000,116.00000,121.02500
2000,Owner,East,1157,104.68974,100.89904,107.82373,80.00000,100.00000,120.00000,21.00000,180.00000,100.00000,100.00000,100.00000
2000,Tenant,West,5208,73.14848,72.32369,73.90148,56.00000,70.00000,86.00000,11.00000,131.00000,70.00000,70.00000,71.00000
2000,Tenant,East,1917,62.33277,61.46627,63.33912,49.00000,59.00000,71.00000,16.00000,104.00000,59.00000,58.00000,60.00000
2001,Owner,West,4164,119.42729,118.07378,120.67530,90.00000,118.00000,140.00000,15.00000,215.00000,118.00000,116.00000,121.00000
2001,Owner,East,1103,103.53463,100.53508,106.16478,80.00000,100.00000,120.00000,21.00000,180.00000,100.00000,100.00000,100.00000
2001,Tenant,West,4673,74.01655,73.11702,74.79462,56.00000,70.00000,87.00000,10.00000,133.50000,70.00000,70.00000,70.00000
2001,Tenant,East,1740,62.90092,61.97062,63.99607,50.00000,60.00000,71.00000,18.50000,102.50000,60.00000,60.00000,61.00000
2002,Owner,West,4735,118.20742,116.91408,119.60551,90.00000,115.00000,140.00000,18.00000,215.00000,115.00000,110.00000,120.00000
2002,Owner,East,1109,101.68308,98.77429,104.72541,80.00000,100.00000,120.00000,20.00000,180.00000,100.00000,100.00000,100.00000
2002,Tenant,West,4635,73.87962,73.13894,74.83846,56.00000,70.00000,86.00000,11.00000,131.00000,70.00000,70.00000,71.00000
2002,Tenant,East,1733,62.98233,61.86738,64.03874,49.00000,60.00000,72.00000,14.50000,106.50000,60.00000,60.00000,61.00000
2003,Owner,West,4551,117.44426,115.90207,118.88928,90.00000,113.00000,140.00000,18.00000,215.00000,113.00000,109.00000,116.00000
2003,Owner,East,1108,103.23686,100.79158,106.31882,80.00000,100.00000,120.00000,20.00000,180.00000,100.00000,100.00000,100.00000
2003,Tenant,West,4448,73.71827,72.84189,74.55367,55.77650,70.00000,86.00000,11.00000,131.33524,70.00000,70.00000,71.00000
2003,Tenant,East,1697,62.89544,61.73716,64.00579,50.00000,60.00000,72.00000,17.00000,105.00000,60.00000,60.00000,61.00000
