year,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2011,West,12859,98.17627365560688,97.40708294467277,98.94546436654099,66.0,89.0,120.0,11.0,201.0,89.0,88.0,92.0
2011,East,3744,79.21155396570214,78.1031249692574,80.31998296214688,56.0,70.0,100.0,9.0,166.0,70.0,69.0,72.0
2012,West,12591,98.68785619865952,97.89494791160992,99.48076448570912,66.0,90.0,120.0,12.0,201.0,90.0,90.0,93.0
2012,East,3712,79.40986977140079,78.27692887304487,80.54281066975672,56.0,70.0,100.0,9.0,166.0,70.0,70.0,70.0
2013,West,14213,97.96516464029315,97.22823830234971,98.7020909782366,66.0,89.0,120.0,10.0,201.0,89.0,88.0,92.0
2013,East,3657,79.78811120560064,78.62044734917899,80.9557750620223,56.0,70.0,100.0,10.0,166.0,70.0,68.0,71.0
2014,West,12447,98.9991612017118,98.20246829957394,99.79585410384966,67.0,90.0,120.0,10.0,199.5,90.0,90.0,92.0
2014,East,3381,79.04559124524984,77.8518447220126,80.23933776848708,56.0,70.0,98.0,10.0,161.0,70.0,69.0,72.0
2015,West,12482,99.10144700998198,98.3001234327082,99.90277058725576,67.0,90.0,120.0,10.0,199.5,90.0,90.0,92.0
2015,East,3282,79.0498617467888,77.84247254752407,80.25725094605355,55.0,70.0,100.0,13.0,167.5,70.0,70.0,72.0
2016,West,12837,99.31794679826577,98.52485529871501,100.11103829781652,67.0,90.0,120.0,6.0,199.5,90.0,90.0,91.0
2016,East,3423,80.61030172666072,79.36929712415504,81.8513063291664,56.0,70.0,100.0,12.0,166.0,70.0,68.0,70.025
2017,West,14376,99.46450635604522,98.71198889979708,100.21702381229336,67.0,90.0,124.0,9.0,209.5,90.0,90.0,90.0
2017,East,3787,81.23317584871596,80.04750530124551,82.41884639618641,56.0,70.0,100.0,10.0,166.0,70.0,68.0,70.0
2018,West,14038,99.87820442081357,99.11568577891222,100.64072306271493,67.0,90.0,125.0,11.0,212.0,90.0,88.0,90.0
2018,East,3771,81.82617215921655,80.62744175858019,83.02490255985292,56.0,71.0,100.0,14.0,166.0,71.0,68.0,72.0
2019,West,14437,100.78199424689821,100.00799673180505,101.55599176199136,68.0,90.0,125.0,10.0,210.5,90.0,88.0,90.0
2019,East,3904,83.23658068740207,82.03781266096472,84.43534871383942,57.0,73.0,103.22871254625476,15.0,172.57178136563687,73.0,71.0,76.0
2020,West,15487,101.84352541265666,101.09783602755395,102.58921479775937,68.0,92.0,126.0,9.0,213.0,92.0,89.0,94.0
2020,East,3842,84.59254359740706,83.33081262329017,85.85427457152394,58.0,74.0,105.0,12.0,175.5,74.0,72.0,77.025
2021,West,9978,102.27816393538811,101.33325302662176,103.22307484415445,68.0,92.0,127.0,9.0,215.5,92.0,89.0,94.0
2021,East,2589,86.24824858403174,84.67859521133562,87.81790195672787,59.0,75.21572367596092,110.0,11.0,186.5,75.0,70.0,77.025
