year,quintil_oecd_hh,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,,Urban regions,2333,72.69794250049155,72.11411592792172,73.28176907306138,53.0,68.0,88.0,10.0,140.5,68.0,66.0,70.0
1985,,Rural regions,655,86.81503632346912,85.55606018338058,88.07401246355765,60.0,80.0,104.05439978202826,13.0,170.13599945507065,80.0,75.0,80.0
1985,,Urban regions,1116,86.0981828100081,85.0985207163032,87.097844903713,60.0,80.0,100.0,9.0,160.0,80.0,80.0,84.0
1985,,Rural regions,259,101.63941970959041,99.3724284268152,103.90641099236562,75.0,100.0,120.0,20.0,187.5,100.0,99.0,110.0
1985,,Urban regions,500,89.75077774680233,88.16503723873733,91.33651825486733,63.0,82.84970629199346,110.0,12.0,180.5,83.0,78.0,86.0
1985,,Rural regions,115,105.19994090515273,101.88176307072263,108.51811873958283,80.0,100.0,122.20078984964054,35.0,185.50197462410136,100.0,95.0,110.0
1985,,Urban regions,172,105.94514455715739,102.668762317552,109.22152679676279,72.0,100.0,127.18340019594869,24.0,209.9585004898717,100.0,92.92499999999998,110.0
1985,,Rural regions,33,106.6926955704185,99.6520305268148,113.73336061402219,79.36631421340478,100.0,130.0,30.0,200.0,100.0,80.0,110.0
1985,,Urban regions,66,131.48163387572478,121.60743015802836,141.3558375934212,86.18505254919498,120.0,144.64909177511018,28.0,232.34515061398298,120.0,110.0,140.0
1985,,Rural regions,,,,,,,,,,,,
1986,,Urban regions,2110,73.68372145700391,72.98191498442858,74.38552792957924,53.0,69.0,90.0,8.0,145.5,69.0,68.0,71.0
1986,,Rural regions,578,88.51519093557182,87.0495564915803,89.98082537956334,60.0,80.0,105.0,16.0,172.5,80.0,71.975,80.0
1986,,Urban regions,1125,81.23920247536427,80.32755908208784,82.15084586864069,60.0,76.0,100.0,11.0,160.0,76.0,72.0,78.0
1986,,Rural regions,274,95.62214693678838,93.52502057796542,97.71927329561134,70.0,90.0,120.0,16.0,195.0,90.0,80.0,100.0
1986,,Urban regions,530,95.63776444898166,94.12117122215267,97.15435767581064,70.0,90.0,119.74924293773331,20.0,194.37310734433328,90.0,85.0,95.0
1986,,Rural regions,110,103.72398910633399,100.7089522469602,106.73902596570778,80.0,100.0,130.0,42.0,205.0,100.0,95.0,110.0
1986,,Urban regions,189,108.4776212286818,105.19353172137691,111.76171073598668,76.58079776580946,100.0,130.0,24.0,210.1288033512858,100.0,92.94999999999999,110.0
1986,,Rural regions,46,119.46136216584254,112.77183630421457,126.15088802747051,86.54722781614987,104.54678349607906,132.27305606833536,60.0,200.8617984466136,105.0,90.0,112.05
1986,,Urban regions,56,120.20673171805024,114.72415804665663,125.68930538944385,92.10638333627224,120.0,138.95018203126153,37.0,209.21588007374547,120.0,110.0,140.0
1986,,Rural regions,,,,,,,,,,,,
1987,,Urban regions,1878,72.29497730021346,71.64032221837319,72.94963238205374,52.0,68.0,87.0,12.0,139.5,68.0,66.0,71.0
1987,,Rural regions,543,88.3128392092844,86.78370812991594,89.84197028865287,60.95550603954635,80.0,102.0,16.0,163.56674094068046,80.0,75.0,82.0
1987,,Urban regions,1138,82.27824001642144,81.31067226879408,83.24580776404879,60.0,76.0,100.0,11.0,160.0,76.0,72.0,78.0
1987,,Rural regions,279,98.42317556344715,96.2998805937719,100.54647053312239,72.0,95.0,120.0,20.0,192.0,95.0,90.0,100.0
1987,,Urban regions,642,92.722071448555,91.40039041171818,94.04375248539182,66.0,88.0,115.0,16.0,188.5,88.0,85.94999999999999,92.0
1987,,Rural regions,122,103.0858482955419,100.2970392855487,105.87465730553508,80.0,100.0,124.76159945836152,48.0,191.9039986459038,100.0,90.0,110.0
1987,,Urban regions,216,100.03501560820463,97.54016134411754,102.52986987229173,75.0,95.0,120.0,16.0,187.5,95.0,90.0,106.0
1987,,Rural regions,45,125.77689276260091,119.20742729476616,132.34635823043567,95.13049518595078,120.0,150.0,60.0,232.30425722107384,120.0,110.0,140.0
1987,,Urban regions,88,122.77361270552912,117.52229842875144,128.0249269823068,86.99129785973287,115.14770814624168,140.0,38.0,219.5130532104007,116.0,102.0,131.0
1987,,Rural regions,,,,,,,,,,,,
1988,,Urban regions,1701,72.79411509944298,72.10577141990642,73.48245877897953,54.0,68.0,87.0,10.0,136.5,68.0,66.0,71.0
1988,,Rural regions,458,86.04250473487625,84.50009129443923,87.58491817531326,60.0,80.0,100.0,16.0,160.0,80.0,77.0,85.0
1988,,Urban regions,1138,82.97844596832202,82.04493917183697,83.91195276480707,60.0,77.0,100.0,10.0,160.0,77.0,74.0,79.0
1988,,Rural regions,300,100.14036459490266,97.75752783049319,102.52320135931214,72.0,95.0,120.0,20.0,192.0,95.0,90.0,100.0
1988,,Urban regions,622,93.23819901889061,91.75103881352732,94.7253592242539,65.0,85.0,116.0,16.0,192.5,85.0,80.0,89.025
1988,,Rural regions,131,106.84408633903168,103.85919055501363,109.82898212304973,80.0,100.0,130.0,25.0,205.0,100.0,94.0,110.0
1988,,Urban regions,262,99.55194035194333,97.27558548686247,101.82829521702419,73.23327118561545,90.0,120.0,20.0,190.1500932215768,90.0,80.0,95.0
1988,,Rural regions,44,118.55160672367526,112.3178441953407,124.78536925200983,89.63605319629724,118.334706583888,140.0,59.0,215.54592020555413,120.0,111.0,144.0
1988,,Urban regions,91,122.56100940675488,117.7551018955204,127.36691691798936,90.0,120.0,140.34073117107553,38.0,215.85182792768882,120.0,110.0,140.0
1988,,Rural regions,,,,,,,,,,,,
1989,,Urban regions,1517,72.27665636467673,71.55090036025003,73.00241236910342,54.0,68.0,86.0,10.0,134.0,68.0,66.975,71.0
1989,,Rural regions,393,86.0536647860706,84.23892198428165,87.86840758785955,60.0,80.0,100.0,15.0,160.0,80.0,77.0,86.0
1989,,Urban regions,1137,82.49190698639075,81.55628286147811,83.42753111130338,60.0,76.31798307209266,100.0,10.0,160.0,76.0,72.0,78.0
1989,,Rural regions,285,96.42616463378296,94.25497512295524,98.59735414461068,70.0,90.0,120.0,18.0,195.0,90.0,82.0,95.0
1989,,Urban regions,670,91.21914576820592,89.91507137357735,92.52322016283449,66.0,85.0,112.0,16.0,181.0,85.0,82.0,89.0
1989,,Rural regions,154,108.22703918913695,105.59883471925698,110.8552436590169,80.0,100.0,130.35978282765313,45.0,205.89945706913284,100.0,80.0,104.0
1989,,Urban regions,296,100.7010918276887,98.35220948767194,103.04997416770546,70.0,90.42881047677722,120.0,25.0,195.0,90.0,80.0,93.0
1989,,Rural regions,63,119.73112738152639,114.3792531499809,125.08300161307189,90.0,110.0,129.1550907442732,52.0,187.887726860683,110.0,100.0,120.0
1989,,Urban regions,116,118.14458746227892,113.99759036170767,122.29158456285018,86.0,110.0,140.0,27.0,221.0,110.0,100.0,120.0
1989,,Rural regions,,,,,,,,,,,,
1990,,Urban regions,1352,72.88563450092441,72.09227150745002,73.6789974943988,54.0,68.0,87.11897121776155,10.0,136.7974280444039,68.0,66.0,71.0
1990,,Rural regions,390,86.08781001401043,84.31535680452046,87.8602632235004,60.0,80.0,100.0,15.0,160.0,80.0,75.0,86.0
1990,,Urban regions,1125,81.80843986501101,80.87737060323254,82.73950912678949,60.0,75.0,100.0,12.0,160.0,75.0,70.0,76.0
1990,,Rural regions,261,92.56171067187904,90.40900438405285,94.71441695970523,66.66644099232727,90.0,119.73376227341919,18.0,199.33474419505706,90.0,84.94999999999999,100.0
1990,,Urban regions,682,89.58199860606669,88.21196763522909,90.9520295769043,63.0,80.0,110.0,16.0,180.5,80.0,75.0,80.0
1990,,Rural regions,188,104.55664817563253,101.84104970253246,107.2722466487326,79.16839442307801,100.0,130.0,25.0,206.24740836538297,100.0,95.84999999999997,110.0
1990,,Urban regions,361,95.90409914917926,94.12595005121378,97.68224824714474,70.0,90.0,120.0,16.0,195.0,90.0,85.0,95.0
1990,,Rural regions,65,119.01796425484046,114.99380490135364,123.04212360832729,89.94935837184552,120.0,144.87824247898996,52.0,200.0,120.0,114.92499999999998,140.0
1990,,Urban regions,140,120.31695482381956,116.49623340691355,124.13767624072557,90.0,110.0,140.0,27.0,215.0,110.0,100.0,120.0
1990,,Rural regions,,,,,,,,,,,,
1991,,Urban regions,1142,70.29942161677964,69.46867144938908,71.1301717841702,52.0,65.0,85.0,9.0,134.5,65.0,63.974999999999994,68.0
1991,,Rural regions,336,86.52362674850724,84.50456529142214,88.54268820559234,60.0,78.0,100.0,15.0,160.0,78.0,76.0,82.025
1991,,Urban regions,1064,83.3975979050952,82.43791493652081,84.35728087366958,60.0,76.38658689532659,100.0,12.0,160.0,76.0,72.0,77.0
1991,,Rural regions,264,95.32535425863102,93.10278018111461,97.54792833614744,70.0,90.0,120.0,16.0,195.0,90.0,82.0,97.075
1991,,Urban regions,765,88.42240538377736,87.21884207689689,89.62596869065783,64.0,80.0,110.0,10.0,179.0,80.0,75.0,80.0
1991,,Rural regions,220,99.213125435171,96.95083442501637,101.47541644532562,75.0,98.0,120.0,25.0,187.5,98.0,96.0,106.0
1991,,Urban regions,509,95.13612293454423,93.50387934542661,96.76836652366185,66.0,90.0,118.0,20.0,196.0,90.0,85.0,96.0
1991,,Rural regions,89,126.05520608684269,121.2905944684472,130.8198177052382,90.0,120.0,150.0,45.0,240.0,120.0,117.0,136.0
1991,,Urban regions,198,112.82900516538818,109.63209711509842,116.02591321567795,80.0,101.51403101095546,140.0,27.0,230.0,101.0,82.0,104.0
1991,,Rural regions,32,134.35692436393842,127.28283989277793,141.4310088350989,99.79276960677296,127.58121806434922,162.0296854914988,52.0,220.0,128.0,96.0,151.125
1992,,Urban regions,1403,68.42963586086981,67.68954460515295,69.16972711658667,50.0,63.0,80.0,9.0,125.0,63.0,61.0,65.0
1992,,Rural regions,1150,72.70162128394338,71.69651280682248,73.70672976106428,50.0,64.0,90.0,15.0,150.0,64.0,62.0,68.0
1992,,Urban regions,1241,80.00114494709578,79.12362393429765,80.87866595989391,58.0,72.0,100.0,11.0,163.0,72.0,69.0,74.0
1992,,Rural regions,564,90.33112779928663,88.86224551096356,91.8000100876097,64.0,82.6524365415362,110.0,15.0,179.0,83.0,76.0,86.0
1992,,Urban regions,854,85.4641554277541,84.3396299233092,86.58868093219898,60.0,80.0,103.0,16.0,167.5,80.0,78.0,85.0
1992,,Rural regions,287,98.14643115614236,95.7081825017265,100.58467981055821,70.0,90.0,120.0,32.0,195.0,90.0,80.0,100.0
1992,,Urban regions,634,96.4860759408603,95.09622141227013,97.87593046945048,70.0,90.0,120.0,10.0,195.0,90.0,87.0,95.0
1992,,Rural regions,131,116.3894618661985,112.62998734464114,120.14893638775587,90.0,103.59582336673634,136.6628773215015,40.0,206.65719330375373,104.0,88.0,108.0
1992,,Urban regions,241,113.65219685790014,110.7857934081882,116.51860030761208,83.0,106.80261743092944,140.0,27.0,225.5,107.0,100.0,114.0
1992,,Rural regions,37,150.5138452536296,143.4168666321187,157.61082387514048,125.0,143.437075292199,176.88107027583854,52.0,245.0,145.0,120.0,161.025
1993,,Urban regions,1203,68.25086230354493,67.44732818307646,69.0543964240134,50.0,63.0,80.0,9.0,125.0,63.0,61.0,66.0
1993,,Rural regions,926,70.8353627761521,69.74570727136482,71.92501828093937,50.0,61.0,85.0,10.0,137.5,61.0,57.0,62.0
1993,,Urban regions,1190,80.4291219262189,79.55626413216837,81.30197972026943,58.0,75.0,99.8172696105869,15.0,162.54317402646726,75.0,72.0,80.0
1993,,Rural regions,677,89.91956548057861,88.59218273262923,91.246948228528,62.0,85.0,110.0,15.0,182.0,85.0,80.0,90.0
1993,,Urban regions,983,86.9350048147737,85.89014290422702,87.97986672532039,60.0,80.0,106.07148556756793,16.0,175.1787139189198,80.0,78.0,84.0
1993,,Rural regions,377,94.76777175809715,92.95644239551781,96.5791011206765,66.57501817851808,90.0,120.0,18.0,200.13747273222288,90.0,80.0,100.0
1993,,Urban regions,687,94.66896968165918,93.20399871224254,96.13394065107582,68.0,85.0,116.0,10.0,188.0,85.0,80.0,89.0
