year,regtyp,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,Owner,1302,104.96601406547849,102.71664228892612,107.21538584203086,78.0,100.0,124.0,16.0,193.0,100.0,100.0,100.0
1985,Urban regions,Tenant,2891,67.8170512752802,66.88536127651611,68.7487412740443,50.0,65.0,80.0,9.0,125.0,65.0,65.0,67.0
1985,Rural regions,Owner,563,109.86980931716238,106.82998870912137,112.90962992520339,85.29598707009312,104.0,130.0,30.0,197.05601939486033,104.0,98.0,108.0
1985,Rural regions,Tenant,516,74.49586694927349,72.20105627743047,76.79067762111652,56.0,70.0,90.0,13.0,141.0,70.0,68.0,73.025
1986,Urban regions,Owner,1289,105.06947089371148,102.79580776681303,107.34313402060994,79.0,100.0,125.0,24.0,194.0,100.0,100.0,100.0
1986,Urban regions,Tenant,2723,68.32187252484255,67.36807221940684,69.27567283027825,52.0,65.0,80.0,10.0,122.0,65.0,63.0,66.0
1986,Rural regions,Owner,547,110.44781942549308,107.26160317140865,113.63403567957751,86.0,102.0,130.0,20.0,196.0,102.0,94.0,104.0
1986,Rural regions,Tenant,476,75.46397829485034,72.82495712123325,78.10299946846742,56.0,70.0,90.0,16.0,141.0,70.0,68.0,72.0
1987,Urban regions,Owner,1299,104.65095268337241,102.59102206603623,106.71088330070859,78.0,100.0,125.0,15.0,195.5,100.0,100.0,100.0
1987,Urban regions,Tenant,2664,68.62094978469156,67.63754441510771,69.60435515427541,51.0,65.0,80.0,11.0,123.5,65.0,63.974999999999994,66.0
1987,Rural regions,Owner,531,110.68833631555414,107.37362569198315,114.00304693912513,85.0,101.0,130.0,40.0,197.5,101.0,92.0,102.0
1987,Rural regions,Tenant,479,77.14376166093854,74.46191979022367,79.8256035316534,57.0,70.0,90.0,16.0,139.5,70.0,65.975,72.0
1988,Urban regions,Owner,1259,105.80293680867166,103.6755792412525,107.93029437609081,80.0,100.0,125.0331107886527,15.0,192.58277697163174,100.0,100.0,100.0
1988,Urban regions,Tenant,2556,69.49293751515867,68.48111162886421,70.50476340145313,54.0,65.0,81.0,13.5,121.5,65.0,63.0,65.0
1988,Rural regions,Owner,489,112.01627850035378,108.4659248134733,115.56663218723426,89.79266442603989,102.0,130.0,29.48166106509973,190.31100336094016,102.0,94.0,104.0
1988,Rural regions,Tenant,465,77.04381895540995,74.23270984157895,79.85492806924094,59.0,70.0,90.0,16.0,136.5,70.0,66.0,72.0
1989,Urban regions,Owner,1243,106.81322187314485,104.69075283825399,108.93569090803572,80.0,100.0,127.0,15.0,197.5,100.0,95.0,100.0
1989,Urban regions,Tenant,2491,69.43316061849559,68.41215740178261,70.45416383520858,53.0,66.0,81.0,11.0,123.0,66.0,64.0,67.0
1989,Rural regions,Owner,470,113.48259389789663,109.75035802457826,117.21482977121501,89.69434979115744,104.0,130.0,29.23587447789359,190.45847531326385,104.0,98.0,108.0
1989,Rural regions,Tenant,444,77.0141393724219,74.21536952039934,79.81290922444445,57.0,72.0,90.0,16.0,139.5,72.0,69.0,74.0
1990,Urban regions,Owner,1339,106.1314786098843,104.0860308940667,108.1769263257019,80.0,100.0,125.78274506917892,15.0,194.4568626729473,100.0,97.0,100.0
1990,Urban regions,Tenant,3071,68.34646343822723,67.41951908476491,69.27340779168955,52.0,65.0,80.0,10.0,122.0,65.0,64.0,66.0
1990,Rural regions,Owner,1021,104.91278521006171,102.4324874303863,107.39308298973712,80.0,100.0,122.99256991290191,15.511145130647122,187.4814247822548,100.0,100.0,103.0
1990,Rural regions,Tenant,1268,65.84652341525049,64.36001233243833,67.33303449806264,49.0,60.0,80.0,13.0,126.5,60.0,57.0,60.0
1991,Urban regions,Owner,1341,107.93840263918001,105.84511522328228,110.03169005507775,80.0,100.0,130.0,15.0,205.0,100.0,95.0,100.0
1991,Urban regions,Tenant,3016,68.51843950837932,67.61266155883294,69.42421745792569,52.0,65.0,80.0,10.0,122.0,65.0,64.0,66.0
1991,Rural regions,Owner,995,106.98968129420795,104.46216772500715,109.51719486340876,80.0,100.0,128.7300254434061,15.0,201.82506360851528,100.0,100.0,100.0
1991,Rural regions,Tenant,1230,66.53691433515853,64.90684723156116,68.1669814387559,48.22596137489259,60.0,80.0,15.0,127.66105793766111,60.0,58.0,60.0
1992,Urban regions,Owner,1370,108.52981645838238,106.47594338357443,110.58368953319034,80.0,100.0,130.0,15.0,205.0,100.0,92.975,100.0
1992,Urban regions,Tenant,3005,68.41348035583806,67.50845183834952,69.3185088733266,52.535898402693256,65.0,80.0,11.339746006733144,121.19615239596011,65.0,64.0,66.0
1992,Rural regions,Owner,962,108.99133242900015,106.32774358975885,111.65492126824145,80.0,100.0,130.0,15.0,205.0,100.0,95.0,100.0
1992,Rural regions,Tenant,1207,66.87098644456553,65.16178735941885,68.58018552971221,50.0,60.0,80.0,15.0,125.0,60.0,58.0,60.0
1993,Urban regions,Owner,1359,109.65791577107088,107.53473551779882,111.78109602434293,80.0,103.0,130.0,15.0,205.0,103.0,97.975,106.0
1993,Urban regions,Tenant,3009,69.19936917231922,68.28962064755906,70.10911769707938,54.0,65.0,80.0,15.0,119.0,65.0,63.0,65.025
1993,Rural regions,Owner,963,109.7491535052709,107.16941243036767,112.32889458017412,80.0,100.0,130.0,10.0,205.0,100.0,90.0,100.0
1993,Rural regions,Tenant,1238,67.67982376289234,66.00613928134882,69.35350824443586,50.0,60.0,80.0,14.0,125.0,60.0,55.0,60.0
1994,Urban regions,Owner,1347,111.16015194083923,109.02676757611457,113.29353630556389,83.37875731135668,104.48939427243582,130.0,27.0,199.931864032965,104.0,98.0,108.0
1994,Urban regions,Tenant,2965,69.39596376541269,68.48471956724829,70.30720796357708,53.0,65.0,82.0,9.5,125.5,65.0,62.974999999999994,65.0
1994,Rural regions,Owner,984,110.06759282367061,107.61281571215521,112.522369935186,80.0,100.87060702713595,130.0,15.0,205.0,101.0,92.0,102.0
1994,Rural regions,Tenant,1197,66.75981577047153,65.08098580546972,68.43864573547334,50.0,60.0,80.0,10.0,125.0,60.0,59.0,60.0
1995,Urban regions,Owner,1391,110.92996683803047,108.8536682781153,113.00626539794564,83.0,104.0,130.0,27.0,200.5,104.0,98.0,108.0
1995,Urban regions,Tenant,3060,68.93253765600954,68.01293332582381,69.85214198619528,53.0,65.0,80.0,12.5,120.5,65.0,63.0,65.0
1995,Rural regions,Owner,973,112.14764347264516,109.5283633559413,114.76692358934902,80.0,102.78551963527643,133.67326452630354,15.0,214.18316131575887,103.0,96.0,106.0
1995,Rural regions,Tenant,1273,68.22016803150504,66.57199422259828,69.8683418404118,50.0,61.0,80.0,10.0,125.0,61.0,58.0,62.0
1996,Urban regions,Owner,1392,112.2521660049348,110.13865143143992,114.36568057842966,85.0,106.0,132.0,30.0,202.5,106.0,102.0,112.0
1996,Urban regions,Tenant,3005,69.59467600523583,68.68921386856891,70.50013814190274,54.0,66.0,82.0,12.0,124.0,66.0,64.0,67.0
1996,Rural regions,Owner,1003,112.10951567991707,109.52375829970204,114.6952730601321,80.0,104.0,132.0,10.0,210.0,104.0,98.0,108.0
1996,Rural regions,Tenant,1231,69.23265434672567,67.51722282583897,70.94808586761236,50.0,64.0,80.0,10.0,125.0,64.0,63.0,68.0
1997,Urban regions,Owner,1419,112.90089637264361,110.8165260674019,114.98526667788533,85.0,109.0,135.0,10.0,210.0,109.0,108.0,116.025
1997,Urban regions,Tenant,2912,69.8922753050525,68.98166209973452,70.80288851037047,54.0,66.0,82.0,12.0,124.0,66.0,64.0,67.0
1997,Rural regions,Owner,1025,112.36076504027035,109.83719534948806,114.88433473105265,80.0,105.35311334457325,133.00860770473102,15.0,212.52151926182756,105.0,100.0,110.0
1997,Rural regions,Tenant,1189,68.75844599931055,67.1767983865169,70.34009361210421,50.0,64.0,81.87119495742957,10.0,129.67798739357391,64.0,63.0,68.0
1998,Urban regions,Owner,1677,113.75646794512754,111.76672916769051,115.74620672256457,85.0,110.0,130.0,30.0,197.5,110.0,110.0,115.0
1998,Urban regions,Tenant,3237,70.55744522899035,69.7026129966106,71.4122774613701,55.0,68.0,83.0,13.0,125.0,68.0,66.0,70.0
1998,Rural regions,Owner,1224,117.2218224044933,114.89729945653704,119.54634535244955,90.0,110.0,139.0,16.5,212.5,110.0,100.0,110.025
1998,Rural regions,Tenant,1279,69.69846585210543,68.2997468495908,71.09718485462005,52.0,64.0,82.0,8.0,127.0,64.0,63.0,66.0
1999,Urban regions,Owner,1660,115.08803722228485,112.98585655653805,117.19021788803165,85.0,110.0,135.0,30.0,210.0,110.0,108.0,111.025
1999,Urban regions,Tenant,3049,70.93230246942889,70.02529922742032,71.83930571143746,55.0,68.0,84.0,11.5,127.5,68.0,66.0,71.0
1999,Rural regions,Owner,1199,116.95524886233942,114.64388444879198,119.26661327588685,90.0,110.0,140.0,15.0,215.0,110.0,100.0,110.0
1999,Rural regions,Tenant,1235,69.73254359518481,68.32452076199192,71.1405664283777,53.0,64.0,83.0,8.0,128.0,64.0,62.0,66.0
2000,Urban regions,Owner,3499,117.26631326995211,115.84063750100637,118.69198903889784,89.0,112.0,140.0,24.0,216.5,112.0,109.0,114.0
2000,Urban regions,Tenant,5081,71.05857197180774,70.3541642696071,71.76297967400838,55.0,68.0,84.0,11.5,127.5,68.0,67.0,69.0
2000,Rural regions,Owner,2326,117.8543538843848,116.14303007610468,119.56567769266493,90.0,115.0,140.0,20.0,215.0,115.0,110.0,120.0
2000,Rural regions,Tenant,2044,70.10546613459825,68.98081741622688,71.2301148529696,52.0,64.0,85.0,8.0,134.5,64.0,63.0,65.025
2001,Urban regions,Owner,3138,116.8683042040676,115.38551465341881,118.35109375471639,87.0,112.0,140.0,20.0,219.5,112.0,109.0,114.0
2001,Urban regions,Tenant,4629,71.84447041993434,71.08723325378784,72.60170758608083,55.0,68.0,85.0,10.0,130.0,68.0,67.0,69.0
2001,Rural regions,Owner,2129,117.4743552903017,115.66459731690264,119.28411326370076,90.0,112.0,140.0,15.0,215.0,112.0,104.0,114.0
2001,Rural regions,Tenant,1784,70.99349286388224,69.77675748407916,72.21022824368532,52.0,65.0,84.0,8.0,132.0,65.0,63.974999999999994,67.0
2002,Urban regions,Owner,3661,116.11078393775193,114.72474955569034,117.49681831981353,86.0,110.0,140.0,18.0,221.0,110.0,106.975,110.0
2002,Urban regions,Tenant,4576,71.3417298732072,70.56682771295979,72.11663203345461,55.0,68.0,84.0,11.5,127.5,68.0,67.0,69.0
2002,Rural regions,Owner,2183,115.44412612941774,113.6786878517255,117.20956440710998,90.0,110.0,135.0,22.5,202.5,110.0,109.94999999999999,114.025
2002,Rural regions,Tenant,1792,71.88787190979235,70.65572294627455,73.12002087331015,53.0,66.0,85.0,9.0,133.0,66.0,63.0,67.0
2003,Urban regions,Owner,3548,115.06541863265544,113.62010496386068,116.51073230145019,85.0,110.0,135.0,18.0,210.0,110.0,108.0,110.0
2003,Urban regions,Tenant,4420,71.59776881127064,70.81957346061547,72.37596416192581,55.0,68.0,85.0,12.0,130.0,68.0,67.0,69.0
2003,Rural regions,Owner,2111,115.99483874386192,114.2532141865562,117.73646330116763,90.0,110.0,135.0,22.5,202.5,110.0,105.0,110.0
2003,Rural regions,Tenant,1725,70.68680064606666,69.37868016640554,71.99492112572777,50.78696224895914,65.0,85.0,10.0,136.31955662656128,65.0,63.0,68.0
2004,Urban regions,Owner,3463,116.55147787316051,115.07627064445832,118.0266851018627,86.0,110.0,140.0,10.0,221.0,110.0,105.0,110.0
2004,Urban regions,Tenant,4311,72.24480774082598,71.4629474183426,73.02666806330936,55.0,68.0,85.0,12.0,130.0,68.0,66.0,68.0
2004,Rural regions,Owner,2098,116.18600562983156,114.34441008841547,118.02760117124764,90.0,110.0,135.0,22.5,202.5,110.0,104.975,110.0
2004,Rural regions,Tenant,1671,72.16580634350349,70.82004648308869,73.51156620391829,53.0,67.0,86.0,14.0,135.5,67.0,65.975,69.025
2005,Urban regions,Owner,3331,116.66383601896288,115.19964405897709,118.12802797894868,87.0,113.0,140.0,10.0,219.5,113.0,108.0,116.0
2005,Urban regions,Tenant,4208,72.70223286975408,71.8826722931095,73.52179344639868,56.0,68.0,85.0,12.5,128.5,68.0,66.0,68.0
2005,Rural regions,Owner,2054,118.06976860653182,116.19381213330952,119.94572507975413,90.0,112.0,140.0,15.0,215.0,112.0,104.0,114.0
2005,Rural regions,Tenant,1605,72.39834050913167,71.05815272121448,73.73852829704886,54.0,67.0,86.0,10.0,134.0,67.0,65.0,69.0
2006,Urban regions,Owner,3695,117.42649302654604,115.96150135722922,118.89148469586286,86.0,114.0,140.0,10.0,221.0,114.0,109.94999999999999,118.0
2006,Urban regions,Tenant,4450,72.52616204526912,71.70922683118056,73.34309725935768,55.0,68.0,85.0,10.0,130.0,68.0,66.0,69.0
2006,Rural regions,Owner,2308,117.52657694890898,115.73273175189657,119.3204221459214,90.0,110.0,140.0,15.0,215.0,110.0,105.0,110.05
2006,Rural regions,Tenant,1810,72.10842569510359,70.86759602183606,73.34925536837112,53.0,67.0,85.0,15.0,133.0,67.0,64.975,69.0
2007,Urban regions,Owner,3458,117.22132516604717,115.76804019233285,118.67461013976148,86.0,115.0,140.0,10.0,221.0,115.0,110.0,120.0
2007,Urban regions,Tenant,4129,73.37996040203933,72.51179081925314,74.24812998482552,56.0,69.0,85.0,12.5,128.5,69.0,68.0,70.0
2007,Rural regions,Owner,2162,120.03357998880387,118.0918017235144,121.97535825409334,90.0,115.0,140.0,20.0,215.0,115.0,110.0,120.0
2007,Rural regions,Tenant,1704,72.35550445070062,70.98660163292828,73.72440726847296,53.0,66.0,85.0,12.0,133.0,66.0,64.0,67.0
2008,Urban regions,Owner,3298,117.87156292948035,116.33866523292868,119.40446062603202,86.0,116.0,140.0,16.0,221.0,116.0,112.0,120.0
2008,Urban regions,Tenant,3874,73.15862122212603,72.26224353728936,74.0549989069627,56.0,69.0,85.0,12.5,128.5,69.0,68.0,70.025
