year,bula_h,regtyp,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Urban regions,No,0.94402,133,133,0.90481,0.98324
2016,Schleswig-Holstein,Rural regions,No,0.98135,350,350,0.96716,0.99554
2016,Hamburg,Urban regions,No,0.99150,260,260,0.98032,1.00268
2016,Lower Saxony,Urban regions,No,0.97550,553,553,0.96260,0.98839
2016,Lower Saxony,Rural regions,Yes,0.03139,48,781,0.01915,0.04362
2016,Lower Saxony,Rural regions,No,0.96406,733,781,0.95100,0.97712
2016,Bremen,Urban regions,No,0.98638,103,103,0.96388,1.00887
2016,North Rhine-Westphalia,Urban regions,Yes,0.02534,112,2855,0.01958,0.03111
2016,North Rhine-Westphalia,Urban regions,No,0.96861,2743,2855,0.96221,0.97501
2016,North Rhine-Westphalia,Rural regions,No,0.92925,48,48,0.85595,1.00256
2016,Hesse,Urban regions,Yes,0.02611,36,799,0.01504,0.03717
2016,Hesse,Urban regions,No,0.97018,763,799,0.95838,0.98198
2016,Hesse,Rural regions,No,0.94433,172,172,0.90997,0.97870
2016,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.03563,38,624,0.02108,0.05019
2016,"Rhineland-Palatinate, Saarland",Urban regions,No,0.95496,586,624,0.93867,0.97124
2016,"Rhineland-Palatinate, Saarland",Rural regions,No,0.96073,214,214,0.93465,0.98682
2016,Baden-Wuerttemberg,Urban regions,Yes,0.03366,70,1454,0.02438,0.04293
2016,Baden-Wuerttemberg,Urban regions,No,0.96266,1384,1454,0.95291,0.97241
2016,Baden-Wuerttemberg,Rural regions,No,0.94882,162,162,0.91478,0.98286
2016,Bavaria,Urban regions,Yes,0.02064,40,1100,0.01224,0.02905
2016,Bavaria,Urban regions,No,0.97727,1060,1100,0.96846,0.98609
2016,Bavaria,Rural regions,Yes,0.04172,72,1200,0.03040,0.05304
2016,Bavaria,Rural regions,No,0.95396,1128,1200,0.94210,0.96582
2016,Berlin,Urban regions,No,0.98347,598,598,0.97325,0.99370
2016,Brandenburg,Rural regions,Yes,0.07350,38,517,0.05098,0.09602
2016,Brandenburg,Rural regions,No,0.92201,479,517,0.89887,0.94515
2016,Mecklenburg-Western Pomerania,Urban regions,No,0.96593,44,44,0.91171,1.02015
2016,Mecklenburg-Western Pomerania,Rural regions,No,0.94881,270,270,0.92247,0.97514
2016,Saxony,Urban regions,Yes,0.07524,39,465,0.05124,0.09924
2016,Saxony,Urban regions,No,0.91801,426,465,0.89305,0.94297
2016,Saxony,Rural regions,Yes,0.09393,37,400,0.06530,0.12255
2016,Saxony,Rural regions,No,0.90376,363,400,0.87482,0.93269
2016,Saxony-Anhalt,Urban regions,No,0.97856,122,122,0.95275,1.00437
2016,Saxony-Anhalt,Rural regions,No,0.91195,361,361,0.88268,0.94122
2016,Thuringa,Urban regions,No,0.93862,165,165,0.90188,0.97535
2016,Thuringa,Rural regions,Yes,0.06250,36,364,0.03759,0.08740
2016,Thuringa,Rural regions,No,0.92869,328,364,0.90222,0.95517
2021,Schleswig-Holstein,Urban regions,No,0.96482,152,152,0.93543,0.99421
2021,Schleswig-Holstein,Rural regions,No,0.97335,263,263,0.95384,0.99285
2021,Hamburg,Urban regions,No,0.97230,263,263,0.95242,0.99217
2021,Lower Saxony,Urban regions,No,0.97601,467,467,0.96211,0.98990
2021,Lower Saxony,Rural regions,No,0.95940,562,562,0.94306,0.97573
2021,Bremen,Urban regions,No,0.98587,79,79,0.95968,1.01206
2021,North Rhine-Westphalia,Urban regions,Yes,0.01586,51,2234,0.01068,0.02104
2021,North Rhine-Westphalia,Urban regions,No,0.97149,2183,2234,0.96458,0.97839
2021,North Rhine-Westphalia,Rural regions,No,0.95516,47,47,0.89536,1.01497
2021,Hesse,Urban regions,No,0.95068,545,545,0.93249,0.96888
2021,Hesse,Rural regions,No,0.96396,136,136,0.93252,0.99540
2021,"Rhineland-Palatinate, Saarland",Urban regions,No,0.97257,405,405,0.95665,0.98850
2021,"Rhineland-Palatinate, Saarland",Rural regions,No,0.95672,112,112,0.91886,0.99457
2021,Baden-Wuerttemberg,Urban regions,Yes,0.03125,33,1098,0.02095,0.04154
2021,Baden-Wuerttemberg,Urban regions,No,0.95978,1065,1098,0.94816,0.97141
2021,Baden-Wuerttemberg,Rural regions,No,0.95306,111,111,0.91353,0.99258
2021,Bavaria,Urban regions,No,0.97153,848,848,0.96033,0.98273
2021,Bavaria,Rural regions,Yes,0.02690,42,870,0.01614,0.03765
2021,Bavaria,Rural regions,No,0.96711,828,870,0.95525,0.97897
2021,Berlin,Urban regions,No,0.96653,543,543,0.95138,0.98167
2021,Brandenburg,Urban regions,No,0.98682,39,39,0.95057,1.02308
2021,Brandenburg,Rural regions,No,0.97570,393,393,0.96045,0.99094
2021,Mecklenburg-Western Pomerania,Urban regions,No,0.97224,49,49,0.92576,1.01872
2021,Mecklenburg-Western Pomerania,Rural regions,No,0.92277,196,196,0.88530,0.96024
2021,Saxony,Urban regions,No,0.94479,371,371,0.92151,0.96806
2021,Saxony,Rural regions,No,0.93026,312,312,0.90196,0.95857
2021,Saxony-Anhalt,Urban regions,No,0.97977,81,81,0.94892,1.01062
2021,Saxony-Anhalt,Rural regions,No,0.95775,267,267,0.93358,0.98193
2021,Thuringa,Urban regions,No,0.97693,135,135,0.95151,1.00235
2021,Thuringa,Rural regions,No,0.91788,225,225,0.88192,0.95383
