year,rentown,sampreg,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Owner,West,Yes,0.03416,305,5146,0.02920,0.03913
2016,Owner,West,No,0.96584,4841,5146,0.96087,0.97080
2016,Owner,East,Yes,0.11719,137,1156,0.09864,0.13574
2016,Owner,East,No,0.88281,1019,1156,0.86426,0.90136
2016,Tenant,West,Yes,0.02202,189,6081,0.01833,0.02571
2016,Tenant,West,No,0.97798,5892,6081,0.97429,0.98167
2016,Tenant,East,Yes,0.03130,78,1918,0.02351,0.03910
2016,Tenant,East,No,0.96870,1840,1918,0.96090,0.97649
2021,Owner,West,Yes,0.02947,171,4127,0.02431,0.03463
2021,Owner,West,No,0.96942,3956,4127,0.96417,0.97468
2021,Owner,East,Yes,0.08067,90,953,0.06337,0.09797
2021,Owner,East,No,0.91905,863,953,0.90172,0.93638
2021,Tenant,West,Yes,0.01410,78,4534,0.01067,0.01754
2021,Tenant,West,No,0.96426,4456,4534,0.95886,0.96966
2021,Tenant,East,Yes,0.01673,39,1437,0.01010,0.02336
2021,Tenant,East,No,0.96812,1398,1437,0.95903,0.97721
