"pgcasmin","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"(0) in school","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","196","0.0495926402399808","0.0433147154861134","0.0558705649938481"
"(0) in school","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"(0) in school","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","",""
"(0) in school","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"(0) in school","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"(0) in school","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","332","0.0289150993570556","0.0240695442086778","0.0337606545054333"
"(1a) inadequately completed","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"(1a) inadequately completed","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","766","0.0268911458019247","0.0228906017213035","0.030891689882546"
"(1a) inadequately completed","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"(1a) inadequately completed","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"(1a) inadequately completed","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"(1b) general elementary school","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","943","0.151398785285674","0.141033873374259","0.16176369719709"
"(1b) general elementary school","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"(1b) general elementary school","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1589","0.253330425834628","0.24257465356829","0.264086198100966"
"(1b) general elementary school","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"(1b) general elementary school","1984","66 und älter","Westdeutschland, alte Bundeslaender","488","0.389818869387663","0.363079972928899","0.416557765846428"
"(1b) general elementary school","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1294","0.306779755120273","0.293444492820698","0.320115017419847"
"(1c) basic vocational qualification","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2492","0.455976145520096","0.443658896338283","0.468293394701909"
"(1c) basic vocational qualification","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"(1c) basic vocational qualification","1984","66 und älter","Westdeutschland, alte Bundeslaender","483","0.375945801166876","0.349390181606793","0.402501420726958"
"(1c) basic vocational qualification","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","364","0.0960099255474089","0.087490849539301","0.104529001555517"
"(2b) intermediate general qualification","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","81","0.01613615632819","0.0130201291204057","0.0192521835359743"
"(2b) intermediate general qualification","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"(2b) intermediate general qualification","1984","66 und älter","Westdeutschland, alte Bundeslaender","32","0.0275473298160651","0.0185739375090497","0.0365207221230804"
"(2b) intermediate general qualification","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"(2a) intermediate vocational","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","644","0.173405040940533","0.162457165917703","0.184352915963362"
"(2a) intermediate vocational","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"(2a) intermediate vocational","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","621","0.12478179132136","0.116609055242938","0.132954527399781"
"(2a) intermediate vocational","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"(2a) intermediate vocational","1984","66 und älter","Westdeutschland, alte Bundeslaender","146","0.115685077944703","0.0981493090764184","0.133220846812988"
"(2a) intermediate vocational","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","356","0.0823110971958918","0.074363615597854","0.0902585787939296"
"(2c_gen) general maturity certificate","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","52","0.00455742886729331","0.00289170983222238","0.00622314790236423"
"(2c_gen) general maturity certificate","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"(2c_gen) general maturity certificate","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"(2c_gen) general maturity certificate","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"(2c_voc) vocational maturity certificate","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","217","0.0503904596446551","0.0440648951209604","0.0567160241683499"
