"pgcasmin","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"(0) in school","1984","(noch) kein Abschluss","196","0.401506119420194","0.374981014219312","0.428031224621077"
"(0) in school","1984","Hauptschulabschluss","","","",""
"(0) in school","1984","Realschulabschluss","","","",""
"(0) in school","1984","(Fach-)Abitur","","","",""
"(0) in school","1984","AkademikerInnen","","","",""
"(1a) inadequately completed","1984","(noch) kein Abschluss","1116","0.598493880579806","0.571968775378924","0.625018985780688"
"(1a) inadequately completed","1984","Hauptschulabschluss","","","",""
"(1a) inadequately completed","1984","Realschulabschluss","","","",""
"(1a) inadequately completed","1984","(Fach-)Abitur","","","",""
"(1a) inadequately completed","1984","AkademikerInnen","","","",""
"(1b) general elementary school","1984","(noch) kein Abschluss","","","",""
"(1b) general elementary school","1984","Hauptschulabschluss","3020","0.382879007773189","0.371719885052216","0.394038130494162"
"(1b) general elementary school","1984","Realschulabschluss","","","",""
"(1b) general elementary school","1984","(Fach-)Abitur","","","",""
"(1b) general elementary school","1984","AkademikerInnen","","","",""
"(1c) basic vocational qualification","1984","(noch) kein Abschluss","","","",""
"(1c) basic vocational qualification","1984","Hauptschulabschluss","4269","0.617120992226811","0.605961869505838","0.628280114947784"
"(1c) basic vocational qualification","1984","Realschulabschluss","","","",""
"(1c) basic vocational qualification","1984","(Fach-)Abitur","","","",""
"(1c) basic vocational qualification","1984","AkademikerInnen","","","",""
"(2b) intermediate general qualification","1984","(noch) kein Abschluss","","","",""
"(2b) intermediate general qualification","1984","Hauptschulabschluss","","","",""
"(2b) intermediate general qualification","1984","Realschulabschluss","477","0.242570081319325","0.223235403446229","0.261904759192421"
"(2b) intermediate general qualification","1984","(Fach-)Abitur","","","",""
"(2b) intermediate general qualification","1984","AkademikerInnen","","","",""
"(2a) intermediate vocational","1984","(noch) kein Abschluss","","","",""
"(2a) intermediate vocational","1984","Hauptschulabschluss","","","",""
"(2a) intermediate vocational","1984","Realschulabschluss","1411","0.757429918680675","0.738095240807579","0.776764596553771"
"(2a) intermediate vocational","1984","(Fach-)Abitur","","","",""
"(2a) intermediate vocational","1984","AkademikerInnen","","","",""
"(2c_gen) general maturity certificate","1984","(noch) kein Abschluss","","","",""
"(2c_gen) general maturity certificate","1984","Hauptschulabschluss","","","",""
"(2c_gen) general maturity certificate","1984","Realschulabschluss","","","",""
"(2c_gen) general maturity certificate","1984","(Fach-)Abitur","415","0.457035432898329","0.423952828342136","0.490118037454522"
"(2c_gen) general maturity certificate","1984","AkademikerInnen","","","",""
"(2c_voc) vocational maturity certificate","1984","(noch) kein Abschluss","","","",""
"(2c_voc) vocational maturity certificate","1984","Hauptschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1984","Realschulabschluss","","","",""
"(2c_voc) vocational maturity certificate","1984","(Fach-)Abitur","456","0.542964567101671","0.509881962545478","0.576047171657864"
"(2c_voc) vocational maturity certificate","1984","AkademikerInnen","","","",""
