"pgcasmin","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"(0) in school","1984","16-34 Jahre alt","maennlich","100","0.0501150296555461","0.0411336752338886","0.0590963840772036"
"(0) in school","1984","16-34 Jahre alt","weiblich","96","0.0490653660591967","0.0402890399241817","0.0578416921942116"
"(0) in school","1984","35-65 Jahre alt","maennlich","","","",""
"(0) in school","1984","35-65 Jahre alt","weiblich","","","",""
"(0) in school","1984","66 und älter","maennlich","","","",""
"(0) in school","1984","66 und älter","weiblich","","","",""
"(1a) inadequately completed","1984","16-34 Jahre alt","maennlich","127","0.0253507900100335","0.018880224366799","0.0318213556532681"
"(1a) inadequately completed","1984","16-34 Jahre alt","weiblich","205","0.032512737890712","0.0253066542487054","0.0397188215327186"
"(1a) inadequately completed","1984","35-65 Jahre alt","maennlich","362","0.0261354405713392","0.0205974383180363","0.0316734428246421"
"(1a) inadequately completed","1984","35-65 Jahre alt","weiblich","404","0.0276101732953759","0.0218356930422486","0.0333846535485031"
"(1a) inadequately completed","1984","66 und älter","maennlich","","","",""
"(1a) inadequately completed","1984","66 und älter","weiblich","","","",""
"(1b) general elementary school","1984","16-34 Jahre alt","maennlich","417","0.129599922975571","0.115774317395912","0.143425528555231"
"(1b) general elementary school","1984","16-34 Jahre alt","weiblich","526","0.173401484659178","0.158019101831532","0.188783867486823"
"(1b) general elementary school","1984","35-65 Jahre alt","maennlich","489","0.119534112671789","0.108272745132311","0.130795480211266"
"(1b) general elementary school","1984","35-65 Jahre alt","weiblich","1100","0.380633008631286","0.363521614956599","0.397744402305972"
"(1b) general elementary school","1984","66 und älter","maennlich","84","0.159877446086142","0.128007512539385","0.191747379632898"
"(1b) general elementary school","1984","66 und älter","weiblich","404","0.518668066819981","0.483376590909771","0.553959542730192"
"(1c) basic vocational qualification","1984","16-34 Jahre alt","maennlich","722","0.341679266821972","0.322156093461801","0.361202440182143"
"(1c) basic vocational qualification","1984","16-34 Jahre alt","weiblich","572","0.271553904645558","0.253483135610443","0.289624673680674"
"(1c) basic vocational qualification","1984","35-65 Jahre alt","maennlich","1531","0.562470759791608","0.545250390881619","0.579691128701597"
"(1c) basic vocational qualification","1984","35-65 Jahre alt","weiblich","961","0.354650188696477","0.337790256554094","0.37151012083886"
"(1c) basic vocational qualification","1984","66 und älter","maennlich","280","0.563045955707494","0.519913315944977","0.606178595470012"
"(1c) basic vocational qualification","1984","66 und älter","weiblich","203","0.271102992046707","0.239704921020772","0.302501063072642"
"(2b) intermediate general qualification","1984","16-34 Jahre alt","maennlich","166","0.0832596963388285","0.0718870140993347","0.0946323785783223"
"(2b) intermediate general qualification","1984","16-34 Jahre alt","weiblich","198","0.108879379752349","0.096223540061068","0.12153521944363"
"(2b) intermediate general qualification","1984","35-65 Jahre alt","maennlich","","","",""
"(2b) intermediate general qualification","1984","35-65 Jahre alt","weiblich","71","0.0279140350523692","0.0221087736898287","0.0337192964149097"
"(2b) intermediate general qualification","1984","66 und älter","maennlich","","","",""
"(2b) intermediate general qualification","1984","66 und älter","weiblich","","","",""
