year,bula_h,sampreg,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,West,(1b) General Elementary School,0.15944,72,317,0.11908,0.19981
1984,Schleswig-Holstein,West,(1c) Basic Vocational Qualification,0.33991,153,317,0.28768,0.39214
1984,Schleswig-Holstein,West,(2) Intermediate General/Vocational Qualification,0.19253,92,317,0.14905,0.23600
1984,Hamburg,West,(1b) General Elementary School,0.15668,57,218,0.10831,0.20504
1984,Hamburg,West,(1c) Basic Vocational Qualification,0.35214,106,218,0.28858,0.41569
1984,Hamburg,West,(2) Intermediate General/Vocational Qualification,0.19217,55,218,0.13975,0.24460
1984,Lower Saxony,West,(1a) Inadequately completed,0.01387,67,1183,0.00720,0.02054
1984,Lower Saxony,West,(1b) General Elementary School,0.21530,306,1183,0.19186,0.23873
1984,Lower Saxony,West,(1c) Basic Vocational Qualification,0.30963,442,1183,0.28327,0.33599
1984,Lower Saxony,West,(2) Intermediate General/Vocational Qualification,0.16793,228,1183,0.14662,0.18924
1984,Lower Saxony,West,(2c_gen) General Maturity Certificate,0.01876,41,1183,0.01102,0.02649
1984,Lower Saxony,West,(2c_voc) Vocational Maturity Certificate,0.02497,38,1183,0.01607,0.03387
1984,Lower Saxony,West,(3b) Higher Tertiary Education,0.04084,61,1183,0.02956,0.05213
1984,Bremen,West,(1b) General Elementary School,0.25624,33,92,0.16654,0.34593
1984,Bremen,West,(1c) Basic Vocational Qualification,0.40944,59,92,0.30841,0.51047
1984,North Rhine-Westphalia,West,(0) No qualification (yet),0.01571,61,3224,0.01142,0.02000
1984,North Rhine-Westphalia,West,(1a) Inadequately completed,0.02597,342,3224,0.02048,0.03146
1984,North Rhine-Westphalia,West,(1b) General Elementary School,0.17689,738,3224,0.16372,0.19007
1984,North Rhine-Westphalia,West,(1c) Basic Vocational Qualification,0.33039,1135,3224,0.31415,0.34663
1984,North Rhine-Westphalia,West,(2) Intermediate General/Vocational Qualification,0.13653,462,3224,0.12468,0.14839
1984,North Rhine-Westphalia,West,(2c_gen) General Maturity Certificate,0.02990,132,3224,0.02402,0.03578
1984,North Rhine-Westphalia,West,(2c_voc) Vocational Maturity Certificate,0.03301,129,3224,0.02685,0.03918
1984,North Rhine-Westphalia,West,(3a) Lower Tertiary Education,0.02352,75,3224,0.01829,0.02876
1984,North Rhine-Westphalia,West,(3b) Higher Tertiary Education,0.04160,150,3224,0.03471,0.04849
1984,Hesse,West,(1a) Inadequately completed,0.02313,129,1192,0.01459,0.03167
1984,Hesse,West,(1b) General Elementary School,0.19424,316,1192,0.17177,0.21671
1984,Hesse,West,(1c) Basic Vocational Qualification,0.30486,390,1192,0.27871,0.33100
1984,Hesse,West,(2) Intermediate General/Vocational Qualification,0.16842,188,1192,0.14716,0.18967
1984,Hesse,West,(2c_gen) General Maturity Certificate,0.03903,59,1192,0.02803,0.05003
1984,Hesse,West,(2c_voc) Vocational Maturity Certificate,0.02840,47,1192,0.01897,0.03784
1984,Hesse,West,(3b) Higher Tertiary Education,0.05162,63,1192,0.03906,0.06419
1984,"Rhineland-Palatinate, Saarland",West,(1a) Inadequately completed,0.02117,67,769,0.01099,0.03136
1984,"Rhineland-Palatinate, Saarland",West,(1b) General Elementary School,0.28034,268,769,0.24857,0.31210
1984,"Rhineland-Palatinate, Saarland",West,(1c) Basic Vocational Qualification,0.34478,325,769,0.31117,0.37840
1984,"Rhineland-Palatinate, Saarland",West,(2) Intermediate General/Vocational Qualification,0.12117,109,769,0.09809,0.14425
1984,Baden-Wuerttemberg,West,(0) No qualification (yet),0.01495,35,2231,0.00991,0.01999
1984,Baden-Wuerttemberg,West,(1a) Inadequately completed,0.02177,299,2231,0.01571,0.02782
1984,Baden-Wuerttemberg,West,(1b) General Elementary School,0.22473,619,2231,0.20741,0.24205
1984,Baden-Wuerttemberg,West,(1c) Basic Vocational Qualification,0.30077,736,2231,0.28173,0.31980
1984,Baden-Wuerttemberg,West,(2) Intermediate General/Vocational Qualification,0.13541,282,2231,0.12121,0.14961
1984,Baden-Wuerttemberg,West,(2c_gen) General Maturity Certificate,0.02134,58,2231,0.01534,0.02733
1984,Baden-Wuerttemberg,West,(2c_voc) Vocational Maturity Certificate,0.02771,77,2231,0.02089,0.03452
1984,Baden-Wuerttemberg,West,(3a) Lower Tertiary Education,0.02198,44,2231,0.01590,0.02807
1984,Baden-Wuerttemberg,West,(3b) Higher Tertiary Education,0.03214,81,2231,0.02482,0.03946
1984,Bavaria,West,(1a) Inadequately completed,0.01179,108,2057,0.00713,0.01646
1984,Bavaria,West,(1b) General Elementary School,0.19175,495,2057,0.17474,0.20877
1984,Bavaria,West,(1c) Basic Vocational Qualification,0.33625,789,2057,0.31583,0.35667
1984,Bavaria,West,(2) Intermediate General/Vocational Qualification,0.16278,370,2057,0.14683,0.17874
1984,Bavaria,West,(2c_gen) General Maturity Certificate,0.02102,58,2057,0.01482,0.02722
1984,Bavaria,West,(2c_voc) Vocational Maturity Certificate,0.02955,80,2057,0.02223,0.03687
1984,Bavaria,West,(3a) Lower Tertiary Education,0.02371,55,2057,0.01713,0.03029
1984,Bavaria,West,(3b) Higher Tertiary Education,0.03879,102,2057,0.03044,0.04713
1984,Berlin,West,(1a) Inadequately completed,0.02700,41,327,0.00940,0.04459
1984,Berlin,West,(1b) General Elementary School,0.17696,91,327,0.13553,0.21839
1984,Berlin,West,(1c) Basic Vocational Qualification,0.28237,119,327,0.23351,0.33124
1984,Berlin,West,(2) Intermediate General/Vocational Qualification,0.18409,76,327,0.14202,0.22616
1985,Schleswig-Holstein,West,(1b) General Elementary School,0.17117,71,294,0.12804,0.21430
1985,Schleswig-Holstein,West,(1c) Basic Vocational Qualification,0.34307,143,294,0.28871,0.39743
1985,Schleswig-Holstein,West,(2) Intermediate General/Vocational Qualification,0.18571,80,294,0.14118,0.23024
1985,Hamburg,West,(1b) General Elementary School,0.14675,47,203,0.09795,0.19555
1985,Hamburg,West,(1c) Basic Vocational Qualification,0.36424,99,203,0.29788,0.43060
1985,Hamburg,West,(2) Intermediate General/Vocational Qualification,0.21315,57,203,0.15667,0.26962
1985,Lower Saxony,West,(1a) Inadequately completed,0.01298,50,1050,0.00613,0.01983
1985,Lower Saxony,West,(1b) General Elementary School,0.20763,258,1050,0.18308,0.23217
1985,Lower Saxony,West,(1c) Basic Vocational Qualification,0.30907,393,1050,0.28110,0.33703
1985,Lower Saxony,West,(2) Intermediate General/Vocational Qualification,0.18219,220,1050,0.15883,0.20555
1985,Lower Saxony,West,(2c_gen) General Maturity Certificate,0.02143,37,1050,0.01267,0.03020
1985,Lower Saxony,West,(2c_voc) Vocational Maturity Certificate,0.02504,35,1050,0.01558,0.03449
1985,Lower Saxony,West,(3b) Higher Tertiary Education,0.04203,57,1050,0.02989,0.05417
1985,Bremen,West,(1c) Basic Vocational Qualification,0.40962,52,52,0.27465,0.54458
1985,North Rhine-Westphalia,West,(0) No qualification (yet),0.01843,61,2919,0.01355,0.02331
1985,North Rhine-Westphalia,West,(1a) Inadequately completed,0.02515,279,2919,0.01947,0.03083
1985,North Rhine-Westphalia,West,(1b) General Elementary School,0.16780,626,2919,0.15424,0.18136
1985,North Rhine-Westphalia,West,(1c) Basic Vocational Qualification,0.32742,1023,2919,0.31040,0.34445
1985,North Rhine-Westphalia,West,(2) Intermediate General/Vocational Qualification,0.14646,453,2919,0.13363,0.15928
1985,North Rhine-Westphalia,West,(2c_gen) General Maturity Certificate,0.03107,129,2919,0.02478,0.03737
1985,North Rhine-Westphalia,West,(2c_voc) Vocational Maturity Certificate,0.03506,125,2919,0.02839,0.04173
1985,North Rhine-Westphalia,West,(3a) Lower Tertiary Education,0.02271,67,2919,0.01730,0.02811
1985,North Rhine-Westphalia,West,(3b) Higher Tertiary Education,0.04690,156,2919,0.03923,0.05457
1985,Hesse,West,(1a) Inadequately completed,0.02188,107,1076,0.01314,0.03063
1985,Hesse,West,(1b) General Elementary School,0.19530,289,1076,0.17160,0.21900
1985,Hesse,West,(1c) Basic Vocational Qualification,0.30350,348,1076,0.27601,0.33098
1985,Hesse,West,(2) Intermediate General/Vocational Qualification,0.17656,179,1076,0.15376,0.19935
1985,Hesse,West,(2c_gen) General Maturity Certificate,0.03329,48,1076,0.02257,0.04402
1985,Hesse,West,(2c_voc) Vocational Maturity Certificate,0.02810,41,1076,0.01822,0.03798
1985,Hesse,West,(3b) Higher Tertiary Education,0.05755,64,1076,0.04363,0.07147
1985,"Rhineland-Palatinate, Saarland",West,(1a) Inadequately completed,0.02353,59,690,0.01221,0.03485
1985,"Rhineland-Palatinate, Saarland",West,(1b) General Elementary School,0.27129,237,690,0.23809,0.30449
1985,"Rhineland-Palatinate, Saarland",West,(1c) Basic Vocational Qualification,0.34541,290,690,0.30990,0.38091
