"pgcasmin","year","alter_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"(0) in school","1984","16-34 Jahre alt","Schleswig-Holstein","","","",""
"(0) in school","1984","16-34 Jahre alt","Hamburg","","","",""
"(0) in school","1984","16-34 Jahre alt","Niedersachsen","31","0.0760188648743748","0.05139476704627","0.10064296270248"
"(0) in school","1984","16-34 Jahre alt","Bremen","","","",""
"(0) in school","1984","16-34 Jahre alt","Nordrhein-Westfalen","63","0.0569332501860296","0.0442343232647645","0.0696321771072947"
"(0) in school","1984","16-34 Jahre alt","Hessen","","","",""
"(0) in school","1984","16-34 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"(0) in school","1984","16-34 Jahre alt","Baden-Wuerttemberg","36","0.058202143145806","0.0424627868962211","0.0739414993953909"
"(0) in school","1984","16-34 Jahre alt","Bayern","","","",""
"(0) in school","1984","16-34 Jahre alt","Saarland","","","",""
"(0) in school","1984","16-34 Jahre alt","Berlin","","","",""
"(0) in school","1984","16-34 Jahre alt","Brandenburg","","","",""
"(0) in school","1984","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"(0) in school","1984","16-34 Jahre alt","Sachsen","","","",""
"(0) in school","1984","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"(0) in school","1984","16-34 Jahre alt","Thueringen","","","",""
"(0) in school","1984","35-65 Jahre alt","Schleswig-Holstein","","","",""
"(0) in school","1984","35-65 Jahre alt","Hamburg","","","",""
"(0) in school","1984","35-65 Jahre alt","Niedersachsen","","","",""
"(0) in school","1984","35-65 Jahre alt","Bremen","","","",""
"(0) in school","1984","35-65 Jahre alt","Nordrhein-Westfalen","","","",""
"(0) in school","1984","35-65 Jahre alt","Hessen","","","",""
"(0) in school","1984","35-65 Jahre alt","Rheinland-Pfalz,Saarland","","","",""
"(0) in school","1984","35-65 Jahre alt","Baden-Wuerttemberg","","","",""
"(0) in school","1984","35-65 Jahre alt","Bayern","","","",""
"(0) in school","1984","35-65 Jahre alt","Saarland","","","",""
"(0) in school","1984","35-65 Jahre alt","Berlin","","","",""
"(0) in school","1984","35-65 Jahre alt","Brandenburg","","","",""
"(0) in school","1984","35-65 Jahre alt","Mecklenburg-Vorpommern","","","",""
"(0) in school","1984","35-65 Jahre alt","Sachsen","","","",""
"(0) in school","1984","35-65 Jahre alt","Sachsen-Anhalt","","","",""
"(0) in school","1984","35-65 Jahre alt","Thueringen","","","",""
"(0) in school","1984","66 und älter","Schleswig-Holstein","","","",""
"(0) in school","1984","66 und älter","Hamburg","","","",""
"(0) in school","1984","66 und älter","Niedersachsen","","","",""
"(0) in school","1984","66 und älter","Bremen","","","",""
"(0) in school","1984","66 und älter","Nordrhein-Westfalen","","","",""
"(0) in school","1984","66 und älter","Hessen","","","",""
"(0) in school","1984","66 und älter","Rheinland-Pfalz,Saarland","","","",""
"(0) in school","1984","66 und älter","Baden-Wuerttemberg","","","",""
"(0) in school","1984","66 und älter","Bayern","","","",""
"(0) in school","1984","66 und älter","Saarland","","","",""
"(0) in school","1984","66 und älter","Berlin","","","",""
