"pgcasmin","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"(0) in school","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"(0) in school","1984","(noch) kein Abschluss","Hamburg","","","",""
"(0) in school","1984","(noch) kein Abschluss","Niedersachsen","31","0.593431358556052","0.49667429515549","0.690188421956614"
"(0) in school","1984","(noch) kein Abschluss","Bremen","","","",""
"(0) in school","1984","(noch) kein Abschluss","Nordrhein-Westfalen","63","0.38289630085201","0.335729364350609","0.430063237353411"
"(0) in school","1984","(noch) kein Abschluss","Hessen","","","",""
"(0) in school","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"(0) in school","1984","(noch) kein Abschluss","Baden-Wuerttemberg","36","0.404345162505884","0.352559205562369","0.456131119449398"
"(0) in school","1984","(noch) kein Abschluss","Bayern","","","",""
"(0) in school","1984","(noch) kein Abschluss","Saarland","","","",""
"(0) in school","1984","(noch) kein Abschluss","Berlin","","","",""
"(0) in school","1984","(noch) kein Abschluss","Brandenburg","","","",""
"(0) in school","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"(0) in school","1984","(noch) kein Abschluss","Sachsen","","","",""
"(0) in school","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"(0) in school","1984","(noch) kein Abschluss","Thueringen","","","",""
"(0) in school","1984","Hauptschulabschluss","Schleswig-Holstein","","","",""
"(0) in school","1984","Hauptschulabschluss","Hamburg","","","",""
"(0) in school","1984","Hauptschulabschluss","Niedersachsen","","","",""
"(0) in school","1984","Hauptschulabschluss","Bremen","","","",""
"(0) in school","1984","Hauptschulabschluss","Nordrhein-Westfalen","","","",""
"(0) in school","1984","Hauptschulabschluss","Hessen","","","",""
"(0) in school","1984","Hauptschulabschluss","Rheinland-Pfalz,Saarland","","","",""
"(0) in school","1984","Hauptschulabschluss","Baden-Wuerttemberg","","","",""
"(0) in school","1984","Hauptschulabschluss","Bayern","","","",""
"(0) in school","1984","Hauptschulabschluss","Saarland","","","",""
"(0) in school","1984","Hauptschulabschluss","Berlin","","","",""
"(0) in school","1984","Hauptschulabschluss","Brandenburg","","","",""
"(0) in school","1984","Hauptschulabschluss","Mecklenburg-Vorpommern","","","",""
"(0) in school","1984","Hauptschulabschluss","Sachsen","","","",""
"(0) in school","1984","Hauptschulabschluss","Sachsen-Anhalt","","","",""
"(0) in school","1984","Hauptschulabschluss","Thueringen","","","",""
