year,quintil_oecd,plb0050,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,1st Quintile,Yes,0.09475,507,1420,0.07951,0.10999
2001,1st Quintile,No,0.17238,913,1420,0.15273,0.19204
2001,2nd Quintile,Yes,0.16836,1015,2211,0.15276,0.18396
2001,2nd Quintile,No,0.20703,1196,2211,0.19014,0.22393
2001,3rd Quintile,Yes,0.24116,1356,2646,0.22486,0.25746
2001,3rd Quintile,No,0.21674,1290,2646,0.20104,0.23244
2001,4th Quintile,Yes,0.31496,1719,3003,0.29834,0.33158
2001,4th Quintile,No,0.22854,1284,3003,0.21352,0.24356
2001,5th Quintile,Yes,0.34169,1780,3167,0.32517,0.35821
2001,5th Quintile,No,0.26877,1387,3167,0.25333,0.28421
2006,1st Quintile,Yes,0.09473,332,1034,0.07687,0.11259
2006,1st Quintile,No,0.17705,702,1034,0.15377,0.20032
2006,2nd Quintile,Yes,0.15751,628,1479,0.13894,0.17609
2006,2nd Quintile,No,0.19945,851,1479,0.17908,0.21982
2006,3rd Quintile,Yes,0.21758,985,2017,0.19957,0.23559
2006,3rd Quintile,No,0.23203,1032,2017,0.21361,0.25046
2006,4th Quintile,Yes,0.29281,1398,2477,0.27489,0.31073
2006,4th Quintile,No,0.23098,1079,2477,0.21438,0.24758
2006,5th Quintile,Yes,0.35863,2151,3809,0.34340,0.37387
2006,5th Quintile,No,0.27009,1658,3809,0.25599,0.28419
2011,1st Quintile,Yes,0.07521,323,854,0.05751,0.09291
2011,1st Quintile,No,0.12675,531,854,0.10442,0.14908
2011,2nd Quintile,Yes,0.12478,507,1276,0.10664,0.14292
2011,2nd Quintile,No,0.19250,769,1276,0.17085,0.21414
2011,3rd Quintile,Yes,0.22637,918,1761,0.20682,0.24592
2011,3rd Quintile,No,0.21149,843,1761,0.19241,0.23057
2011,4th Quintile,Yes,0.29802,1207,2131,0.27860,0.31745
2011,4th Quintile,No,0.23703,924,2131,0.21897,0.25509
2011,5th Quintile,Yes,0.36967,1694,2855,0.35196,0.38738
2011,5th Quintile,No,0.24133,1161,2855,0.22563,0.25703
2016,1st Quintile,Yes,0.10564,722,2063,0.09237,0.11891
2016,1st Quintile,No,0.17242,1341,2063,0.15611,0.18872
2016,2nd Quintile,Yes,0.16369,1194,2787,0.14996,0.17743
2016,2nd Quintile,No,0.22122,1593,2787,0.20581,0.23664
2016,3rd Quintile,Yes,0.25523,1525,2834,0.23917,0.27128
2016,3rd Quintile,No,0.22999,1309,2834,0.21449,0.24549
2016,4th Quintile,Yes,0.32136,1794,3049,0.30478,0.33794
2016,4th Quintile,No,0.24785,1255,3049,0.23252,0.26318
2016,5th Quintile,Yes,0.39410,2053,3156,0.37705,0.41116
2016,5th Quintile,No,0.19874,1103,3156,0.18482,0.21267
2019,1st Quintile,Yes,0.11344,689,1798,0.09878,0.12810
2019,1st Quintile,No,0.17319,1109,1798,0.15570,0.19069
2019,2nd Quintile,Yes,0.18366,1191,2596,0.16876,0.19856
2019,2nd Quintile,No,0.21639,1405,2596,0.20055,0.23224
2019,3rd Quintile,Yes,0.26994,1564,2838,0.25360,0.28627
2019,3rd Quintile,No,0.23519,1274,2838,0.21958,0.25080
2019,4th Quintile,Yes,0.32701,1728,2859,0.30981,0.34421
2019,4th Quintile,No,0.23605,1131,2859,0.22048,0.25162
2019,5th Quintile,Yes,0.40201,2031,3235,0.38511,0.41891
2019,5th Quintile,No,0.21188,1204,3235,0.19780,0.22597
