year,sampreg,plb0050,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,West,Yes,0.24104,5042,9518,0.23245,0.24963
2001,West,No,0.21517,4476,9518,0.20691,0.22343
2001,East,Yes,0.19229,1335,2929,0.17802,0.20657
2001,East,No,0.23413,1594,2929,0.21879,0.24946
2006,West,Yes,0.23189,4916,9392,0.22336,0.24043
2006,West,No,0.21645,4476,9392,0.20812,0.22478
2006,East,Yes,0.18247,1259,2711,0.16793,0.19701
2006,East,No,0.23025,1452,2711,0.21440,0.24610
2011,West,Yes,0.22568,4659,8556,0.21682,0.23454
2011,West,No,0.18574,3897,8556,0.17749,0.19398
2011,East,Yes,0.19790,1273,2546,0.18242,0.21338
2011,East,No,0.21591,1273,2546,0.19993,0.23190
2016,West,Yes,0.25276,5971,11214,0.24472,0.26081
2016,West,No,0.21044,5243,11214,0.20290,0.21799
2016,East,Yes,0.22182,1317,2675,0.20607,0.23756
2016,East,No,0.22455,1358,2675,0.20874,0.24037
2019,West,Yes,0.26029,6160,12410,0.25257,0.26801
2019,West,No,0.21810,6250,12410,0.21083,0.22536
2019,East,Yes,0.23113,1429,3181,0.21648,0.24578
2019,East,No,0.22177,1752,3181,0.20733,0.23621
