year,age_gr,plb0050,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,17-29 y.,Yes,0.26589,1043,2417,0.24828,0.28351
2001,17-29 y.,No,0.34572,1374,2417,0.32675,0.36468
2001,30-45 y.,Yes,0.42270,3033,5873,0.41006,0.43533
2001,30-45 y.,No,0.39064,2840,5873,0.37816,0.40312
2001,46-65 y.,Yes,0.32497,2289,4066,0.31057,0.33937
2001,46-65 y.,No,0.25220,1777,4066,0.23885,0.26555
2001,66 and older,No,0.02318,79,79,-0.01021,0.05657
2006,17-29 y.,Yes,0.23679,883,2050,0.21838,0.25520
2006,17-29 y.,No,0.30716,1167,2050,0.28718,0.32713
2006,30-45 y.,Yes,0.40901,2579,5019,0.39540,0.42261
2006,30-45 y.,No,0.38466,2440,5019,0.37120,0.39812
2006,46-65 y.,Yes,0.33495,2690,4852,0.32167,0.34823
2006,46-65 y.,No,0.28088,2162,4852,0.26823,0.29353
2006,66 and older,No,0.03256,159,159,0.00489,0.06024
2011,17-29 y.,Yes,0.26318,860,1724,0.24239,0.28397
2011,17-29 y.,No,0.26295,864,1724,0.24217,0.28374
2011,30-45 y.,Yes,0.35777,2058,3896,0.34272,0.37283
2011,30-45 y.,No,0.30243,1838,3896,0.28801,0.31686
2011,46-65 y.,Yes,0.36432,2978,5292,0.35135,0.37729
2011,46-65 y.,No,0.28659,2314,5292,0.27440,0.29877
2011,66 and older,Yes,0.00729,36,190,-0.00484,0.01941
2011,66 and older,No,0.02878,154,190,0.00495,0.05262
2016,17-29 y.,Yes,0.27690,1046,2182,0.25812,0.29568
2016,17-29 y.,No,0.27988,1136,2182,0.26104,0.29872
2016,30-45 y.,Yes,0.42185,2721,5336,0.40860,0.43510
2016,30-45 y.,No,0.35197,2615,5336,0.33916,0.36479
2016,46-65 y.,Yes,0.39735,3463,6136,0.38510,0.40959
2016,46-65 y.,No,0.30990,2673,6136,0.29833,0.32147
2016,66 and older,Yes,0.01059,58,235,-0.00252,0.02371
2016,66 and older,No,0.03775,177,235,0.01333,0.06218
2019,17-29 y.,Yes,0.30613,1184,2308,0.28732,0.32493
2019,17-29 y.,No,0.27853,1124,2308,0.26024,0.29682
2019,30-45 y.,Yes,0.43489,2432,4931,0.42105,0.44873
2019,30-45 y.,No,0.36064,2499,4931,0.34724,0.37404
2019,46-65 y.,Yes,0.40405,3913,7887,0.39322,0.41488
2019,46-65 y.,No,0.32359,3974,7887,0.31327,0.33392
2019,66 and older,Yes,0.01449,87,511,0.00412,0.02486
2019,66 and older,No,0.04530,424,511,0.02725,0.06335
