year,bula_h,plb0050,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Schleswig-Holstein,Yes,0.23342,182,371,0.19032,0.27653
2001,Schleswig-Holstein,No,0.22592,189,371,0.18331,0.26853
2001,Hamburg,Yes,0.30868,95,160,0.23688,0.38049
2001,Hamburg,No,0.18099,65,160,0.12114,0.24083
2001,Lower Saxony,Yes,0.23127,559,1038,0.20560,0.25693
2001,Lower Saxony,No,0.20664,479,1038,0.18200,0.23129
2001,Bremen,Yes,0.25964,48,86,0.16643,0.35285
2001,Bremen,No,0.18880,38,86,0.10560,0.27199
2001,North Rhine-Westphalia,Yes,0.23903,1392,2628,0.22272,0.25534
2001,North Rhine-Westphalia,No,0.21282,1236,2628,0.19717,0.22847
2001,Hesse,Yes,0.25505,488,854,0.22580,0.28430
2001,Hesse,No,0.18662,366,854,0.16047,0.21276
2001,"Rhineland-Palatinate, Saarland",Yes,0.19667,360,727,0.16776,0.22558
2001,"Rhineland-Palatinate, Saarland",No,0.21664,367,727,0.18668,0.24661
2001,Baden-Wuerttemberg,Yes,0.25287,839,1565,0.23133,0.27441
2001,Baden-Wuerttemberg,No,0.21849,726,1565,0.19801,0.23897
2001,Bavaria,Yes,0.24240,934,1837,0.22280,0.26200
2001,Bavaria,No,0.23858,903,1837,0.21908,0.25807
2001,Berlin,Yes,0.24655,248,454,0.20686,0.28624
2001,Berlin,No,0.22463,206,454,0.18620,0.26306
2001,Brandenburg,Yes,0.22016,251,507,0.18406,0.25627
2001,Brandenburg,No,0.20705,256,507,0.17175,0.24236
2001,Mecklenburg-Western Pomerania,Yes,0.22079,141,298,0.17362,0.26797
2001,Mecklenburg-Western Pomerania,No,0.22950,157,298,0.18167,0.27732
2001,Saxony,Yes,0.17764,377,884,0.15243,0.20285
2001,Saxony,No,0.24203,507,884,0.21378,0.27028
2001,Saxony-Anhalt,Yes,0.15890,225,523,0.12754,0.19026
2001,Saxony-Anhalt,No,0.24822,298,523,0.21117,0.28528
2001,Thuringa,Yes,0.18635,238,515,0.15269,0.22002
2001,Thuringa,No,0.23474,277,515,0.19810,0.27139
2006,Schleswig-Holstein,Yes,0.20679,179,365,0.16518,0.24839
2006,Schleswig-Holstein,No,0.22492,186,365,0.18203,0.26782
2006,Hamburg,Yes,0.19302,69,154,0.13048,0.25556
2006,Hamburg,No,0.22521,85,154,0.15902,0.29140
