year,migback,plb0050,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,No migration background,Yes,0.23825,5294,10402,0.23006,0.24644
2001,No migration background,No,0.22342,5108,10402,0.21542,0.23143
2001,Direct migration background,Yes,0.25211,853,1591,0.23077,0.27346
2001,Direct migration background,No,0.24125,738,1591,0.22022,0.26228
2001,Indirect migration background,Yes,0.11245,230,454,0.08336,0.14154
2001,Indirect migration background,No,0.11250,224,454,0.08340,0.14160
2006,No migration background,Yes,0.22944,5303,10398,0.22136,0.23752
2006,No migration background,No,0.22333,5095,10398,0.21532,0.23134
2006,Direct migration background,Yes,0.23392,634,1227,0.21022,0.25762
2006,Direct migration background,No,0.24571,593,1227,0.22161,0.26981
2006,Indirect migration background,Yes,0.13587,238,478,0.10512,0.16662
2006,Indirect migration background,No,0.13063,240,478,0.10038,0.16087
2011,No migration background,Yes,0.22873,5149,9609,0.22033,0.23712
2011,No migration background,No,0.19530,4460,9609,0.18737,0.20322
2011,Direct migration background,Yes,0.21159,507,990,0.18613,0.23705
2011,Direct migration background,No,0.20511,483,990,0.17994,0.23027
2011,Indirect migration background,Yes,0.14793,276,503,0.11688,0.17899
2011,Indirect migration background,No,0.12341,227,503,0.09464,0.15219
2016,No migration background,Yes,0.25814,5504,10033,0.24957,0.26670
2016,No migration background,No,0.20792,4529,10033,0.19998,0.21586
2016,Direct migration background,Yes,0.22446,1290,2908,0.20930,0.23963
2016,Direct migration background,No,0.28947,1618,2908,0.27299,0.30596
2016,Indirect migration background,Yes,0.18793,494,948,0.16305,0.21281
2016,Indirect migration background,No,0.13846,454,948,0.11646,0.16046
2019,No migration background,Yes,0.26227,5963,12151,0.25444,0.27009
2019,No migration background,No,0.21767,6188,12151,0.21033,0.22500
2019,Direct migration background,Yes,0.25672,1130,2438,0.23937,0.27406
2019,Direct migration background,No,0.26986,1308,2438,0.25223,0.28748
2019,Indirect migration background,Yes,0.19982,523,1048,0.17560,0.22404
2019,Indirect migration background,No,0.15184,525,1048,0.13010,0.17358
