year,age_gr,quintil_oecd,plb0050,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,17-29 y.,1st Quintile,Yes,0.18501,167,468,0.14979,0.22023
2001,17-29 y.,1st Quintile,No,0.31092,301,468,0.26894,0.35291
2001,17-29 y.,2nd Quintile,Yes,0.24057,216,517,0.20368,0.27745
2001,17-29 y.,2nd Quintile,No,0.36272,301,517,0.32123,0.40420
2001,17-29 y.,3rd Quintile,Yes,0.27655,213,532,0.23850,0.31459
2001,17-29 y.,3rd Quintile,No,0.37975,319,532,0.33847,0.42104
2001,17-29 y.,4th Quintile,Yes,0.31050,253,539,0.27140,0.34960
2001,17-29 y.,4th Quintile,No,0.37206,286,539,0.33122,0.41290
2001,17-29 y.,5th Quintile,Yes,0.38019,194,361,0.33005,0.43034
2001,17-29 y.,5th Quintile,No,0.29912,167,361,0.25182,0.34642
2001,30-45 y.,1st Quintile,Yes,0.22079,261,715,0.19037,0.25122
2001,30-45 y.,1st Quintile,No,0.38473,454,715,0.34904,0.42042
2001,30-45 y.,2nd Quintile,Yes,0.36408,558,1171,0.33651,0.39165
2001,30-45 y.,2nd Quintile,No,0.41040,613,1171,0.38221,0.43858
2001,30-45 y.,3rd Quintile,Yes,0.45100,698,1315,0.42410,0.47791
2001,30-45 y.,3rd Quintile,No,0.39053,617,1315,0.36415,0.41691
2001,30-45 y.,4th Quintile,Yes,0.53477,805,1358,0.50823,0.56131
2001,30-45 y.,4th Quintile,No,0.35217,553,1358,0.32675,0.37758
2001,30-45 y.,5th Quintile,Yes,0.49326,711,1314,0.46622,0.52031
2001,30-45 y.,5th Quintile,No,0.41580,603,1314,0.38914,0.44246
2001,46-65 y.,1st Quintile,Yes,0.07381,76,225,0.03957,0.10805
2001,46-65 y.,1st Quintile,No,0.17502,149,225,0.12526,0.22478
2001,46-65 y.,2nd Quintile,Yes,0.21258,239,512,0.17711,0.24805
2001,46-65 y.,2nd Quintile,No,0.24863,273,512,0.21115,0.28611
2001,46-65 y.,3rd Quintile,Yes,0.33178,445,792,0.29897,0.36459
2001,46-65 y.,3rd Quintile,No,0.23899,347,792,0.20927,0.26871
2001,46-65 y.,4th Quintile,Yes,0.40813,659,1092,0.37897,0.43730
2001,46-65 y.,4th Quintile,No,0.25694,433,1092,0.23101,0.28287
2001,46-65 y.,5th Quintile,Yes,0.43348,870,1445,0.40792,0.45904
2001,46-65 y.,5th Quintile,No,0.29722,575,1445,0.27365,0.32079
2001,66 and older,5th Quintile,No,0.07836,42,42,-0.00390,0.16062
2006,17-29 y.,1st Quintile,Yes,0.16991,114,350,0.13051,0.20932
2006,17-29 y.,1st Quintile,No,0.25773,236,350,0.21184,0.30362
2006,17-29 y.,2nd Quintile,Yes,0.21873,127,336,0.17447,0.26300
2006,17-29 y.,2nd Quintile,No,0.33315,209,336,0.28268,0.38362
2006,17-29 y.,3rd Quintile,Yes,0.26097,172,395,0.21761,0.30434
2006,17-29 y.,3rd Quintile,No,0.36268,223,395,0.31521,0.41016
2006,17-29 y.,4th Quintile,Yes,0.29065,200,423,0.24733,0.33397
2006,17-29 y.,4th Quintile,No,0.32616,223,423,0.28143,0.37089
2006,17-29 y.,5th Quintile,Yes,0.31238,187,363,0.26463,0.36012
2006,17-29 y.,5th Quintile,No,0.30992,176,363,0.26228,0.35756
2006,30-45 y.,1st Quintile,Yes,0.17669,146,425,0.14038,0.21299
2006,30-45 y.,1st Quintile,No,0.34476,279,425,0.29952,0.39001
2006,30-45 y.,2nd Quintile,Yes,0.36463,327,723,0.32952,0.39974
2006,30-45 y.,2nd Quintile,No,0.40515,396,723,0.36934,0.44096
2006,30-45 y.,3rd Quintile,Yes,0.42105,463,916,0.38906,0.45305
2006,30-45 y.,3rd Quintile,No,0.39912,453,916,0.36739,0.43086
2006,30-45 y.,4th Quintile,Yes,0.49682,614,1073,0.46689,0.52675
2006,30-45 y.,4th Quintile,No,0.38935,459,1073,0.36016,0.41854
2006,30-45 y.,5th Quintile,Yes,0.52376,732,1338,0.49699,0.55053
2006,30-45 y.,5th Quintile,No,0.40264,606,1338,0.37635,0.42893
2006,46-65 y.,1st Quintile,Yes,0.09662,71,249,0.05985,0.13339
2006,46-65 y.,1st Quintile,No,0.21311,178,249,0.16215,0.26408
2006,46-65 y.,2nd Quintile,Yes,0.22268,172,407,0.18221,0.26316
2006,46-65 y.,2nd Quintile,No,0.29275,235,407,0.24848,0.33701
2006,46-65 y.,3rd Quintile,Yes,0.32534,350,687,0.29028,0.36040
2006,46-65 y.,3rd Quintile,No,0.32891,337,687,0.29375,0.36407
2006,46-65 y.,4th Quintile,Yes,0.41731,581,964,0.38616,0.44845
2006,46-65 y.,4th Quintile,No,0.27363,383,964,0.24547,0.30178
2006,46-65 y.,5th Quintile,Yes,0.47675,1221,2020,0.45496,0.49853
2006,46-65 y.,5th Quintile,No,0.30103,799,2020,0.28102,0.32104
2006,66 and older,5th Quintile,No,0.09842,77,77,0.03145,0.16539
2011,17-29 y.,1st Quintile,Yes,0.17170,122,255,0.12532,0.21808
2011,17-29 y.,1st Quintile,No,0.20115,133,255,0.15186,0.25045
2011,17-29 y.,2nd Quintile,Yes,0.18916,106,261,0.14156,0.23677
2011,17-29 y.,2nd Quintile,No,0.29399,155,261,0.23861,0.34936
2011,17-29 y.,3rd Quintile,Yes,0.31385,164,325,0.26332,0.36438
2011,17-29 y.,3rd Quintile,No,0.30746,161,325,0.25722,0.35771
2011,17-29 y.,4th Quintile,Yes,0.31133,162,309,0.25962,0.36305
2011,17-29 y.,4th Quintile,No,0.34764,147,309,0.29446,0.40083
2011,17-29 y.,5th Quintile,Yes,0.35554,123,236,0.29434,0.41674
2011,17-29 y.,5th Quintile,No,0.31290,113,236,0.25362,0.37219
2011,30-45 y.,1st Quintile,Yes,0.08702,97,304,0.05528,0.11875
2011,30-45 y.,1st Quintile,No,0.21751,207,304,0.17105,0.26396
2011,30-45 y.,2nd Quintile,Yes,0.23169,219,545,0.19623,0.26714
2011,30-45 y.,2nd Quintile,No,0.34622,326,545,0.30624,0.38621
2011,30-45 y.,3rd Quintile,Yes,0.39414,357,670,0.35711,0.43117
2011,30-45 y.,3rd Quintile,No,0.30635,313,670,0.27142,0.34128
2011,30-45 y.,4th Quintile,Yes,0.44137,439,757,0.40598,0.47677
2011,30-45 y.,4th Quintile,No,0.35076,318,757,0.31675,0.38478
2011,30-45 y.,5th Quintile,Yes,0.51487,509,844,0.48113,0.54861
2011,30-45 y.,5th Quintile,No,0.33153,335,844,0.29975,0.36331
2011,46-65 y.,1st Quintile,Yes,0.11186,101,285,0.07520,0.14851
2011,46-65 y.,1st Quintile,No,0.21423,184,285,0.16651,0.26195
2011,46-65 y.,2nd Quintile,Yes,0.22533,176,449,0.18664,0.26402
2011,46-65 y.,2nd Quintile,No,0.34416,273,449,0.30017,0.38816
2011,46-65 y.,3rd Quintile,Yes,0.35237,390,744,0.31802,0.38672
2011,46-65 y.,3rd Quintile,No,0.35847,354,744,0.32399,0.39295
2011,46-65 y.,4th Quintile,Yes,0.46404,600,1037,0.43367,0.49441
2011,46-65 y.,4th Quintile,No,0.31588,437,1037,0.28757,0.34419
2011,46-65 y.,5th Quintile,Yes,0.51857,1054,1691,0.49475,0.54239
2011,46-65 y.,5th Quintile,No,0.28561,637,1691,0.26407,0.30715
2011,66 and older,5th Quintile,No,0.10022,76,76,0.03226,0.16818
2016,17-29 y.,1st Quintile,Yes,0.18926,214,564,0.15690,0.22162
2016,17-29 y.,1st Quintile,No,0.24220,350,564,0.20681,0.27759
2016,17-29 y.,2nd Quintile,Yes,0.24858,232,512,0.21111,0.28606
2016,17-29 y.,2nd Quintile,No,0.29388,280,512,0.25439,0.33338
2016,17-29 y.,3rd Quintile,Yes,0.33994,240,470,0.29707,0.38281
2016,17-29 y.,3rd Quintile,No,0.30871,230,470,0.26690,0.35051
2016,17-29 y.,4th Quintile,Yes,0.31120,195,380,0.26458,0.35781
2016,17-29 y.,4th Quintile,No,0.36417,185,380,0.31572,0.41262
2016,17-29 y.,5th Quintile,Yes,0.41654,165,256,0.35603,0.47705
2016,17-29 y.,5th Quintile,No,0.21585,91,256,0.16535,0.26634
2016,30-45 y.,1st Quintile,Yes,0.20934,304,864,0.18219,0.23648
2016,30-45 y.,1st Quintile,No,0.30544,560,864,0.27471,0.33617
2016,30-45 y.,2nd Quintile,Yes,0.32538,509,1232,0.29921,0.35155
2016,30-45 y.,2nd Quintile,No,0.44213,723,1232,0.41439,0.46987
2016,30-45 y.,3rd Quintile,Yes,0.45869,613,1145,0.42982,0.48757
2016,30-45 y.,3rd Quintile,No,0.40451,532,1145,0.37607,0.43295
2016,30-45 y.,4th Quintile,Yes,0.51307,654,1138,0.48401,0.54212
2016,30-45 y.,4th Quintile,No,0.34023,484,1138,0.31269,0.36777
2016,30-45 y.,5th Quintile,Yes,0.57888,641,957,0.54758,0.61018
2016,30-45 y.,5th Quintile,No,0.28639,316,957,0.25773,0.31505
2016,46-65 y.,1st Quintile,Yes,0.11117,200,613,0.08626,0.13607
2016,46-65 y.,1st Quintile,No,0.26051,413,613,0.22574,0.29529
2016,46-65 y.,2nd Quintile,Yes,0.26414,443,1003,0.23684,0.29144
2016,46-65 y.,2nd Quintile,No,0.35536,560,1003,0.32573,0.38500
2016,46-65 y.,3rd Quintile,Yes,0.40434,657,1174,0.37625,0.43242
2016,46-65 y.,3rd Quintile,No,0.35856,517,1174,0.33111,0.38600
2016,46-65 y.,4th Quintile,Yes,0.48212,932,1480,0.45666,0.50759
2016,46-65 y.,4th Quintile,No,0.34046,548,1480,0.31631,0.36461
2016,46-65 y.,5th Quintile,Yes,0.54163,1231,1866,0.51902,0.56424
2016,46-65 y.,5th Quintile,No,0.25540,635,1866,0.23561,0.27519
2016,66 and older,4th Quintile,No,0.05058,38,38,-0.02003,0.12119
2016,66 and older,5th Quintile,No,0.05588,61,61,-0.00224,0.11400
2019,17-29 y.,1st Quintile,Yes,0.21768,242,520,0.18218,0.25319
2019,17-29 y.,1st Quintile,No,0.23393,278,520,0.19751,0.27035
2019,17-29 y.,2nd Quintile,Yes,0.27576,260,521,0.23735,0.31417
2019,17-29 y.,2nd Quintile,No,0.30495,261,521,0.26538,0.34452
2019,17-29 y.,3rd Quintile,Yes,0.36216,278,491,0.31960,0.40471
2019,17-29 y.,3rd Quintile,No,0.31256,213,491,0.27152,0.35360
2019,17-29 y.,4th Quintile,Yes,0.35678,208,384,0.30880,0.40476
2019,17-29 y.,4th Quintile,No,0.29649,176,384,0.25075,0.34223
2019,17-29 y.,5th Quintile,Yes,0.43162,144,275,0.37298,0.49027
2019,17-29 y.,5th Quintile,No,0.27018,131,275,0.21760,0.32276
2019,30-45 y.,1st Quintile,Yes,0.18058,219,658,0.15116,0.20999
2019,30-45 y.,1st Quintile,No,0.35222,439,658,0.31569,0.38874
2019,30-45 y.,2nd Quintile,Yes,0.40501,441,993,0.37446,0.43555
2019,30-45 y.,2nd Quintile,No,0.42468,552,993,0.39392,0.45544
