year,plb0050,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Yes,0.23211,6377,12447,0.22470,0.23953
2001,No,0.21864,6070,12447,0.21138,0.22590
2006,Yes,0.22295,6175,12103,0.21554,0.23037
2006,No,0.21895,5928,12103,0.21158,0.22632
2011,Yes,0.22078,5932,11102,0.21306,0.22849
2011,No,0.19107,5170,11102,0.18375,0.19838
2016,Yes,0.24737,7288,13889,0.24019,0.25455
2016,No,0.21290,6601,13889,0.20609,0.21971
2019,Yes,0.25547,7616,15637,0.24863,0.26231
2019,No,0.21869,8021,15637,0.21221,0.22517
