"year","bula_h","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1999","Saarland","Laendlicher Raum","","","","",""
"1999","Saarland","Staedtischer Raum","","","","",""
"1999","Sachsen","Laendlicher Raum","","","","",""
"1999","Sachsen","Staedtischer Raum","","","","",""
"1999","Sachsen-Anhalt","Laendlicher Raum","","","","",""
"1999","Sachsen-Anhalt","Staedtischer Raum","","","","",""
"1999","Schleswig-Holstein","Laendlicher Raum","","","","",""
"1999","Schleswig-Holstein","Staedtischer Raum","","","","",""
"1999","Thüringen","Laendlicher Raum","","","","",""
"1999","Thüringen","Staedtischer Raum","","","","",""
"2000","Baden-Württemberg","Laendlicher Raum","","","","",""
"2000","Baden-Württemberg","Staedtischer Raum","","","","",""
"2000","Bayern","Laendlicher Raum","","","","",""
"2000","Bayern","Staedtischer Raum","","","","",""
"2000","Berlin","Laendlicher Raum","","","","",""
"2000","Berlin","Staedtischer Raum","","","","",""
"2000","Brandenburg","Laendlicher Raum","","","","",""
"2000","Brandenburg","Staedtischer Raum","","","","",""
"2000","Bremen","Laendlicher Raum","","","","",""
"2000","Bremen","Staedtischer Raum","","","","",""
"2000","Hamburg","Laendlicher Raum","","","","",""
"2000","Hamburg","Staedtischer Raum","","","","",""
"2000","Hessen","Laendlicher Raum","","","","",""
"2000","Hessen","Staedtischer Raum","","","","",""
"2000","Mecklenburg-Vorpommern","Laendlicher Raum","","","","",""
"2000","Mecklenburg-Vorpommern","Staedtischer Raum","","","","",""
"2000","Niedersachsen","Laendlicher Raum","","","","",""
"2000","Niedersachsen","Staedtischer Raum","","","","",""
"2000","Nordrhein-Westfalen","Laendlicher Raum","","","","",""
"2000","Nordrhein-Westfalen","Staedtischer Raum","","","","",""
"2000","Rheinland-Pfalz","Laendlicher Raum","","","","",""
"2000","Rheinland-Pfalz","Staedtischer Raum","","","","",""
"2000","Saarland","Laendlicher Raum","","","","",""
"2000","Saarland","Staedtischer Raum","","","","",""
"2000","Sachsen","Laendlicher Raum","","","","",""
"2000","Sachsen","Staedtischer Raum","","","","",""
"2000","Sachsen-Anhalt","Laendlicher Raum","","","","",""
"2000","Sachsen-Anhalt","Staedtischer Raum","","","","",""
"2000","Schleswig-Holstein","Laendlicher Raum","","","","",""
"2000","Schleswig-Holstein","Staedtischer Raum","","","","",""
"2000","Thüringen","Laendlicher Raum","","","","",""
"2000","Thüringen","Staedtischer Raum","","","","",""
"2001","Baden-Württemberg","Laendlicher Raum","","","","",""
"2001","Baden-Württemberg","Staedtischer Raum","","","","",""
"2001","Bayern","Laendlicher Raum","","","","",""
"2001","Bayern","Staedtischer Raum","","","","",""
"2001","Berlin","Laendlicher Raum","","","","",""
"2001","Berlin","Staedtischer Raum","","","","",""
"2001","Brandenburg","Laendlicher Raum","","","","",""
"2001","Brandenburg","Staedtischer Raum","","","","",""
"2001","Bremen","Laendlicher Raum","","","","",""
"2001","Bremen","Staedtischer Raum","","","","",""
"2001","Hamburg","Laendlicher Raum","","","","",""
"2001","Hamburg","Staedtischer Raum","","","","",""
"2001","Hessen","Laendlicher Raum","","","","",""
"2001","Hessen","Staedtischer Raum","","","","",""
"2001","Mecklenburg-Vorpommern","Laendlicher Raum","","","","",""
"2001","Mecklenburg-Vorpommern","Staedtischer Raum","","","","",""
"2001","Niedersachsen","Laendlicher Raum","","","","",""
"2001","Niedersachsen","Staedtischer Raum","","","","",""
"2001","Nordrhein-Westfalen","Laendlicher Raum","","","","",""
"2001","Nordrhein-Westfalen","Staedtischer Raum","","","","",""
"2001","Rheinland-Pfalz","Laendlicher Raum","","","","",""
"2001","Rheinland-Pfalz","Staedtischer Raum","","","","",""
"2001","Saarland","Laendlicher Raum","","","","",""
"2001","Saarland","Staedtischer Raum","","","","",""
"2001","Sachsen","Laendlicher Raum","","","","",""
"2001","Sachsen","Staedtischer Raum","","","","",""
"2001","Sachsen-Anhalt","Laendlicher Raum","","","","",""
"2001","Sachsen-Anhalt","Staedtischer Raum","","","","",""
"2001","Schleswig-Holstein","Laendlicher Raum","","","","",""
"2001","Schleswig-Holstein","Staedtischer Raum","","","","",""
"2001","Thüringen","Laendlicher Raum","","","","",""
"2001","Thüringen","Staedtischer Raum","","","","",""
"2002","Baden-Württemberg","Laendlicher Raum","","","","",""
"2002","Baden-Württemberg","Staedtischer Raum","","","","",""
"2002","Bayern","Laendlicher Raum","","","","",""
"2002","Bayern","Staedtischer Raum","","","","",""
"2002","Berlin","Laendlicher Raum","","","","",""
"2002","Berlin","Staedtischer Raum","","","","",""
"2002","Brandenburg","Laendlicher Raum","","","","",""
"2002","Brandenburg","Staedtischer Raum","","","","",""
"2002","Bremen","Laendlicher Raum","","","","",""
"2002","Bremen","Staedtischer Raum","","","","",""
"2002","Hamburg","Laendlicher Raum","","","","",""
"2002","Hamburg","Staedtischer Raum","","","","",""
"2002","Hessen","Laendlicher Raum","","","","",""
"2002","Hessen","Staedtischer Raum","","","","",""
"2002","Mecklenburg-Vorpommern","Laendlicher Raum","","","","",""
"2002","Mecklenburg-Vorpommern","Staedtischer Raum","","","","",""
"2002","Niedersachsen","Laendlicher Raum","","","","",""
"2002","Niedersachsen","Staedtischer Raum","","","","",""
"2002","Nordrhein-Westfalen","Laendlicher Raum","","","","",""
"2002","Nordrhein-Westfalen","Staedtischer Raum","","","","",""
"2002","Rheinland-Pfalz","Laendlicher Raum","","","","",""
"2002","Rheinland-Pfalz","Staedtischer Raum","","","","",""
"2002","Saarland","Laendlicher Raum","","","","",""
"2002","Saarland","Staedtischer Raum","","","","",""
"2002","Sachsen","Laendlicher Raum","","","","",""
"2002","Sachsen","Staedtischer Raum","","","","",""
"2002","Sachsen-Anhalt","Laendlicher Raum","","","","",""
"2002","Sachsen-Anhalt","Staedtischer Raum","","","","",""
"2002","Schleswig-Holstein","Laendlicher Raum","","","","",""
"2002","Schleswig-Holstein","Staedtischer Raum","","","","",""
"2002","Thüringen","Laendlicher Raum","","","","",""
"2002","Thüringen","Staedtischer Raum","","","","",""
"2003","Baden-Württemberg","Laendlicher Raum","","","","",""
"2003","Baden-Württemberg","Staedtischer Raum","","","","",""
"2003","Bayern","Laendlicher Raum","","","","",""
"2003","Bayern","Staedtischer Raum","","","","",""
"2003","Berlin","Laendlicher Raum","","","","",""
"2003","Berlin","Staedtischer Raum","","","","",""
"2003","Brandenburg","Laendlicher Raum","","","","",""
"2003","Brandenburg","Staedtischer Raum","","","","",""
"2003","Bremen","Laendlicher Raum","","","","",""
"2003","Bremen","Staedtischer Raum","","","","",""
"2003","Hamburg","Laendlicher Raum","","","","",""
"2003","Hamburg","Staedtischer Raum","","","","",""
"2003","Hessen","Laendlicher Raum","","","","",""
"2003","Hessen","Staedtischer Raum","","","","",""
"2003","Mecklenburg-Vorpommern","Laendlicher Raum","","","","",""
"2003","Mecklenburg-Vorpommern","Staedtischer Raum","","","","",""
"2003","Niedersachsen","Laendlicher Raum","","","","",""
"2003","Niedersachsen","Staedtischer Raum","","","","",""
"2003","Nordrhein-Westfalen","Laendlicher Raum","","","","",""
"2003","Nordrhein-Westfalen","Staedtischer Raum","","","","",""
"2003","Rheinland-Pfalz","Laendlicher Raum","","","","",""
"2003","Rheinland-Pfalz","Staedtischer Raum","","","","",""
"2003","Saarland","Laendlicher Raum","","","","",""
"2003","Saarland","Staedtischer Raum","","","","",""
"2003","Sachsen","Laendlicher Raum","","","","",""
"2003","Sachsen","Staedtischer Raum","","","","",""
"2003","Sachsen-Anhalt","Laendlicher Raum","","","","",""
"2003","Sachsen-Anhalt","Staedtischer Raum","","","","",""
"2003","Schleswig-Holstein","Laendlicher Raum","","","","",""
"2003","Schleswig-Holstein","Staedtischer Raum","","","","",""
"2003","Thüringen","Laendlicher Raum","","","","",""
"2003","Thüringen","Staedtischer Raum","","","","",""
"2004","Baden-Württemberg","Laendlicher Raum","","","","",""
"2004","Baden-Württemberg","Staedtischer Raum","","","","",""
"2004","Bayern","Laendlicher Raum","","","","",""
"2004","Bayern","Staedtischer Raum","","","","",""
"2004","Berlin","Laendlicher Raum","","","","",""
"2004","Berlin","Staedtischer Raum","","","","",""
"2004","Brandenburg","Laendlicher Raum","","","","",""
"2004","Brandenburg","Staedtischer Raum","","","","",""
"2004","Bremen","Laendlicher Raum","","","","",""
"2004","Bremen","Staedtischer Raum","","","","",""
"2004","Hamburg","Laendlicher Raum","","","","",""
"2004","Hamburg","Staedtischer Raum","","","","",""
"2004","Hessen","Laendlicher Raum","","","","",""
"2004","Hessen","Staedtischer Raum","","","","",""
"2004","Mecklenburg-Vorpommern","Laendlicher Raum","","","","",""
"2004","Mecklenburg-Vorpommern","Staedtischer Raum","","","","",""
"2004","Niedersachsen","Laendlicher Raum","","","","",""
"2004","Niedersachsen","Staedtischer Raum","","","","",""
"2004","Nordrhein-Westfalen","Laendlicher Raum","","","","",""
"2004","Nordrhein-Westfalen","Staedtischer Raum","","","","",""
"2004","Rheinland-Pfalz","Laendlicher Raum","","","","",""
"2004","Rheinland-Pfalz","Staedtischer Raum","","","","",""
"2004","Saarland","Laendlicher Raum","","","","",""
"2004","Saarland","Staedtischer Raum","","","","",""
"2004","Sachsen","Laendlicher Raum","","","","",""
"2004","Sachsen","Staedtischer Raum","","","","",""
"2004","Sachsen-Anhalt","Laendlicher Raum","","","","",""
"2004","Sachsen-Anhalt","Staedtischer Raum","","","","",""
"2004","Schleswig-Holstein","Laendlicher Raum","","","","",""
"2004","Schleswig-Holstein","Staedtischer Raum","","","","",""
"2004","Thüringen","Laendlicher Raum","","","","",""
"2004","Thüringen","Staedtischer Raum","","","","",""
"2005","Baden-Württemberg","Laendlicher Raum","","","","",""
"2005","Baden-Württemberg","Staedtischer Raum","","","","",""
"2005","Bayern","Laendlicher Raum","","","","",""
"2005","Bayern","Staedtischer Raum","","","","",""
"2005","Berlin","Laendlicher Raum","","","","",""
"2005","Berlin","Staedtischer Raum","","","","",""
"2005","Brandenburg","Laendlicher Raum","","","","",""
"2005","Brandenburg","Staedtischer Raum","","","","",""
"2005","Bremen","Laendlicher Raum","","","","",""
"2005","Bremen","Staedtischer Raum","","","","",""
"2005","Hamburg","Laendlicher Raum","","","","",""
"2005","Hamburg","Staedtischer Raum","","","","",""
"2005","Hessen","Laendlicher Raum","","","","",""
"2005","Hessen","Staedtischer Raum","","","","",""
"2005","Mecklenburg-Vorpommern","Laendlicher Raum","","","","",""
"2005","Mecklenburg-Vorpommern","Staedtischer Raum","","","","",""
"2005","Niedersachsen","Laendlicher Raum","","","","",""
"2005","Niedersachsen","Staedtischer Raum","","","","",""
"2005","Nordrhein-Westfalen","Laendlicher Raum","","","","",""
"2005","Nordrhein-Westfalen","Staedtischer Raum","","","","",""
"2005","Rheinland-Pfalz","Laendlicher Raum","","","","",""
"2005","Rheinland-Pfalz","Staedtischer Raum","","","","",""
"2005","Saarland","Laendlicher Raum","","","","",""
"2005","Saarland","Staedtischer Raum","","","","",""
"2005","Sachsen","Laendlicher Raum","","","","",""
"2005","Sachsen","Staedtischer Raum","","","","",""
"2005","Sachsen-Anhalt","Laendlicher Raum","","","","",""
"2005","Sachsen-Anhalt","Staedtischer Raum","","","","",""
"2005","Schleswig-Holstein","Laendlicher Raum","","","","",""
"2005","Schleswig-Holstein","Staedtischer Raum","","","","",""
"2005","Thüringen","Laendlicher Raum","","","","",""
"2005","Thüringen","Staedtischer Raum","","","","",""
"2006","Baden-Württemberg","Laendlicher Raum","","","","",""
"2006","Baden-Württemberg","Staedtischer Raum","","","","",""
"2006","Bayern","Laendlicher Raum","","","","",""
"2006","Bayern","Staedtischer Raum","","","","",""
"2006","Berlin","Laendlicher Raum","","","","",""
"2006","Berlin","Staedtischer Raum","","","","",""
"2006","Brandenburg","Laendlicher Raum","","","","",""
"2006","Brandenburg","Staedtischer Raum","","","","",""
"2006","Bremen","Laendlicher Raum","","","","",""
"2006","Bremen","Staedtischer Raum","","","","",""
"2006","Hamburg","Laendlicher Raum","","","","",""
"2006","Hamburg","Staedtischer Raum","","","","",""
"2006","Hessen","Laendlicher Raum","","","","",""
"2006","Hessen","Staedtischer Raum","","","","",""
"2006","Mecklenburg-Vorpommern","Laendlicher Raum","","","","",""
"2006","Mecklenburg-Vorpommern","Staedtischer Raum","","","","",""
"2006","Niedersachsen","Laendlicher Raum","","","","",""
"2006","Niedersachsen","Staedtischer Raum","","","","",""
"2006","Nordrhein-Westfalen","Laendlicher Raum","","","","",""
"2006","Nordrhein-Westfalen","Staedtischer Raum","","","","",""
"2006","Rheinland-Pfalz","Laendlicher Raum","","","","",""
"2006","Rheinland-Pfalz","Staedtischer Raum","","","","",""
"2006","Saarland","Laendlicher Raum","","","","",""
"2006","Saarland","Staedtischer Raum","","","","",""
"2006","Sachsen","Laendlicher Raum","","","","",""
"2006","Sachsen","Staedtischer Raum","","","","",""
"2006","Sachsen-Anhalt","Laendlicher Raum","","","","",""
"2006","Sachsen-Anhalt","Staedtischer Raum","","","","",""
"2006","Schleswig-Holstein","Laendlicher Raum","","","","",""
"2006","Schleswig-Holstein","Staedtischer Raum","","","","",""
"2006","Thüringen","Laendlicher Raum","","","","",""
"2006","Thüringen","Staedtischer Raum","","","","",""
"2007","Baden-Württemberg","Laendlicher Raum","","","","",""
"2007","Baden-Württemberg","Staedtischer Raum","","","","",""
"2007","Bayern","Laendlicher Raum","","","","",""
"2007","Bayern","Staedtischer Raum","","","","",""
"2007","Berlin","Laendlicher Raum","","","","",""
"2007","Berlin","Staedtischer Raum","","","","",""
"2007","Brandenburg","Laendlicher Raum","","","","",""
"2007","Brandenburg","Staedtischer Raum","","","","",""
"2007","Bremen","Laendlicher Raum","","","","",""
"2007","Bremen","Staedtischer Raum","","","","",""
"2007","Hamburg","Laendlicher Raum","","","","",""
"2007","Hamburg","Staedtischer Raum","","","","",""
"2007","Hessen","Laendlicher Raum","","","","",""
"2007","Hessen","Staedtischer Raum","","","","",""
"2007","Mecklenburg-Vorpommern","Laendlicher Raum","","","","",""
"2007","Mecklenburg-Vorpommern","Staedtischer Raum","","","","",""
"2007","Niedersachsen","Laendlicher Raum","","","","",""
"2007","Niedersachsen","Staedtischer Raum","","","","",""
"2007","Nordrhein-Westfalen","Laendlicher Raum","","","","",""
"2007","Nordrhein-Westfalen","Staedtischer Raum","","","","",""
"2007","Rheinland-Pfalz","Laendlicher Raum","","","","",""
"2007","Rheinland-Pfalz","Staedtischer Raum","","","","",""
"2007","Saarland","Laendlicher Raum","","","","",""
"2007","Saarland","Staedtischer Raum","","","","",""
"2007","Sachsen","Laendlicher Raum","","","","",""
"2007","Sachsen","Staedtischer Raum","","","","",""
"2007","Sachsen-Anhalt","Laendlicher Raum","","","","",""
"2007","Sachsen-Anhalt","Staedtischer Raum","","","","",""
"2007","Schleswig-Holstein","Laendlicher Raum","","","","",""
"2007","Schleswig-Holstein","Staedtischer Raum","","","","",""
"2007","Thüringen","Laendlicher Raum","","","","",""
"2007","Thüringen","Staedtischer Raum","","","","",""
"2008","Baden-Württemberg","Laendlicher Raum","7.4","7.5","214","7.15","7.65"
"2008","Baden-Württemberg","Staedtischer Raum","7.02","6.5","2131","6.94","7.1"
"2008","Bayern","Laendlicher Raum","7.16","7.5","1465","7.07","7.25"
"2008","Bayern","Staedtischer Raum","7.07","6.5","1265","6.97","7.17"
"2008","Berlin","Laendlicher Raum","","","","",""
"2008","Berlin","Staedtischer Raum","6.59","6.5","719","6.45","6.73"
"2008","Brandenburg","Laendlicher Raum","6.32","6.5","751","6.19","6.45"
"2008","Brandenburg","Staedtischer Raum","6.8","6.5","67","6.42","7.18"
"2008","Bremen","Laendlicher Raum","","","","",""
"2008","Bremen","Staedtischer Raum","7.37","6.5","137","7.08","7.66"
"2008","Hamburg","Laendlicher Raum","","","","",""
"2008","Hamburg","Staedtischer Raum","7.48","7.5","278","7.3","7.66"
"2008","Hessen","Laendlicher Raum","7.15","6.5","223","6.93","7.37"
"2008","Hessen","Staedtischer Raum","7.03","7.5","1070","6.92","7.14"
"2008","Mecklenburg-Vorpommern","Laendlicher Raum","6.85","6.5","425","6.68","7.02"
"2008","Mecklenburg-Vorpommern","Staedtischer Raum","7.52","7.5","63","7.14","7.9"
"2008","Niedersachsen","Laendlicher Raum","7.14","6.5","895","7.03","7.25"
"2008","Niedersachsen","Staedtischer Raum","7.3","6.5","822","7.19","7.41"
"2008","Nordrhein-Westfalen","Laendlicher Raum","7.09","6.5","98","6.78","7.4"
"2008","Nordrhein-Westfalen","Staedtischer Raum","7.07","7.5","3765","7.02","7.12"
"2008","Rheinland-Pfalz","Laendlicher Raum","6.8","6.5","268","6.59","7.01"
"2008","Rheinland-Pfalz","Staedtischer Raum","7.41","7.5","594","7.27","7.55"
"2008","Saarland","Laendlicher Raum","","","","",""
"2008","Saarland","Staedtischer Raum","7.18","7.5","222","6.94","7.42"
"2008","Sachsen","Laendlicher Raum","6.62","6.5","705","6.48","6.76"
"2008","Sachsen","Staedtischer Raum","6.72","6.5","721","6.59","6.85"
"2008","Sachsen-Anhalt","Laendlicher Raum","6.53","6.5","649","6.39","6.67"
"2008","Sachsen-Anhalt","Staedtischer Raum","6.34","6.5","163","6.04","6.64"
"2008","Schleswig-Holstein","Laendlicher Raum","7.38","7.5","319","7.19","7.57"
"2008","Schleswig-Holstein","Staedtischer Raum","7.17","7.5","226","6.95","7.39"
"2008","Thüringen","Laendlicher Raum","6.26","6.5","611","6.11","6.41"
"2008","Thüringen","Staedtischer Raum","6.82","6.5","261","6.61","7.03"
"2009","Baden-Württemberg","Laendlicher Raum","","","","",""
"2009","Baden-Württemberg","Staedtischer Raum","","","","",""
"2009","Bayern","Laendlicher Raum","","","","",""
"2009","Bayern","Staedtischer Raum","","","","",""
"2009","Berlin","Laendlicher Raum","","","","",""
"2009","Berlin","Staedtischer Raum","","","","",""
"2009","Brandenburg","Laendlicher Raum","","","","",""
"2009","Brandenburg","Staedtischer Raum","","","","",""
"2009","Bremen","Laendlicher Raum","","","","",""
"2009","Bremen","Staedtischer Raum","","","","",""
"2009","Hamburg","Laendlicher Raum","","","","",""
"2009","Hamburg","Staedtischer Raum","","","","",""
"2009","Hessen","Laendlicher Raum","","","","",""
"2009","Hessen","Staedtischer Raum","","","","",""
"2009","Mecklenburg-Vorpommern","Laendlicher Raum","","","","",""
"2009","Mecklenburg-Vorpommern","Staedtischer Raum","","","","",""
"2009","Niedersachsen","Laendlicher Raum","","","","",""
"2009","Niedersachsen","Staedtischer Raum","","","","",""
"2009","Nordrhein-Westfalen","Laendlicher Raum","","","","",""
"2009","Nordrhein-Westfalen","Staedtischer Raum","","","","",""
"2009","Rheinland-Pfalz","Laendlicher Raum","","","","",""
"2009","Rheinland-Pfalz","Staedtischer Raum","","","","",""
"2009","Saarland","Laendlicher Raum","","","","",""
"2009","Saarland","Staedtischer Raum","","","","",""
"2009","Sachsen","Laendlicher Raum","","","","",""
"2009","Sachsen","Staedtischer Raum","","","","",""
"2009","Sachsen-Anhalt","Laendlicher Raum","","","","",""
"2009","Sachsen-Anhalt","Staedtischer Raum","","","","",""
"2009","Schleswig-Holstein","Laendlicher Raum","","","","",""
"2009","Schleswig-Holstein","Staedtischer Raum","","","","",""
"2009","Thüringen","Laendlicher Raum","","","","",""
"2009","Thüringen","Staedtischer Raum","","","","",""
"2010","Baden-Württemberg","Laendlicher Raum","","","","",""
"2010","Baden-Württemberg","Staedtischer Raum","","","","",""
"2010","Bayern","Laendlicher Raum","","","","",""
"2010","Bayern","Staedtischer Raum","","","","",""
"2010","Berlin","Laendlicher Raum","","","","",""
"2010","Berlin","Staedtischer Raum","","","","",""
"2010","Brandenburg","Laendlicher Raum","","","","",""
"2010","Brandenburg","Staedtischer Raum","","","","",""
"2010","Bremen","Laendlicher Raum","","","","",""
"2010","Bremen","Staedtischer Raum","","","","",""
"2010","Hamburg","Laendlicher Raum","","","","",""
"2010","Hamburg","Staedtischer Raum","","","","",""
"2010","Hessen","Laendlicher Raum","","","","",""
"2010","Hessen","Staedtischer Raum","","","","",""
"2010","Mecklenburg-Vorpommern","Laendlicher Raum","","","","",""
"2010","Mecklenburg-Vorpommern","Staedtischer Raum","","","","",""
"2010","Niedersachsen","Laendlicher Raum","","","","",""
"2010","Niedersachsen","Staedtischer Raum","","","","",""
"2010","Nordrhein-Westfalen","Laendlicher Raum","","","","",""
"2010","Nordrhein-Westfalen","Staedtischer Raum","","","","",""
"2010","Rheinland-Pfalz","Laendlicher Raum","","","","",""
"2010","Rheinland-Pfalz","Staedtischer Raum","","","","",""
"2010","Saarland","Laendlicher Raum","","","","",""
"2010","Saarland","Staedtischer Raum","","","","",""
"2010","Sachsen","Laendlicher Raum","","","","",""
"2010","Sachsen","Staedtischer Raum","","","","",""
"2010","Sachsen-Anhalt","Laendlicher Raum","","","","",""
"2010","Sachsen-Anhalt","Staedtischer Raum","","","","",""
"2010","Schleswig-Holstein","Laendlicher Raum","","","","",""
"2010","Schleswig-Holstein","Staedtischer Raum","","","","",""
"2010","Thüringen","Laendlicher Raum","","","","",""
"2010","Thüringen","Staedtischer Raum","","","","",""
"2011","Baden-Württemberg","Laendlicher Raum","","","","",""
"2011","Baden-Württemberg","Staedtischer Raum","","","","",""
"2011","Bayern","Laendlicher Raum","","","","",""
"2011","Bayern","Staedtischer Raum","","","","",""
"2011","Berlin","Laendlicher Raum","","","","",""
"2011","Berlin","Staedtischer Raum","","","","",""
"2011","Brandenburg","Laendlicher Raum","","","","",""
"2011","Brandenburg","Staedtischer Raum","","","","",""
"2011","Bremen","Laendlicher Raum","","","","",""
"2011","Bremen","Staedtischer Raum","","","","",""
"2011","Hamburg","Laendlicher Raum","","","","",""
"2011","Hamburg","Staedtischer Raum","","","","",""
"2011","Hessen","Laendlicher Raum","","","","",""
"2011","Hessen","Staedtischer Raum","","","","",""
"2011","Mecklenburg-Vorpommern","Laendlicher Raum","","","","",""
"2011","Mecklenburg-Vorpommern","Staedtischer Raum","","","","",""
"2011","Niedersachsen","Laendlicher Raum","","","","",""
"2011","Niedersachsen","Staedtischer Raum","","","","",""
"2011","Nordrhein-Westfalen","Laendlicher Raum","","","","",""
"2011","Nordrhein-Westfalen","Staedtischer Raum","","","","",""
"2011","Rheinland-Pfalz","Laendlicher Raum","","","","",""
"2011","Rheinland-Pfalz","Staedtischer Raum","","","","",""
"2011","Saarland","Laendlicher Raum","","","","",""
"2011","Saarland","Staedtischer Raum","","","","",""
"2011","Sachsen","Laendlicher Raum","","","","",""
"2011","Sachsen","Staedtischer Raum","","","","",""
"2011","Sachsen-Anhalt","Laendlicher Raum","","","","",""
"2011","Sachsen-Anhalt","Staedtischer Raum","","","","",""
"2011","Schleswig-Holstein","Laendlicher Raum","","","","",""
"2011","Schleswig-Holstein","Staedtischer Raum","","","","",""
"2011","Thüringen","Laendlicher Raum","","","","",""
"2011","Thüringen","Staedtischer Raum","","","","",""
"2012","Baden-Württemberg","Laendlicher Raum","","","","",""
"2012","Baden-Württemberg","Staedtischer Raum","","","","",""
"2012","Bayern","Laendlicher Raum","","","","",""
"2012","Bayern","Staedtischer Raum","","","","",""
"2012","Berlin","Laendlicher Raum","","","","",""
"2012","Berlin","Staedtischer Raum","","","","",""
"2012","Brandenburg","Laendlicher Raum","","","","",""
"2012","Brandenburg","Staedtischer Raum","","","","",""
"2012","Bremen","Laendlicher Raum","","","","",""
"2012","Bremen","Staedtischer Raum","","","","",""
"2012","Hamburg","Laendlicher Raum","","","","",""
"2012","Hamburg","Staedtischer Raum","","","","",""
"2012","Hessen","Laendlicher Raum","","","","",""
"2012","Hessen","Staedtischer Raum","","","","",""
"2012","Mecklenburg-Vorpommern","Laendlicher Raum","","","","",""
"2012","Mecklenburg-Vorpommern","Staedtischer Raum","","","","",""
"2012","Niedersachsen","Laendlicher Raum","","","","",""
"2012","Niedersachsen","Staedtischer Raum","","","","",""
"2012","Nordrhein-Westfalen","Laendlicher Raum","","","","",""
"2012","Nordrhein-Westfalen","Staedtischer Raum","","","","",""
"2012","Rheinland-Pfalz","Laendlicher Raum","","","","",""
"2012","Rheinland-Pfalz","Staedtischer Raum","","","","",""
"2012","Saarland","Laendlicher Raum","","","","",""
"2012","Saarland","Staedtischer Raum","","","","",""
"2012","Sachsen","Laendlicher Raum","","","","",""
"2012","Sachsen","Staedtischer Raum","","","","",""
"2012","Sachsen-Anhalt","Laendlicher Raum","","","","",""
"2012","Sachsen-Anhalt","Staedtischer Raum","","","","",""
"2012","Schleswig-Holstein","Laendlicher Raum","","","","",""
"2012","Schleswig-Holstein","Staedtischer Raum","","","","",""
"2012","Thüringen","Laendlicher Raum","","","","",""
"2012","Thüringen","Staedtischer Raum","","","","",""
"2013","Baden-Württemberg","Laendlicher Raum","7.63","7.5","271","7.42","7.84"
"2013","Baden-Württemberg","Staedtischer Raum","7.35","7.5","2571","7.28","7.42"
"2013","Bayern","Laendlicher Raum","7.3","7.5","1981","7.22","7.38"
"2013","Bayern","Staedtischer Raum","7.5","7.5","1738","7.42","7.58"
"2013","Berlin","Laendlicher Raum","","","","",""
"2013","Berlin","Staedtischer Raum","7.09","7.5","938","6.97","7.21"
"2013","Brandenburg","Laendlicher Raum","6.69","6.5","809","6.56","6.82"
"2013","Brandenburg","Staedtischer Raum","7.24","7.5","67","6.8","7.68"
"2013","Bremen","Laendlicher Raum","","","","",""
"2013","Bremen","Staedtischer Raum","7.08","7.5","176","6.79","7.37"
"2013","Hamburg","Laendlicher Raum","","","","",""
"2013","Hamburg","Staedtischer Raum","7.63","7.5","459","7.49","7.77"
"2013","Hessen","Laendlicher Raum","7.38","7.5","269","7.18","7.58"
"2013","Hessen","Staedtischer Raum","7.56","7.5","1424","7.47","7.65"
"2013","Mecklenburg-Vorpommern","Laendlicher Raum","7.12","6.5","414","6.95","7.29"
"2013","Mecklenburg-Vorpommern","Staedtischer Raum","7.86","7.5","56","7.44","8.28"
"2013","Niedersachsen","Laendlicher Raum","7.41","7.5","1222","7.32","7.5"
"2013","Niedersachsen","Staedtischer Raum","7.49","7.5","938","7.39","7.59"
"2013","Nordrhein-Westfalen","Laendlicher Raum","7.09","6.5","106","6.79","7.39"
"2013","Nordrhein-Westfalen","Staedtischer Raum","7.44","7.5","4826","7.39","7.49"
"2013","Rheinland-Pfalz","Laendlicher Raum","7.19","7.5","341","7","7.38"
"2013","Rheinland-Pfalz","Staedtischer Raum","7.57","7.5","827","7.46","7.68"
"2013","Saarland","Laendlicher Raum","","","","",""
"2013","Saarland","Staedtischer Raum","7.28","7.5","239","7.04","7.52"
"2013","Sachsen","Laendlicher Raum","6.96","6.5","680","6.83","7.09"
"2013","Sachsen","Staedtischer Raum","7.02","6.5","710","6.88","7.16"
"2013","Sachsen-Anhalt","Laendlicher Raum","6.93","6.5","643","6.79","7.07"
"2013","Sachsen-Anhalt","Staedtischer Raum","6.76","6.5","215","6.51","7.01"
"2013","Schleswig-Holstein","Laendlicher Raum","7.71","7.5","521","7.58","7.84"
"2013","Schleswig-Holstein","Staedtischer Raum","7.39","7.5","229","7.16","7.62"
"2013","Thüringen","Laendlicher Raum","6.85","6.5","587","6.71","6.99"
"2013","Thüringen","Staedtischer Raum","7.29","6.5","250","7.09","7.49"
"2014","Baden-Württemberg","Laendlicher Raum","","","","",""
"2014","Baden-Württemberg","Staedtischer Raum","","","","",""
"2014","Bayern","Laendlicher Raum","","","","",""
"2014","Bayern","Staedtischer Raum","","","","",""
"2014","Berlin","Laendlicher Raum","","","","",""
"2014","Berlin","Staedtischer Raum","","","","",""
"2014","Brandenburg","Laendlicher Raum","","","","",""
"2014","Brandenburg","Staedtischer Raum","","","","",""
"2014","Bremen","Laendlicher Raum","","","","",""
"2014","Bremen","Staedtischer Raum","","","","",""
"2014","Hamburg","Laendlicher Raum","","","","",""
"2014","Hamburg","Staedtischer Raum","","","","",""
