"year","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1985","Laendlicher Raum","7.19","7.5","2340","7.1","7.28"
"1985","Staedtischer Raum","7.41","7.5","8545","7.37","7.45"
"1986","Laendlicher Raum","7.41","7.5","2240","7.33","7.49"
"1986","Staedtischer Raum","7.55","7.5","8218","7.51","7.59"
"1987","Laendlicher Raum","7.13","7.5","2203","7.05","7.21"
"1987","Staedtischer Raum","7.34","7.5","8122","7.3","7.38"
"1988","Laendlicher Raum","","","","",""
"1988","Staedtischer Raum","","","","",""
"1989","Laendlicher Raum","","","","",""
"1989","Staedtischer Raum","","","","",""
"1990","Laendlicher Raum","","","","",""
"1990","Staedtischer Raum","","","","",""
"1991","Laendlicher Raum","","","","",""
"1991","Staedtischer Raum","","","","",""
"1992","Laendlicher Raum","","","","",""
"1992","Staedtischer Raum","","","","",""
"1993","Laendlicher Raum","","","","",""
"1993","Staedtischer Raum","","","","",""
"1994","Laendlicher Raum","","","","",""
"1994","Staedtischer Raum","","","","",""
"1995","Laendlicher Raum","","","","",""
"1995","Staedtischer Raum","","","","",""
"1996","Laendlicher Raum","","","","",""
"1996","Staedtischer Raum","","","","",""
"1997","Laendlicher Raum","","","","",""
"1997","Staedtischer Raum","","","","",""
"1998","Laendlicher Raum","","","","",""
"1998","Staedtischer Raum","","","","",""
"1999","Laendlicher Raum","","","","",""
"1999","Staedtischer Raum","","","","",""
"2000","Laendlicher Raum","","","","",""
"2000","Staedtischer Raum","","","","",""
"2001","Laendlicher Raum","","","","",""
"2001","Staedtischer Raum","","","","",""
"2002","Laendlicher Raum","","","","",""
"2002","Staedtischer Raum","","","","",""
"2003","Laendlicher Raum","","","","",""
"2003","Staedtischer Raum","","","","",""
"2004","Laendlicher Raum","","","","",""
"2004","Staedtischer Raum","","","","",""
"2005","Laendlicher Raum","","","","",""
"2005","Staedtischer Raum","","","","",""
"2006","Laendlicher Raum","","","","",""
"2006","Staedtischer Raum","","","","",""
"2007","Laendlicher Raum","","","","",""
"2007","Staedtischer Raum","","","","",""
"2008","Laendlicher Raum","6.92","6.5","6623","6.88","6.96"
"2008","Staedtischer Raum","7.06","6.5","12504","7.03","7.09"
"2009","Laendlicher Raum","","","","",""
"2009","Staedtischer Raum","","","","",""
"2010","Laendlicher Raum","","","","",""
"2010","Staedtischer Raum","","","","",""
"2011","Laendlicher Raum","","","","",""
"2011","Staedtischer Raum","","","","",""
"2012","Laendlicher Raum","","","","",""
"2012","Staedtischer Raum","","","","",""
"2013","Laendlicher Raum","7.21","7.5","7844","7.17","7.25"
"2013","Staedtischer Raum","7.4","7.5","15663","7.37","7.43"
"2014","Laendlicher Raum","","","","",""
"2014","Staedtischer Raum","","","","",""
"2015","Laendlicher Raum","","","","",""
"2015","Staedtischer Raum","","","","",""
"2016","Laendlicher Raum","","","","",""
"2016","Staedtischer Raum","","","","",""
"2017","Laendlicher Raum","","","","",""
"2017","Staedtischer Raum","","","","",""
"2018","Laendlicher Raum","7.48","7.5","8899","7.45","7.51"
"2018","Staedtischer Raum","7.63","7.5","16427","7.61","7.65"
