"year","regtyp","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1985","Laendlicher Raum","Ost","","","","",""
"1985","Laendlicher Raum","West","7.19","7.5","2340","7.1","7.28"
"1985","Staedtischer Raum","Ost","","","","",""
"1985","Staedtischer Raum","West","7.41","7.5","8545","7.37","7.45"
"1986","Laendlicher Raum","Ost","","","","",""
"1986","Laendlicher Raum","West","7.41","7.5","2240","7.33","7.49"
"1986","Staedtischer Raum","Ost","","","","",""
"1986","Staedtischer Raum","West","7.55","7.5","8218","7.51","7.59"
"1987","Laendlicher Raum","Ost","","","","",""
"1987","Laendlicher Raum","West","7.13","7.5","2203","7.05","7.21"
"1987","Staedtischer Raum","Ost","","","","",""
"1987","Staedtischer Raum","West","7.34","7.5","8122","7.3","7.38"
"1988","Laendlicher Raum","Ost","","","","",""
"1988","Laendlicher Raum","West","","","","",""
"1988","Staedtischer Raum","Ost","","","","",""
"1988","Staedtischer Raum","West","","","","",""
"1989","Laendlicher Raum","Ost","","","","",""
"1989","Laendlicher Raum","West","","","","",""
"1989","Staedtischer Raum","Ost","","","","",""
"1989","Staedtischer Raum","West","","","","",""
"1990","Laendlicher Raum","Ost","","","","",""
"1990","Laendlicher Raum","West","","","","",""
"1990","Staedtischer Raum","Ost","","","","",""
"1990","Staedtischer Raum","West","","","","",""
"1991","Laendlicher Raum","Ost","","","","",""
"1991","Laendlicher Raum","West","","","","",""
"1991","Staedtischer Raum","Ost","","","","",""
"1991","Staedtischer Raum","West","","","","",""
"1992","Laendlicher Raum","Ost","","","","",""
"1992","Laendlicher Raum","West","","","","",""
"1992","Staedtischer Raum","Ost","","","","",""
"1992","Staedtischer Raum","West","","","","",""
"1993","Laendlicher Raum","Ost","","","","",""
"1993","Laendlicher Raum","West","","","","",""
"1993","Staedtischer Raum","Ost","","","","",""
"1993","Staedtischer Raum","West","","","","",""
"1994","Laendlicher Raum","Ost","","","","",""
"1994","Laendlicher Raum","West","","","","",""
"1994","Staedtischer Raum","Ost","","","","",""
"1994","Staedtischer Raum","West","","","","",""
"1995","Laendlicher Raum","Ost","","","","",""
"1995","Laendlicher Raum","West","","","","",""
"1995","Staedtischer Raum","Ost","","","","",""
"1995","Staedtischer Raum","West","","","","",""
"1996","Laendlicher Raum","Ost","","","","",""
"1996","Laendlicher Raum","West","","","","",""
"1996","Staedtischer Raum","Ost","","","","",""
"1996","Staedtischer Raum","West","","","","",""
"1997","Laendlicher Raum","Ost","","","","",""
"1997","Laendlicher Raum","West","","","","",""
"1997","Staedtischer Raum","Ost","","","","",""
"1997","Staedtischer Raum","West","","","","",""
"1998","Laendlicher Raum","Ost","","","","",""
"1998","Laendlicher Raum","West","","","","",""
"1998","Staedtischer Raum","Ost","","","","",""
"1998","Staedtischer Raum","West","","","","",""
"1999","Laendlicher Raum","Ost","","","","",""
"1999","Laendlicher Raum","West","","","","",""
"1999","Staedtischer Raum","Ost","","","","",""
"1999","Staedtischer Raum","West","","","","",""
"2000","Laendlicher Raum","Ost","","","","",""
"2000","Laendlicher Raum","West","","","","",""
"2000","Staedtischer Raum","Ost","","","","",""
"2000","Staedtischer Raum","West","","","","",""
"2001","Laendlicher Raum","Ost","","","","",""
"2001","Laendlicher Raum","West","","","","",""
"2001","Staedtischer Raum","Ost","","","","",""
"2001","Staedtischer Raum","West","","","","",""
"2002","Laendlicher Raum","Ost","","","","",""
"2002","Laendlicher Raum","West","","","","",""
"2002","Staedtischer Raum","Ost","","","","",""
"2002","Staedtischer Raum","West","","","","",""
"2003","Laendlicher Raum","Ost","","","","",""
"2003","Laendlicher Raum","West","","","","",""
"2003","Staedtischer Raum","Ost","","","","",""
"2003","Staedtischer Raum","West","","","","",""
"2004","Laendlicher Raum","Ost","","","","",""
"2004","Laendlicher Raum","West","","","","",""
"2004","Staedtischer Raum","Ost","","","","",""
"2004","Staedtischer Raum","West","","","","",""
"2005","Laendlicher Raum","Ost","","","","",""
"2005","Laendlicher Raum","West","","","","",""
"2005","Staedtischer Raum","Ost","","","","",""
"2005","Staedtischer Raum","West","","","","",""
"2006","Laendlicher Raum","Ost","","","","",""
"2006","Laendlicher Raum","West","","","","",""
"2006","Staedtischer Raum","Ost","","","","",""
"2006","Staedtischer Raum","West","","","","",""
"2007","Laendlicher Raum","Ost","","","","",""
"2007","Laendlicher Raum","West","","","","",""
"2007","Staedtischer Raum","Ost","","","","",""
"2007","Staedtischer Raum","West","","","","",""
"2008","Laendlicher Raum","Ost","6.51","6.5","3141","6.45","6.57"
"2008","Laendlicher Raum","West","7.17","7.5","3482","7.11","7.23"
"2008","Staedtischer Raum","Ost","6.72","6.5","1608","6.63","6.81"
"2008","Staedtischer Raum","West","7.09","7.5","10896","7.06","7.12"
"2009","Laendlicher Raum","Ost","","","","",""
"2009","Laendlicher Raum","West","","","","",""
"2009","Staedtischer Raum","Ost","","","","",""
"2009","Staedtischer Raum","West","","","","",""
"2010","Laendlicher Raum","Ost","","","","",""
"2010","Laendlicher Raum","West","","","","",""
"2010","Staedtischer Raum","Ost","","","","",""
