"year","bula_h","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1984","Baden-Württemberg","Ost","","","","",""
"1984","Baden-Württemberg","West","7.51","7.5","2217","7.42","7.6"
"1984","Bayern","Ost","","","","",""
"1984","Bayern","West","7.38","7.5","2052","7.29","7.47"
"1984","Berlin","Ost","","","","",""
"1984","Berlin","West","7.39","7.5","396","7.16","7.62"
"1984","Brandenburg","Ost","","","","",""
"1984","Brandenburg","West","","","","",""
"1984","Bremen","Ost","","","","",""
"1984","Bremen","West","6.87","6.5","130","6.39","7.35"
"1984","Hamburg","Ost","","","","",""
"1984","Hamburg","West","7.41","7.5","303","7.16","7.66"
"1984","Hessen","Ost","","","","",""
"1984","Hessen","West","7.48","7.5","1226","7.36","7.6"
"1984","Mecklenburg-Vorpommern","Ost","","","","",""
"1984","Mecklenburg-Vorpommern","West","","","","",""
"1984","Niedersachsen","Ost","","","","",""
"1984","Niedersachsen","West","7.32","7.5","1218","7.2","7.44"
"1984","Nordrhein-Westfalen","Ost","","","","",""
"1984","Nordrhein-Westfalen","West","7.51","7.5","3214","7.44","7.58"
"1984","Rheinland-Pfalz","Ost","","","","",""
"1984","Rheinland-Pfalz","West","7.35","7.5","842","7.21","7.49"
"1984","Saarland","Ost","","","","",""
"1984","Saarland","West","","","","",""
"1984","Sachsen","Ost","","","","",""
"1984","Sachsen","West","","","","",""
"1984","Sachsen-Anhalt","Ost","","","","",""
"1984","Sachsen-Anhalt","West","","","","",""
"1984","Schleswig-Holstein","Ost","","","","",""
"1984","Schleswig-Holstein","West","7.83","7.5","378","7.64","8.02"
"1984","Thüringen","Ost","","","","",""
"1984","Thüringen","West","","","","",""
"1985","Baden-Württemberg","Ost","","","","",""
"1985","Baden-Württemberg","West","7.47","7.5","2012","7.38","7.56"
"1985","Bayern","Ost","","","","",""
"1985","Bayern","West","7.21","7.5","1874","7.12","7.3"
"1985","Berlin","Ost","","","","",""
"1985","Berlin","West","7.2","7.5","360","6.96","7.44"
"1985","Brandenburg","Ost","","","","",""
"1985","Brandenburg","West","","","","",""
"1985","Bremen","Ost","","","","",""
