"year","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1984","Ost","","","","",""
"1984","West","7.45","7.5","11976","7.41","7.49"
"1985","Ost","","","","",""
"1985","West","7.36","7.5","10885","7.32","7.4"
"1986","Ost","","","","",""
"1986","West","7.52","7.5","10458","7.48","7.56"
"1987","Ost","","","","",""
"1987","West","7.29","7.5","10325","7.25","7.33"
"1988","Ost","","","","",""
"1988","West","","","","",""
"1989","Ost","","","","",""
"1989","West","","","","",""
"1990","Ost","","","","",""
"1990","West","","","","",""
"1991","Ost","","","","",""
"1991","West","","","","",""
"1992","Ost","","","","",""
"1992","West","","","","",""
"1993","Ost","","","","",""
"1993","West","","","","",""
"1994","Ost","","","","",""
"1994","West","","","","",""
"1995","Ost","","","","",""
"1995","West","","","","",""
"1996","Ost","","","","",""
"1996","West","","","","",""
"1997","Ost","","","","",""
"1997","West","","","","",""
"1998","Ost","","","","",""
"1998","West","","","","",""
"1999","Ost","","","","",""
"1999","West","","","","",""
"2000","Ost","","","","",""
"2000","West","","","","",""
"2001","Ost","","","","",""
"2001","West","","","","",""
"2002","Ost","","","","",""
"2002","West","","","","",""
"2003","Ost","","","","",""
"2003","West","","","","",""
"2004","Ost","","","","",""
"2004","West","","","","",""
"2005","Ost","","","","",""
"2005","West","","","","",""
"2006","Ost","","","","",""
"2006","West","","","","",""
"2007","Ost","","","","",""
"2007","West","","","","",""
"2008","Ost","6.58","6.5","4749","6.53","6.63"
"2008","West","7.11","7.5","14378","7.08","7.14"
"2009","Ost","","","","",""
"2009","West","","","","",""
"2010","Ost","","","","",""
"2010","West","","","","",""
"2011","Ost","","","","",""
"2011","West","","","","",""
"2012","Ost","","","","",""
"2012","West","","","","",""
"2013","Ost","6.94","6.5","4784","6.89","6.99"
"2013","West","7.43","7.5","18723","7.41","7.45"
"2014","Ost","","","","",""
"2014","West","","","","",""
"2015","Ost","","","","",""
"2015","West","","","","",""
"2016","Ost","","","","",""
"2016","West","","","","",""
"2017","Ost","","","","",""
"2017","West","","","","",""
"2018","Ost","7.31","7.5","5446","7.27","7.35"
"2018","West","7.64","7.5","19880","7.62","7.66"
