"year","bildungsniveau","bula_h","mean","median","n","lower_confidence","upper_confidence"
"1984","(Fach-)Abitur","Baden-Württemberg","7.48","7.5","131","7.14","7.82"
"1984","(Fach-)Abitur","Bayern","7.57","7.5","136","7.22","7.92"
"1984","(Fach-)Abitur","Berlin","6.97","6.5","34","6.08","7.86"
"1984","(Fach-)Abitur","Brandenburg","","","","",""
"1984","(Fach-)Abitur","Bremen","","","","",""
"1984","(Fach-)Abitur","Hamburg","7.24","7.5","44","6.55","7.93"
"1984","(Fach-)Abitur","Hessen","7.54","7.5","103","7.15","7.93"
"1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","","",""
"1984","(Fach-)Abitur","Niedersachsen","7.38","7.5","78","6.92","7.84"
"1984","(Fach-)Abitur","Nordrhein-Westfalen","7.72","7.5","258","7.46","7.98"
"1984","(Fach-)Abitur","Rheinland-Pfalz","8.01","7.5","33","7.29","8.73"
"1984","(Fach-)Abitur","Saarland","","","","",""
"1984","(Fach-)Abitur","Sachsen","","","","",""
"1984","(Fach-)Abitur","Sachsen-Anhalt","","","","",""
"1984","(Fach-)Abitur","Schleswig-Holstein","","","","",""
"1984","(Fach-)Abitur","Thüringen","","","","",""
"1984","(noch) kein Abschluss","Baden-Württemberg","7.66","7.5","331","7.41","7.91"
"1984","(noch) kein Abschluss","Bayern","7.21","6.5","128","6.84","7.58"
"1984","(noch) kein Abschluss","Berlin","6.99","6.5","46","6.35","7.63"
"1984","(noch) kein Abschluss","Brandenburg","","","","",""
"1984","(noch) kein Abschluss","Bremen","","","","",""
"1984","(noch) kein Abschluss","Hamburg","","","","",""
"1984","(noch) kein Abschluss","Hessen","6.91","7.5","141","6.49","7.33"
"1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","","",""
"1984","(noch) kein Abschluss","Niedersachsen","6.96","7.5","94","6.52","7.4"
"1984","(noch) kein Abschluss","Nordrhein-Westfalen","7.42","7.5","397","7.19","7.65"
"1984","(noch) kein Abschluss","Rheinland-Pfalz","7.17","7.5","74","6.61","7.73"
"1984","(noch) kein Abschluss","Saarland","","","","",""
"1984","(noch) kein Abschluss","Sachsen","","","","",""
"1984","(noch) kein Abschluss","Sachsen-Anhalt","","","","",""
"1984","(noch) kein Abschluss","Schleswig-Holstein","","","","",""
"1984","(noch) kein Abschluss","Thüringen","","","","",""
"1984","AkademikerInnen","Baden-Württemberg","8.06","7.5","123","7.75","8.37"
"1984","AkademikerInnen","Bayern","8.01","7.5","152","7.73","8.29"
"1984","AkademikerInnen","Berlin","7.36","7.5","37","6.75","7.97"
"1984","AkademikerInnen","Brandenburg","","","","",""
"1984","AkademikerInnen","Bremen","","","","",""
"1984","AkademikerInnen","Hamburg","","","","",""
"1984","AkademikerInnen","Hessen","7.68","7.5","90","7.24","8.12"
"1984","AkademikerInnen","Mecklenburg-Vorpommern","","","","",""
"1984","AkademikerInnen","Niedersachsen","8.03","7.5","77","7.64","8.42"
"1984","AkademikerInnen","Nordrhein-Westfalen","8.01","7.5","222","7.78","8.24"
"1984","AkademikerInnen","Rheinland-Pfalz","8.35","7.5","36","7.94","8.76"
"1984","AkademikerInnen","Saarland","","","","",""
"1984","AkademikerInnen","Sachsen","","","","",""
"1984","AkademikerInnen","Sachsen-Anhalt","","","","",""
"1984","AkademikerInnen","Schleswig-Holstein","","","","",""
"1984","AkademikerInnen","Thüringen","","","","",""
"1984","Hauptschulabschluss","Baden-Württemberg","7.36","7.5","1334","7.25","7.47"
"1984","Hauptschulabschluss","Bayern","7.18","7.5","1262","7.06","7.3"
"1984","Hauptschulabschluss","Berlin","7.33","7.5","201","7","7.66"
"1984","Hauptschulabschluss","Brandenburg","","","","",""
"1984","Hauptschulabschluss","Bremen","6.93","6.5","91","6.34","7.52"
"1984","Hauptschulabschluss","Hamburg","7.27","7.5","159","6.9","7.64"
"1984","Hauptschulabschluss","Hessen","7.42","7.5","695","7.26","7.58"
"1984","Hauptschulabschluss","Mecklenburg-Vorpommern","","","","",""
"1984","Hauptschulabschluss","Niedersachsen","7.15","7.5","739","6.99","7.31"
"1984","Hauptschulabschluss","Nordrhein-Westfalen","7.33","7.5","1858","7.23","7.43"
"1984","Hauptschulabschluss","Rheinland-Pfalz","7.12","7.5","587","6.94","7.3"
"1984","Hauptschulabschluss","Saarland","","","","",""
"1984","Hauptschulabschluss","Sachsen","","","","",""
"1984","Hauptschulabschluss","Sachsen-Anhalt","","","","",""
"1984","Hauptschulabschluss","Schleswig-Holstein","7.67","7.5","221","7.4","7.94"
"1984","Hauptschulabschluss","Thüringen","","","","",""
"1984","Realschulabschluss","Baden-Württemberg","7.86","7.5","277","7.64","8.08"
"1984","Realschulabschluss","Bayern","7.77","7.5","363","7.57","7.97"
"1984","Realschulabschluss","Berlin","7.81","7.5","76","7.36","8.26"
"1984","Realschulabschluss","Brandenburg","","","","",""
"1984","Realschulabschluss","Bremen","","","","",""
"1984","Realschulabschluss","Hamburg","7.85","7.5","55","7.39","8.31"
"1984","Realschulabschluss","Hessen","7.64","7.5","185","7.35","7.93"
"1984","Realschulabschluss","Mecklenburg-Vorpommern","","","","",""
"1984","Realschulabschluss","Niedersachsen","7.68","7.5","225","7.43","7.93"
"1984","Realschulabschluss","Nordrhein-Westfalen","7.87","7.5","451","7.7","8.04"
"1984","Realschulabschluss","Rheinland-Pfalz","8.12","7.5","108","7.85","8.39"
"1984","Realschulabschluss","Saarland","","","","",""
"1984","Realschulabschluss","Sachsen","","","","",""
"1984","Realschulabschluss","Sachsen-Anhalt","","","","",""
"1984","Realschulabschluss","Schleswig-Holstein","8.16","7.5","90","7.83","8.49"
"1984","Realschulabschluss","Thüringen","","","","",""
"1985","(Fach-)Abitur","Baden-Württemberg","7.45","7.5","122","7.12","7.78"
"1985","(Fach-)Abitur","Bayern","7.6","7.5","119","7.3","7.9"
"1985","(Fach-)Abitur","Berlin","7","6.5","33","6.26","7.74"
"1985","(Fach-)Abitur","Brandenburg","","","","",""
"1985","(Fach-)Abitur","Bremen","","","","",""
"1985","(Fach-)Abitur","Hamburg","7.51","7.5","35","6.83","8.19"
"1985","(Fach-)Abitur","Hessen","7.48","7.5","89","7.13","7.83"
"1985","(Fach-)Abitur","Mecklenburg-Vorpommern","","","","",""
"1985","(Fach-)Abitur","Niedersachsen","7.3","7.5","68","6.86","7.74"
"1985","(Fach-)Abitur","Nordrhein-Westfalen","7.67","7.5","253","7.44","7.9"
"1985","(Fach-)Abitur","Rheinland-Pfalz","","","","",""
"1985","(Fach-)Abitur","Saarland","","","","",""
"1985","(Fach-)Abitur","Sachsen","","","","",""
"1985","(Fach-)Abitur","Sachsen-Anhalt","","","","",""
"1985","(Fach-)Abitur","Schleswig-Holstein","","","","",""
"1985","(Fach-)Abitur","Thüringen","","","","",""
"1985","(noch) kein Abschluss","Baden-Württemberg","7.53","7.5","292","7.31","7.75"
"1985","(noch) kein Abschluss","Bayern","7.55","7.5","100","7.17","7.93"
"1985","(noch) kein Abschluss","Berlin","6.71","6.5","38","5.86","7.56"
"1985","(noch) kein Abschluss","Brandenburg","","","","",""
"1985","(noch) kein Abschluss","Bremen","","","","",""
"1985","(noch) kein Abschluss","Hamburg","","","","",""
"1985","(noch) kein Abschluss","Hessen","7.21","7.5","118","6.79","7.63"
"1985","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","","",""
"1985","(noch) kein Abschluss","Niedersachsen","7.04","6.5","75","6.6","7.48"
"1985","(noch) kein Abschluss","Nordrhein-Westfalen","7.33","7.5","332","7.1","7.56"
"1985","(noch) kein Abschluss","Rheinland-Pfalz","7.55","7.5","64","7.08","8.02"
"1985","(noch) kein Abschluss","Saarland","","","","",""
"1985","(noch) kein Abschluss","Sachsen","","","","",""
"1985","(noch) kein Abschluss","Sachsen-Anhalt","","","","",""
"1985","(noch) kein Abschluss","Schleswig-Holstein","","","","",""
"1985","(noch) kein Abschluss","Thüringen","","","","",""
"1985","AkademikerInnen","Baden-Württemberg","7.69","7.5","111","7.34","8.04"
"1985","AkademikerInnen","Bayern","7.74","7.5","145","7.49","7.99"
"1985","AkademikerInnen","Berlin","7.17","6.5","37","6.59","7.75"
"1985","AkademikerInnen","Brandenburg","","","","",""
"1985","AkademikerInnen","Bremen","","","","",""
"1985","AkademikerInnen","Hamburg","","","","",""
"1985","AkademikerInnen","Hessen","7.5","7.5","90","7.11","7.89"
"1985","AkademikerInnen","Mecklenburg-Vorpommern","","","","",""
"1985","AkademikerInnen","Niedersachsen","8","7.5","74","7.7","8.3"
"1985","AkademikerInnen","Nordrhein-Westfalen","7.8","7.5","220","7.58","8.02"
