year,regtyp,sampreg,pli0165,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2013,Urban regions,West,Daily,0.26265,4056,25355,0.26251,0.26280
2013,Urban regions,West,At least once per week,0.11060,1662,25355,0.11049,0.11070
2013,Urban regions,West,At least once per month,0.03142,439,25355,0.03136,0.03148
2013,Urban regions,West,Seldom,0.07071,1098,25355,0.07063,0.07080
2013,Urban regions,West,Never,0.52462,6903,25355,0.52446,0.52478
2013,Urban regions,East,Daily,0.24414,506,25355,0.24372,0.24457
2013,Urban regions,East,At least once per week,0.09779,212,25355,0.09750,0.09808
2013,Urban regions,East,At least once per month,0.01787,39,25355,0.01774,0.01800
2013,Urban regions,East,Seldom,0.06343,126,25355,0.06319,0.06367
2013,Urban regions,East,Never,0.57677,1063,25355,0.57628,0.57726
2013,Rural regions,West,Daily,0.22907,1506,25355,0.22884,0.22930
2013,Rural regions,West,At least once per week,0.10694,653,25355,0.10677,0.10711
2013,Rural regions,West,At least once per month,0.02529,136,25355,0.02520,0.02537
2013,Rural regions,West,Seldom,0.08362,463,25355,0.08347,0.08378
2013,Rural regions,West,Never,0.55508,2769,25355,0.55481,0.55535
2013,Rural regions,East,Daily,0.18917,793,25355,0.18889,0.18944
2013,Rural regions,East,At least once per week,0.09817,391,25355,0.09796,0.09838
2013,Rural regions,East,At least once per month,0.02601,109,25355,0.02590,0.02613
2013,Rural regions,East,Seldom,0.08321,303,25355,0.08301,0.08340
2013,Rural regions,East,Never,0.60344,2128,25355,0.60309,0.60379
2017,Urban regions,West,Daily,0.60213,1529,3902,0.60033,0.60393
2017,Urban regions,West,At least once per week,0.15823,404,3902,0.15689,0.15957
2017,Urban regions,West,At least once per month,0.03279,58,3902,0.03214,0.03345
2017,Urban regions,West,Seldom,0.05823,150,3902,0.05737,0.05909
2017,Urban regions,West,Never,0.14862,348,3902,0.14731,0.14992
2017,Urban regions,East,Daily,0.70117,166,3902,0.69613,0.70622
2017,Urban regions,East,At least once per week,0.15698,45,3902,0.15297,0.16099
2017,Urban regions,East,Never,0.14185,40,3902,0.13800,0.14569
2017,Rural regions,West,Daily,0.65852,534,3902,0.65552,0.66152
2017,Rural regions,West,At least once per week,0.14483,137,3902,0.14260,0.14705
2017,Rural regions,West,Seldom,0.06589,63,3902,0.06432,0.06747
2017,Rural regions,West,Never,0.13076,136,3902,0.12862,0.13289
2017,Rural regions,East,Daily,0.71681,185,3902,0.71238,0.72125
2017,Rural regions,East,At least once per week,0.15453,57,3902,0.15097,0.15809
2017,Rural regions,East,Never,0.12866,50,3902,0.12536,0.13195
2018,Urban regions,West,Daily,0.68148,1389,3087,0.67979,0.68317
2018,Urban regions,West,At least once per week,0.15210,322,3087,0.15080,0.15340
2018,Urban regions,West,At least once per month,0.02709,72,3087,0.02650,0.02767
2018,Urban regions,West,Seldom,0.04674,114,3087,0.04598,0.04751
2018,Urban regions,West,Never,0.09259,192,3087,0.09154,0.09364
2018,Urban regions,East,Daily,0.82325,153,3087,0.81901,0.82748
2018,Urban regions,East,At least once per week,0.17675,40,3087,0.17252,0.18099
2018,Rural regions,West,Daily,0.78744,419,3087,0.78466,0.79021
2018,Rural regions,West,At least once per week,0.13511,109,3087,0.13279,0.13743
2018,Rural regions,West,Never,0.07745,58,3087,0.07564,0.07926
2018,Rural regions,East,Daily,0.63477,130,3087,0.62964,0.63990
2018,Rural regions,East,At least once per week,0.17941,41,3087,0.17532,0.18349
2018,Rural regions,East,Never,0.18582,48,3087,0.18168,0.18996
2019,Urban regions,West,Daily,0.70381,1424,2975,0.70227,0.70535
2019,Urban regions,West,At least once per week,0.15661,306,2975,0.15538,0.15784
2019,Urban regions,West,At least once per month,0.01361,37,2975,0.01321,0.01400
2019,Urban regions,West,Seldom,0.04651,112,2975,0.04579,0.04722
2019,Urban regions,West,Never,0.07947,167,2975,0.07855,0.08038
2019,Urban regions,East,Daily,0.87252,150,2975,0.86902,0.87601
2019,Urban regions,East,At least once per week,0.12748,34,2975,0.12399,0.13098
2019,Rural regions,West,Daily,0.76519,449,2975,0.76255,0.76782
2019,Rural regions,West,At least once per week,0.18021,102,2975,0.17782,0.18261
2019,Rural regions,West,Never,0.05460,34,2975,0.05319,0.05602
2019,Rural regions,East,Daily,0.82760,128,2975,0.82312,0.83209
2019,Rural regions,East,At least once per week,0.17240,32,2975,0.16791,0.17688
