year,quintil_oecd,pli0165,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2013,1st Quintile,Daily,0.27602,1753,25350,0.27575,0.27629
2013,1st Quintile,At least once per week,0.08980,575,25350,0.08963,0.08998
2013,1st Quintile,At least once per month,0.01966,116,25350,0.01958,0.01975
2013,1st Quintile,Seldom,0.05723,340,25350,0.05709,0.05737
2013,1st Quintile,Never,0.55728,2327,25350,0.55698,0.55758
2013,2nd Quintile,Daily,0.23108,1419,25350,0.23083,0.23132
2013,2nd Quintile,At least once per week,0.08881,556,25350,0.08864,0.08897
2013,2nd Quintile,At least once per month,0.02130,137,25350,0.02122,0.02139
2013,2nd Quintile,Seldom,0.06251,350,25350,0.06237,0.06265
2013,2nd Quintile,Never,0.59630,2657,25350,0.59601,0.59658
2013,3rd Quintile,Daily,0.24766,1269,25350,0.24742,0.24790
2013,3rd Quintile,At least once per week,0.12504,575,25350,0.12485,0.12522
2013,3rd Quintile,At least once per month,0.02598,131,25350,0.02589,0.02607
2013,3rd Quintile,Seldom,0.07141,379,25350,0.07126,0.07155
2013,3rd Quintile,Never,0.52991,2513,25350,0.52963,0.53019
2013,4th Quintile,Daily,0.24741,1220,25350,0.24717,0.24764
2013,4th Quintile,At least once per week,0.11133,570,25350,0.11116,0.11150
2013,4th Quintile,At least once per month,0.03510,147,25350,0.03500,0.03520
2013,4th Quintile,Seldom,0.07887,397,25350,0.07873,0.07902
2013,4th Quintile,Never,0.52729,2499,25350,0.52702,0.52757
2013,5th Quintile,Daily,0.22776,1198,25350,0.22754,0.22798
2013,5th Quintile,At least once per week,0.11753,642,25350,0.11736,0.11770
2013,5th Quintile,At least once per month,0.03761,192,25350,0.03751,0.03771
2013,5th Quintile,Seldom,0.09697,524,25350,0.09681,0.09713
2013,5th Quintile,Never,0.52013,2864,25350,0.51986,0.52040
2017,1st Quintile,Daily,0.65237,953,1582,0.65034,0.65441
2017,1st Quintile,At least once per week,0.14983,242,1582,0.14830,0.15136
2017,1st Quintile,At least once per month,0.03164,36,1582,0.03089,0.03239
2017,1st Quintile,Seldom,0.05331,86,1582,0.05235,0.05428
2017,1st Quintile,Never,0.11285,198,1582,0.11149,0.11420
2017,2nd Quintile,Daily,1.00000,67,1582,1.00000,1.00000
2018,1st Quintile,Daily,0.68196,1572,2634,0.68041,0.68351
2018,1st Quintile,At least once per week,0.14358,386,2634,0.14242,0.14475
2018,1st Quintile,At least once per month,0.02973,78,2634,0.02916,0.03030
2018,1st Quintile,Seldom,0.04588,125,2634,0.04519,0.04658
2018,1st Quintile,Never,0.09885,251,2634,0.09785,0.09984
2018,2nd Quintile,Daily,0.79759,132,2634,0.79268,0.80251
2018,2nd Quintile,At least once per week,0.20241,38,2634,0.19749,0.20732
2018,3rd Quintile,Daily,1.00000,52,2634,1.00000,1.00000
2019,1st Quintile,Daily,0.70515,1844,2779,0.70381,0.70650
2019,1st Quintile,At least once per week,0.14936,399,2779,0.14831,0.15041
2019,1st Quintile,At least once per month,0.01522,49,2779,0.01486,0.01558
2019,1st Quintile,Seldom,0.04741,133,2779,0.04678,0.04803
2019,1st Quintile,Never,0.08287,218,2779,0.08206,0.08368
2019,2nd Quintile,Daily,0.78014,105,2779,0.77513,0.78515
2019,2nd Quintile,At least once per week,0.21986,31,2779,0.21485,0.22487
