"pli0165","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","2013","17-29","(noch) kein Abschluss","399","0.819950914674709","0.786170942794812","0.853730886554605"
"Täglich","2013","17-29","Hauptschule","356","0.600568519884445","0.56053566194076","0.640601377828129"
"Täglich","2013","17-29","Realschule","587","0.661008139678943","0.629426059480927","0.692590219876958"
"Täglich","2013","17-29","(Fach-)Abitur","613","0.74723514895806","0.717668913454464","0.776801384461655"
"Täglich","2013","17-29","AkademikerIn","184","0.646889101489834","0.593941486718591","0.699836716261077"
"Täglich","2013","30-45","(noch) kein Abschluss","53","0.321520720791388","0.2452356378457","0.397805803737076"
"Täglich","2013","30-45","Hauptschule","608","0.317887210015636","0.296001384937826","0.339773035093446"
"Täglich","2013","30-45","Realschule","942","0.339394821256622","0.321619856108194","0.35716978640505"
"Täglich","2013","30-45","(Fach-)Abitur","444","0.384434544477059","0.357574227019244","0.411294861934873"
"Täglich","2013","30-45","AkademikerIn","532","0.287878265412714","0.268143177084109","0.307613353741319"
"Täglich","2013","46-65","(noch) kein Abschluss","12","","",""
"Täglich","2013","46-65","Hauptschule","442","0.160202470973724","0.146445933283856","0.173959008663592"
"Täglich","2013","46-65","Realschule","490","0.173592356744893","0.159548145527459","0.187636567962326"
"Täglich","2013","46-65","(Fach-)Abitur","165","0.156462602252639","0.133176342859852","0.179748861645425"
"Täglich","2013","46-65","AkademikerIn","354","0.138883453204694","0.124832489246911","0.152934417162478"
"Täglich","2013","66","(noch) kein Abschluss","","","",""
"Täglich","2013","66","Hauptschule","","","",""
"Täglich","2013","66","Realschule","","","",""
"Täglich","2013","66","(Fach-)Abitur","","","",""
"Täglich","2013","66","AkademikerIn","","","",""
"Min 1x pro Woche","2013","17-29","(noch) kein Abschluss","53","0.101140576332422","0.0746324826569161","0.127648670007928"
"Min 1x pro Woche","2013","17-29","Hauptschule","92","0.159735581433312","0.129790673036803","0.18968048982982"
"Min 1x pro Woche","2013","17-29","Realschule","108","0.146958358759291","0.123335907824987","0.170580809693595"
"Min 1x pro Woche","2013","17-29","(Fach-)Abitur","85","0.0991597677288504","0.0788268041755292","0.119492731282172"
"Min 1x pro Woche","2013","17-29","AkademikerIn","47","0.141449380524239","0.10284297216532","0.180055788883159"
"Min 1x pro Woche","2013","30-45","(noch) kein Abschluss","21","","",""
"Min 1x pro Woche","2013","30-45","Hauptschule","257","0.135102797164024","0.119036613896616","0.151168980431432"
"Min 1x pro Woche","2013","30-45","Realschule","401","0.146145687617542","0.132884877517435","0.159406497717648"
"Min 1x pro Woche","2013","30-45","(Fach-)Abitur","203","0.169565261447997","0.148845535136537","0.190284987759458"
"Min 1x pro Woche","2013","30-45","AkademikerIn","336","0.162884783758847","0.146789805614304","0.178979761903391"
"Min 1x pro Woche","2013","46-65","(noch) kein Abschluss","9","","",""
"Min 1x pro Woche","2013","46-65","Hauptschule","299","0.109815421225341","0.0980891768661059","0.121541665584576"
"Min 1x pro Woche","2013","46-65","Realschule","354","0.14160505946283","0.128677461124175","0.154532657801485"
"Min 1x pro Woche","2013","46-65","(Fach-)Abitur","106","0.116302410848367","0.0957535155479422","0.136851306148792"
"Min 1x pro Woche","2013","46-65","AkademikerIn","261","0.106516432087696","0.0939820915489861","0.119050772626406"
"Min 1x pro Woche","2013","66","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","2013","66","Hauptschule","","","",""
"Min 1x pro Woche","2013","66","Realschule","","","",""
"Min 1x pro Woche","2013","66","(Fach-)Abitur","","","",""
"Min 1x pro Woche","2013","66","AkademikerIn","","","",""
"Min 1x pro Monat","2013","17-29","(noch) kein Abschluss","6","","",""
"Min 1x pro Monat","2013","17-29","Hauptschule","15","","",""
"Min 1x pro Monat","2013","17-29","Realschule","15","","",""
"Min 1x pro Monat","2013","17-29","(Fach-)Abitur","16","","",""
"Min 1x pro Monat","2013","17-29","AkademikerIn","9","","",""
"Min 1x pro Monat","2013","30-45","(noch) kein Abschluss","4","","",""
"Min 1x pro Monat","2013","30-45","Hauptschule","67","0.0522654875190122","0.0418050668316906","0.0627259082063338"
"Min 1x pro Monat","2013","30-45","Realschule","104","0.0452154433690393","0.0374156830911422","0.0530152036469364"
"Min 1x pro Monat","2013","30-45","(Fach-)Abitur","33","0.0317716155000113","0.0220872455240654","0.0414559854759573"
"Min 1x pro Monat","2013","30-45","AkademikerIn","98","0.0566986871520313","0.0466184851245948","0.0667788891794678"
"Min 1x pro Monat","2013","46-65","(noch) kein Abschluss","5","","",""
"Min 1x pro Monat","2013","46-65","Hauptschule","77","0.0314452905033306","0.0249000271532805","0.0379905538533807"
"Min 1x pro Monat","2013","46-65","Realschule","89","0.0270873042712418","0.0210678832785331","0.0331067252639506"
"Min 1x pro Monat","2013","46-65","(Fach-)Abitur","34","0.0373705212235841","0.025213240595403","0.0495278018517652"
"Min 1x pro Monat","2013","46-65","AkademikerIn","80","0.0410159623030075","0.0329578736474137","0.0490740509586013"
"Min 1x pro Monat","2013","66","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","2013","66","Hauptschule","","","",""
"Min 1x pro Monat","2013","66","Realschule","","","",""
"Min 1x pro Monat","2013","66","(Fach-)Abitur","","","",""
"Min 1x pro Monat","2013","66","AkademikerIn","","","",""
"Seltener","2013","17-29","(noch) kein Abschluss","10","","",""
"Seltener","2013","17-29","Hauptschule","23","","",""
"Seltener","2013","17-29","Realschule","45","0.0444638770352747","0.0307117488371134","0.0582160052334361"
"Seltener","2013","17-29","(Fach-)Abitur","35","0.0482191442199091","0.0336448585932244","0.0627934298465938"
"Seltener","2013","17-29","AkademikerIn","18","","",""
"Seltener","2013","30-45","(noch) kein Abschluss","9","","",""
"Seltener","2013","30-45","Hauptschule","165","0.101182023814321","0.0870082383245138","0.115355809304127"
"Seltener","2013","30-45","Realschule","228","0.091114935452956","0.0803121827425861","0.101917688163326"
"Seltener","2013","30-45","(Fach-)Abitur","105","0.0945894385531292","0.0784307198606039","0.110748157245655"
"Seltener","2013","30-45","AkademikerIn","215","0.0920375531580335","0.0794374531886762","0.104637653127391"
"Seltener","2013","46-65","(noch) kein Abschluss","5","","",""
"Seltener","2013","46-65","Hauptschule","242","0.0877766874180005","0.0771639500267478","0.0983894248092532"
"Seltener","2013","46-65","Realschule","258","0.0948009106460503","0.0839388255986255","0.105662995693475"
"Seltener","2013","46-65","(Fach-)Abitur","93","0.11594796717356","0.0954262939150287","0.136469640432092"
"Seltener","2013","46-65","AkademikerIn","245","0.0987412603540196","0.0866206643140315","0.110861856394008"
"Seltener","2013","66","(noch) kein Abschluss","","","",""
"Seltener","2013","66","Hauptschule","","","",""
"Seltener","2013","66","Realschule","","","",""
"Seltener","2013","66","(Fach-)Abitur","","","",""
"Seltener","2013","66","AkademikerIn","","","",""
"Nie","2013","17-29","(noch) kein Abschluss","29","","",""
