"pli0165","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Taeglich","2013","Schleswig-Holstein","289","0.268075324342296","0.239168097081362","0.296982551603231"
"Taeglich","2013","Hamburg","119","0.283434995307985","0.239325667714803","0.327544322901166"
"Taeglich","2013","Niedersachsen","733","0.262637556837216","0.24515492847293","0.280120185201503"
"Taeglich","2013","Bremen","68","0.366148301405551","0.295965428047092","0.436331174764009"
"Taeglich","2013","Nordrhein-Westfalen","1489","0.268424740258598","0.25624245367142","0.280607026845777"
"Taeglich","2013","Hessen","515","0.249256293573279","0.228994684378146","0.269517902768412"
"Taeglich","2013","Rheinland-Pfalz,Saarland","387","0.261144147416558","0.238175790070549","0.284112504762566"
"Taeglich","2013","Baden-Wuerttemberg","760","0.228300606809248","0.213268242583081","0.243332971035415"
"Taeglich","2013","Bayern","1028","0.227861932581756","0.21485179748467","0.240872067678841"
"Taeglich","2013","Berlin","288","0.272735225243517","0.244879835450109","0.300590615036925"
"Taeglich","2013","Brandenburg","211","0.185844555080742","0.161819635513668","0.209869474647817"
"Taeglich","2013","Mecklenburg-Vorpommern","141","0.178479098389345","0.147396536713474","0.209561660065216"
"Taeglich","2013","Sachsen","370","0.222295617918147","0.202507345027321","0.242083890808973"
"Taeglich","2013","Sachsen-Anhalt","245","0.232691222522459","0.20592006152033","0.259462383524589"
"Taeglich","2013","Thueringen","218","0.18606678341371","0.161763844967236","0.210369721860185"
"Min 1x pro Woche","2013","Schleswig-Holstein","96","0.075580601683483","0.0583307835805204","0.0928304197864455"
"Min 1x pro Woche","2013","Hamburg","42","0.0760896405238994","0.0501386709054143","0.102040610142384"
"Min 1x pro Woche","2013","Niedersachsen","292","0.114825513470187","0.102160039520029","0.127490987420346"
"Min 1x pro Woche","2013","Bremen","","","",""
"Min 1x pro Woche","2013","Nordrhein-Westfalen","572","0.108435541662222","0.0998878226661584","0.116983260658285"
"Min 1x pro Woche","2013","Hessen","230","0.118937683633629","0.103775279453006","0.134100087814253"
"Min 1x pro Woche","2013","Rheinland-Pfalz,Saarland","189","0.144024011429892","0.125664624641319","0.162383398218466"
"Min 1x pro Woche","2013","Baden-Wuerttemberg","338","0.101007698779892","0.0902156250836791","0.111799772476105"
"Min 1x pro Woche","2013","Bayern","470","0.108038977345574","0.0984104114567939","0.117667543234354"
"Min 1x pro Woche","2013","Berlin","106","0.113909920751221","0.0940392714246619","0.13378057007778"
"Min 1x pro Woche","2013","Brandenburg","103","0.0979894979508008","0.0796271201327707","0.116351875768831"
"Min 1x pro Woche","2013","Mecklenburg-Vorpommern","82","0.127168930676228","0.100125024418184","0.154212836934272"
"Min 1x pro Woche","2013","Sachsen","200","0.116307885219244","0.101050144287034","0.131565626151454"
"Min 1x pro Woche","2013","Sachsen-Anhalt","86","0.0710059552802284","0.0547337664857275","0.0872781440747293"
"Min 1x pro Woche","2013","Thueringen","85","0.0670408087381685","0.0514226108235549","0.0826590066527821"
"Min 1x pro Monat","2013","Schleswig-Holstein","","","",""
"Min 1x pro Monat","2013","Hamburg","","","",""
"Min 1x pro Monat","2013","Niedersachsen","64","0.0245374004510471","0.0183911905097878","0.0306836103923064"
"Min 1x pro Monat","2013","Bremen","","","",""
"Min 1x pro Monat","2013","Nordrhein-Westfalen","144","0.0303798001194958","0.0256615460899488","0.0350980541490429"
"Min 1x pro Monat","2013","Hessen","59","0.0343436684524268","0.0258138525960616","0.0428734843087919"
"Min 1x pro Monat","2013","Rheinland-Pfalz,Saarland","44","0.0278734859848236","0.0192661854623974","0.0364807865072498"
"Min 1x pro Monat","2013","Baden-Wuerttemberg","92","0.0295511780676521","0.0234862815422627","0.0356160745930415"
"Min 1x pro Monat","2013","Bayern","123","0.034430379634982","0.0287750081446543","0.0400857511253097"
"Min 1x pro Monat","2013","Berlin","","","",""
"Min 1x pro Monat","2013","Brandenburg","30","0.022766091533042","0.0135536051591214","0.0319785779069626"
"Min 1x pro Monat","2013","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Monat","2013","Sachsen","49","0.0279407293695274","0.0200974007808655","0.0357840579581894"
"Min 1x pro Monat","2013","Sachsen-Anhalt","","","",""
"Min 1x pro Monat","2013","Thueringen","","","",""
"Seltener","2013","Schleswig-Holstein","76","0.0810641650663652","0.063252608557587","0.0988757215751433"
"Seltener","2013","Hamburg","","","",""
"Seltener","2013","Niedersachsen","180","0.0733386562695933","0.062982113535105","0.0836951990040817"
"Seltener","2013","Bremen","","","",""
"Seltener","2013","Nordrhein-Westfalen","400","0.0704062981290975","0.0633733020120804","0.0774392942461145"
"Seltener","2013","Hessen","143","0.0795093960663092","0.0668380157722066","0.0921807763604119"
"Seltener","2013","Rheinland-Pfalz,Saarland","130","0.0806006515427043","0.0663665093158425","0.0948347937695661"
"Seltener","2013","Baden-Wuerttemberg","214","0.0721719082000552","0.0629043028750225","0.0814395135250879"
"Seltener","2013","Bayern","322","0.0807072966001997","0.072258755083166","0.0891558381172334"
"Seltener","2013","Berlin","73","0.0582913186320603","0.043637440546427","0.0729451967176936"
"Seltener","2013","Brandenburg","74","0.0729427524642008","0.0568815629687205","0.0890039419596811"
"Seltener","2013","Mecklenburg-Vorpommern","50","0.121488053129337","0.0949692184563269","0.148006887802347"
"Seltener","2013","Sachsen","132","0.0738940398363251","0.0614440151704393","0.0863440645022109"
"Seltener","2013","Sachsen-Anhalt","76","0.0754854162842029","0.0587483038917827","0.092222528676623"
"Seltener","2013","Thueringen","74","0.0741991433702934","0.0578314224815818","0.090566864259005"
"Nie","2013","Schleswig-Holstein","424","0.556135051238015","0.523711514795161","0.58855858768087"
"Nie","2013","Hamburg","196","0.546158363353291","0.497429378136347","0.594887348570236"
"Nie","2013","Niedersachsen","1165","0.524660872971956","0.504821455099019","0.544500290844892"
"Nie","2013","Bremen","63","0.398435968566015","0.327113067021253","0.469758870110776"
"Nie","2013","Nordrhein-Westfalen","2478","0.522353619830586","0.508621942621721","0.536085297039452"
"Nie","2013","Hessen","804","0.517952958274355","0.494548699684904","0.541357216863806"
"Nie","2013","Rheinland-Pfalz,Saarland","655","0.486357703626022","0.460222961574802","0.512492445677242"
"Nie","2013","Baden-Wuerttemberg","1591","0.568968608143152","0.551232910315303","0.586704305971002"
"Nie","2013","Bayern","2050","0.548961413837489","0.533527495638409","0.564395332036568"
"Nie","2013","Berlin","493","0.539985766638813","0.508813445758993","0.571158087518633"
"Nie","2013","Brandenburg","589","0.620457102971214","0.590484830624858","0.65042937531757"
"Nie","2013","Mecklenburg-Vorpommern","296","0.556569876697161","0.516243773376134","0.596895980018188"
"Nie","2013","Sachsen","945","0.559561727656757","0.535935102373732","0.583188352939781"
"Nie","2013","Sachsen-Anhalt","531","0.604389779437957","0.57340956429268","0.635369994583235"
"Nie","2013","Thueringen","583","0.641726288575619","0.611782112869301","0.671670464281937"
"Taeglich","2014","Schleswig-Holstein","","","",""
"Taeglich","2014","Hamburg","","","",""
"Taeglich","2014","Niedersachsen","","","",""
"Taeglich","2014","Bremen","","","",""
"Taeglich","2014","Nordrhein-Westfalen","","","",""
"Taeglich","2014","Hessen","","","",""
"Taeglich","2014","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","2014","Baden-Wuerttemberg","","","",""
"Taeglich","2014","Bayern","","","",""
"Taeglich","2014","Berlin","","","",""
"Taeglich","2014","Brandenburg","","","",""
"Taeglich","2014","Mecklenburg-Vorpommern","","","",""
"Taeglich","2014","Sachsen","","","",""
"Taeglich","2014","Sachsen-Anhalt","","","",""
"Taeglich","2014","Thueringen","","","",""
"Min 1x pro Woche","2014","Schleswig-Holstein","","","",""
"Min 1x pro Woche","2014","Hamburg","","","",""
"Min 1x pro Woche","2014","Niedersachsen","","","",""
"Min 1x pro Woche","2014","Bremen","","","",""
"Min 1x pro Woche","2014","Nordrhein-Westfalen","","","",""
"Min 1x pro Woche","2014","Hessen","","","",""
"Min 1x pro Woche","2014","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Woche","2014","Baden-Wuerttemberg","","","",""
"Min 1x pro Woche","2014","Bayern","","","",""
"Min 1x pro Woche","2014","Berlin","","","",""
"Min 1x pro Woche","2014","Brandenburg","","","",""
"Min 1x pro Woche","2014","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Woche","2014","Sachsen","","","",""
"Min 1x pro Woche","2014","Sachsen-Anhalt","","","",""
"Min 1x pro Woche","2014","Thueringen","","","",""
"Min 1x pro Monat","2014","Schleswig-Holstein","","","",""
