year,sampreg,pli0165,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2013,West,Never,0.49133858267716535,44486,0.4866929033862455,0.4959842619680852
2013,West,Daily,0.2825501651003302,44486,0.27836620104049004,0.2867341291601704
2013,West,At least once per week,0.11760223520447041,44486,0.11460869992770797,0.12059577048123285
2013,West,Seldom,0.07929895859791719,44486,0.0767880121422476,0.08180990505358678
2013,West,At least once per month,0.02921005842011684,44486,0.02764520652797332,0.030774910312260362
2013,East,Never,0.5627865961199294,44486,0.5581769986858417,0.5673961935540172
2013,East,Daily,0.2291005291005291,44486,0.22519521191565517,0.23300584628540305
2013,East,At least once per week,0.10634920634920635,44486,0.10348439886936023,0.10921401382905246
2013,East,Seldom,0.07566137566137567,44486,0.07320385566861806,0.07811889565413327
2013,East,At least once per month,0.026102292768959437,44486,0.02462066062120463,0.027583924916714245
2017,West,Daily,0.609453471196455,45410,0.6049661517350037,0.6139407906579063
2017,West,At least once per week,0.15982274741506647,45410,0.15645231924502986,0.16319317558510307
2017,West,Never,0.1429837518463811,45410,0.13976403119922515,0.14620347249353705
2017,West,Seldom,0.06292466765140325,45410,0.06069120837386968,0.06515812692893683
2017,West,At least once per month,0.024815361890694238,45410,0.023384545018919206,0.02624617876246927
2017,East,Daily,0.6051724137931035,45410,0.600676441499363,0.609668386086844
2017,East,At least once per week,0.17586206896551723,45410,0.1723604703569428,0.17936366757409167
2017,East,Never,0.15517241379310345,45410,0.15184220378548213,0.15850262380072477
2017,East,Seldom,0.034482758620689655,45410,0.032804490526635456,0.03616102671474385
2017,East,At least once per month,0.029310344827586206,45410,0.027758919114994805,0.030861770540177608
2018,West,Daily,0.6676514032496307,43121,0.6632052598345438,0.6720975466647175
2018,West,At least once per week,0.15915805022156573,43121,0.15570515698783535,0.16261094345529611
2018,West,Never,0.09231905465288036,43121,0.08958678258056212,0.0950513267251986
2018,West,Seldom,0.04911373707533235,43121,0.04707398475140076,0.05115348939926394
2018,West,At least once per month,0.03175775480059084,43121,0.030102638298644655,0.033412871302537034
2018,East,Daily,0.5970464135021097,43121,0.5924168161692557,0.6016760108349638
2018,East,At least once per week,0.17088607594936708,43121,0.16733326496906542,0.17443888692966875
2018,East,Never,0.16244725738396623,43121,0.15896569698570087,0.1659288177822316
2018,East,Seldom,0.04008438818565401,43121,0.03823292186410983,0.041935854507198195
2018,East,At least once per month,0.029535864978902954,43121,0.02793786690524236,0.03113386305256355
2019,West,Daily,0.7017609591607343,42417,0.6974072145936179,0.7061147037278508
2019,West,At least once per week,0.15286624203821655,42417,0.14944157869123464,0.15629090538519846
2019,West,Never,0.07530910453353316,42417,0.0727977494101939,0.07782045965687243
2019,West,Seldom,0.0502060696890221,42417,0.04812791005924078,0.05228422931880342
2019,West,At least once per month,0.01985762457849382,42417,0.018529941782938087,0.021185307374049552
2019,East,Daily,0.6465116279069767,42417,0.6419621471428552,0.6510611086710982
2019,East,At least once per week,0.15348837209302327,42417,0.15005800734437258,0.15691873684167396
2019,East,Never,0.12093023255813953,42417,0.11782735089486604,0.12403311422141303
2019,East,Seldom,0.06511627906976744,42417,0.06276821640353901,0.06746434173599587
2019,East,At least once per month,0.013953488372093023,42417,0.012837200530098378,0.015069776214087668
