"ple0024","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","Westdeutschland","6682","0.488546228885532","0.480035886805388","0.497056570965677"
"Ja","2009","Ostdeutschland","2092","","",""
"Nein","2009","Westdeutschland","6571","0.511453771114468","0.502943429034323","0.519964113194612"
"Nein","2009","Ostdeutschland","2372","","",""
"Ja","2010","Westdeutschland","","","",""
"Ja","2010","Ostdeutschland","","","",""
"Nein","2010","Westdeutschland","","","",""
"Nein","2010","Ostdeutschland","","","",""
"Ja","2011","Westdeutschland","6273","0.385796833272907","0.378169097120188","0.393424569425627"
"Ja","2011","Ostdeutschland","1789","","",""
"Nein","2011","Westdeutschland","9372","0.614203166727093","0.606575430574373","0.621830902879812"
"Nein","2011","Ostdeutschland","3064","0.647712680569144","0.634273194834488","0.6611521663038"
"Ja","2012","Westdeutschland","","","",""
"Ja","2012","Ostdeutschland","","","",""
"Nein","2012","Westdeutschland","","","",""
"Nein","2012","Ostdeutschland","","","",""
"Ja","2013","Westdeutschland","5189","0.343180806729264","0.335393020457949","0.35096859300058"
"Ja","2013","Ostdeutschland","1492","","",""
"Nein","2013","Westdeutschland","9088","0.656819193270736","0.649031406999421","0.664606979542052"
"Nein","2013","Ostdeutschland","2932","","",""
"Ja","2014","Westdeutschland","","","",""
"Ja","2014","Ostdeutschland","","","",""
"Nein","2014","Westdeutschland","","","",""
"Nein","2014","Ostdeutschland","","","",""
"Ja","2015","Westdeutschland","8327","0.380537265399825","0.37374203149852","0.387332499301129"
"Ja","2015","Ostdeutschland","1857","","",""
"Nein","2015","Westdeutschland","11284","","",""
"Nein","2015","Ostdeutschland","3338","0.662389535271265","0.649530156272545","0.675248914269985"
"Ja","2016","Westdeutschland","","","",""
"Ja","2016","Ostdeutschland","","","",""
"Nein","2016","Westdeutschland","","","",""
"Nein","2016","Ostdeutschland","","","",""
"Ja","2017","Westdeutschland","8554","0.371735065096226","0.365169390455054","0.378300739737398"
"Ja","2017","Ostdeutschland","1979","","",""
"Nein","2017","Westdeutschland","12258","","",""
"Nein","2017","Ostdeutschland","3582","0.65853818314543","0.646074878882439","0.671001487408422"
"Ja","2018","Westdeutschland","","","",""
"Ja","2018","Ostdeutschland","","","",""
"Nein","2018","Westdeutschland","","","",""
"Nein","2018","Ostdeutschland","","","",""
"Ja","2019","Westdeutschland","7196","0.331201774793622","0.324681362959838","0.337722186627405"
"Ja","2019","Ostdeutschland","1691","","",""
"Nein","2019","Westdeutschland","12818","","",""
"Nein","2019","Ostdeutschland","3833","0.710082395468428","0.698117389414191","0.722047401522665"
