"ple0024","year","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Ja","2009","maennlich","4338","0.515925266840997","0.505267354140988","0.526583179541005"
"Ja","2009","weiblich","4436","0.450412362620635","0.440284718569969","0.460540006671301"
"Nein","2009","maennlich","4108","0.484074733159003","0.473416820458994","0.494732645859012"
"Nein","2009","weiblich","4835","0.549587637379365","0.539459993328699","0.559715281430031"
"Ja","2010","maennlich","","","",""
"Ja","2010","weiblich","","","",""
"Nein","2010","maennlich","","","",""
"Nein","2010","weiblich","","","",""
"Ja","2011","maennlich","4018","0.420759298703554","0.410912991718462","0.430605605688646"
"Ja","2011","weiblich","4044","0.340392098733312","0.331472484358695","0.349311713107929"
"Nein","2011","maennlich","5639","0.579240701296446","0.569394394311354","0.589087008281538"
"Nein","2011","weiblich","6797","0.659607901266688","0.650688286892071","0.668527515641305"
"Ja","2012","maennlich","","","",""
"Ja","2012","weiblich","","","",""
"Nein","2012","maennlich","","","",""
"Nein","2012","weiblich","","","",""
"Ja","2013","maennlich","3314","0.378725228358215","0.368565680197144","0.388884776519285"
"Ja","2013","weiblich","3367","0.308511345685065","0.299433231675375","0.317589459694756"
"Nein","2013","maennlich","5443","0.621274771641785","0.611115223480715","0.631434319802856"
"Nein","2013","weiblich","6577","0.691488654314935","0.682410540305244","0.700566768324625"
"Ja","2014","maennlich","","","",""
"Ja","2014","weiblich","","","",""
"Nein","2014","maennlich","","","",""
"Nein","2014","weiblich","","","",""
"Ja","2015","maennlich","5001","0.415408355426262","0.40634119125318","0.424475519599344"
"Ja","2015","weiblich","5183","0.33248563245958","0.324526633554902","0.340444631364259"
"Nein","2015","maennlich","6346","0.584591644573738","0.575524480400656","0.59365880874682"
"Nein","2015","weiblich","8276","0.66751436754042","0.659555368635741","0.675473366445098"
"Ja","2016","maennlich","","","",""
"Ja","2016","weiblich","","","",""
"Nein","2016","maennlich","","","",""
"Nein","2016","weiblich","","","",""
"Ja","2017","maennlich","5124","0.395877039340311","0.387192446798907","0.404561631881715"
"Ja","2017","weiblich","5409","0.338273047909136","0.33048910933809","0.346056986480181"
"Nein","2017","maennlich","7057","0.604122960659689","0.595438368118285","0.612807553201093"
"Nein","2017","weiblich","8783","0.661726952090864","0.653943013519819","0.66951089066191"
"Ja","2018","maennlich","","","",""
"Ja","2018","weiblich","","","",""
"Nein","2018","maennlich","","","",""
"Nein","2018","weiblich","","","",""
"Ja","2019","maennlich","4592","0.360648873800925","0.352133310869549","0.369164436732302"
"Ja","2019","weiblich","4311","0.289110496975811","0.281432602525629","0.296788391425992"
"Nein","2019","maennlich","7623","0.639351126199074","0.630835563267698","0.64786668913045"
"Nein","2019","weiblich","9082","0.710889503024189","0.703211608574008","0.718567397474371"
