year,bula_h,regtyp,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Urban regions,Seldom,0.39719,70,128,0.31209,0.48229
1985,Schleswig-Holstein,Urban regions,Never,0.35945,58,128,0.27599,0.44290
1985,Schleswig-Holstein,Rural regions,Seldom,0.33269,66,137,0.25350,0.41188
1985,Schleswig-Holstein,Rural regions,Never,0.43427,71,137,0.35096,0.51757
1985,Hamburg,Urban regions,At least once per month,0.16084,48,248,0.11502,0.20666
1985,Hamburg,Urban regions,Seldom,0.27793,75,248,0.22206,0.33379
1985,Hamburg,Urban regions,Never,0.48457,125,248,0.42224,0.54689
1985,Lower Saxony,Urban regions,At least once per week,0.09885,49,502,0.07271,0.12499
1985,Lower Saxony,Urban regions,At least once per month,0.14689,75,502,0.11589,0.17789
1985,Lower Saxony,Urban regions,Seldom,0.40085,207,502,0.35794,0.44377
1985,Lower Saxony,Urban regions,Never,0.35341,171,502,0.31155,0.39527
1985,Lower Saxony,Rural regions,At least once per week,0.10179,64,589,0.07735,0.12623
1985,Lower Saxony,Rural regions,At least once per month,0.10380,67,589,0.07915,0.12845
1985,Lower Saxony,Rural regions,Seldom,0.33053,208,589,0.29251,0.36855
1985,Lower Saxony,Rural regions,Never,0.46389,250,589,0.42358,0.50420
1985,Bremen,Urban regions,Seldom,0.31820,41,98,0.22550,0.41089
1985,Bremen,Urban regions,Never,0.57197,57,98,0.47350,0.67044
1985,North Rhine-Westphalia,Urban regions,At least once per week,0.07999,237,2858,0.07005,0.08994
1985,North Rhine-Westphalia,Urban regions,At least once per month,0.13075,374,2858,0.11839,0.14311
1985,North Rhine-Westphalia,Urban regions,Seldom,0.31167,900,2858,0.29469,0.32866
1985,North Rhine-Westphalia,Urban regions,Never,0.47758,1347,2858,0.45927,0.49590
1985,North Rhine-Westphalia,Rural regions,Never,0.58216,39,39,0.42535,0.73898
1985,Hesse,Urban regions,At least once per week,0.11711,108,960,0.09676,0.13746
1985,Hesse,Urban regions,At least once per month,0.13677,133,960,0.11503,0.15852
1985,Hesse,Urban regions,Seldom,0.33609,308,960,0.30619,0.36599
1985,Hesse,Urban regions,Never,0.41002,411,960,0.37889,0.44115
1985,Hesse,Rural regions,Seldom,0.29614,49,120,0.21411,0.37817
1985,Hesse,Rural regions,Never,0.48889,71,120,0.39908,0.57871
1985,"Rhineland-Palatinate, Saarland",Urban regions,At least once per week,0.07077,47,619,0.05055,0.09099
1985,"Rhineland-Palatinate, Saarland",Urban regions,At least once per month,0.12950,84,619,0.10303,0.15597
1985,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.29348,192,619,0.25757,0.32938
1985,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.50626,296,619,0.46684,0.54568
1985,"Rhineland-Palatinate, Saarland",Rural regions,Seldom,0.22536,35,105,0.14506,0.30566
1985,"Rhineland-Palatinate, Saarland",Rural regions,Never,0.55189,70,105,0.45631,0.64747
1985,Baden-Wuerttemberg,Urban regions,At least once per week,0.08177,172,1734,0.06887,0.09468
1985,Baden-Wuerttemberg,Urban regions,At least once per month,0.14043,228,1734,0.12407,0.15679
1985,Baden-Wuerttemberg,Urban regions,Seldom,0.28031,470,1734,0.25916,0.30146
1985,Baden-Wuerttemberg,Urban regions,Never,0.49749,864,1734,0.47395,0.52103
1985,Baden-Wuerttemberg,Rural regions,Seldom,0.29761,92,238,0.23940,0.35582
1985,Baden-Wuerttemberg,Rural regions,Never,0.52728,146,238,0.46372,0.59084
1985,Bavaria,Urban regions,At least once per week,0.09445,94,1001,0.07632,0.11258
1985,Bavaria,Urban regions,At least once per month,0.15561,168,1001,0.13314,0.17808
1985,Bavaria,Urban regions,Seldom,0.29218,305,1001,0.26399,0.32036
1985,Bavaria,Urban regions,Never,0.45776,434,1001,0.42688,0.48864
1985,Bavaria,Rural regions,At least once per week,0.11048,101,880,0.08976,0.13120
1985,Bavaria,Rural regions,At least once per month,0.10310,100,880,0.08300,0.12321
1985,Bavaria,Rural regions,Seldom,0.30108,282,880,0.27075,0.33141
1985,Bavaria,Rural regions,Never,0.48534,397,880,0.45230,0.51838
1985,Berlin,Urban regions,At least once per week,0.10693,37,364,0.07514,0.13872
1985,Berlin,Urban regions,At least once per month,0.16517,56,364,0.12697,0.20337
1985,Berlin,Urban regions,Seldom,0.30569,127,364,0.25830,0.35309
1985,Berlin,Urban regions,Never,0.42221,144,364,0.37140,0.47302
1986,Schleswig-Holstein,Urban regions,Seldom,0.41176,59,121,0.32370,0.49981
1986,Schleswig-Holstein,Urban regions,Never,0.38343,62,121,0.29643,0.47042
1986,Schleswig-Holstein,Rural regions,Seldom,0.41529,71,127,0.32925,0.50134
1986,Schleswig-Holstein,Rural regions,Never,0.34913,56,127,0.26590,0.43237
1986,Hamburg,Urban regions,At least once per month,0.18330,46,231,0.13330,0.23331
1986,Hamburg,Urban regions,Seldom,0.33914,80,231,0.27795,0.40032
1986,Hamburg,Urban regions,Never,0.43155,105,231,0.36754,0.49557
1986,Lower Saxony,Urban regions,At least once per week,0.10230,54,527,0.07640,0.12820
1986,Lower Saxony,Urban regions,At least once per month,0.14223,78,527,0.11238,0.17208
1986,Lower Saxony,Urban regions,Seldom,0.40599,219,527,0.36402,0.44795
1986,Lower Saxony,Urban regions,Never,0.34949,176,527,0.30874,0.39024
1986,Lower Saxony,Rural regions,At least once per week,0.11574,62,573,0.08952,0.14196
1986,Lower Saxony,Rural regions,At least once per month,0.10691,71,573,0.08159,0.13223
1986,Lower Saxony,Rural regions,Seldom,0.33202,211,573,0.29343,0.37062
1986,Lower Saxony,Rural regions,Never,0.44533,229,573,0.40460,0.48606
1986,Bremen,Urban regions,Never,0.66547,62,62,0.54706,0.78387
1986,North Rhine-Westphalia,Urban regions,At least once per week,0.08022,227,2766,0.07009,0.09034
1986,North Rhine-Westphalia,Urban regions,At least once per month,0.14532,421,2766,0.13218,0.15846
1986,North Rhine-Westphalia,Urban regions,Seldom,0.29842,867,2766,0.28137,0.31548
1986,North Rhine-Westphalia,Urban regions,Never,0.47604,1251,2766,0.45742,0.49465
1986,North Rhine-Westphalia,Rural regions,Never,0.51031,36,36,0.34469,0.67592
1986,Hesse,Urban regions,At least once per week,0.09757,89,903,0.07820,0.11693
1986,Hesse,Urban regions,At least once per month,0.13745,126,903,0.11498,0.15992
1986,Hesse,Urban regions,Seldom,0.34246,308,903,0.31149,0.37343
1986,Hesse,Urban regions,Never,0.42252,380,903,0.39028,0.45476
1986,Hesse,Rural regions,Seldom,0.20819,34,102,0.12901,0.28738
1986,Hesse,Rural regions,Never,0.51110,68,102,0.41361,0.60859
1986,"Rhineland-Palatinate, Saarland",Urban regions,At least once per week,0.07622,51,620,0.05531,0.09712
1986,"Rhineland-Palatinate, Saarland",Urban regions,At least once per month,0.10976,72,620,0.08514,0.13439
1986,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.30606,201,620,0.26976,0.34237
1986,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.50796,296,620,0.46857,0.54734
