"pli0091_h","year","sampreg","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nie","2018","Westdeutschland","weiblich","821","0.749494969945037","0.723747993838052","0.775241946052022"
"Nie","2018","Ostdeutschland","maennlich","195","0.621623199034454","0.564715392430631","0.678531005638276"
"Nie","2018","Ostdeutschland","weiblich","153","0.698426897666698","0.634011815454068","0.762841979879329"
"Taeglich","2019","Westdeutschland","maennlich","5","","",""
"Taeglich","2019","Westdeutschland","weiblich","10","","",""
"Taeglich","2019","Ostdeutschland","maennlich","","","",""
"Taeglich","2019","Ostdeutschland","weiblich","1","","",""
"Min 1x pro Woche","2019","Westdeutschland","maennlich","234","0.0207067719601754","0.0180715190166904","0.0233420249036605"
"Min 1x pro Woche","2019","Westdeutschland","weiblich","224","0.0193734748490424","0.0168645536398735","0.0218823960582113"
"Min 1x pro Woche","2019","Ostdeutschland","maennlich","45","0.0177946003574309","0.0129729604321235","0.0226162402827383"
"Min 1x pro Woche","2019","Ostdeutschland","weiblich","63","0.0206990693463893","0.0156863799359108","0.0257117587568677"
"Min 1x pro Monat","2019","Westdeutschland","maennlich","2312","0.223913759359607","0.216199306780692","0.231628211938522"
"Min 1x pro Monat","2019","Westdeutschland","weiblich","2372","0.205976324759584","0.198614985704322","0.213337663814847"
"Min 1x pro Monat","2019","Ostdeutschland","maennlich","489","0.179694543027946","0.165692070115312","0.193697015940579"
"Min 1x pro Monat","2019","Ostdeutschland","weiblich","552","0.176506562816463","0.163083618053174","0.189929507579753"
"Seltener","2019","Westdeutschland","maennlich","4939","0.46045217615402","0.451228225548743","0.469676126759296"
"Seltener","2019","Westdeutschland","weiblich","5198","0.435831059206707","0.426805063596036","0.444857054817377"
"Seltener","2019","Ostdeutschland","maennlich","1375","0.470647031727248","0.452442905639144","0.488851157815353"
"Seltener","2019","Ostdeutschland","weiblich","1488","0.476800324781142","0.459215448910217","0.494385200652066"
"Nie","2019","Westdeutschland","maennlich","3727","0.294729212482794","0.286291994478427","0.30316643048716"
"Nie","2019","Westdeutschland","weiblich","3790","0.337644649589083","0.32903655751817","0.346252741659997"
"Nie","2019","Ostdeutschland","maennlich","979","0.331863824887375","0.314690201013965","0.349037448760784"
"Nie","2019","Ostdeutschland","weiblich","995","0.325928501231026","0.309425936118557","0.342431066343495"
