"pli0091_h","year","sampreg","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Seltener","1986","Westdeutschland","weiblich","1629","0.28879774103906","0.276601112617123","0.300994369460996"
"Seltener","1986","Ostdeutschland","maennlich","","","",""
"Seltener","1986","Ostdeutschland","weiblich","","","",""
"Nie","1986","Westdeutschland","maennlich","2010","0.392649237950306","0.379369867547227","0.405928608353385"
"Nie","1986","Westdeutschland","weiblich","2696","0.531828664697827","0.518399944842397","0.545257384553257"
"Nie","1986","Ostdeutschland","maennlich","","","",""
"Nie","1986","Ostdeutschland","weiblich","","","",""
"Taeglich","1987","Westdeutschland","maennlich","","","",""
"Taeglich","1987","Westdeutschland","weiblich","","","",""
"Taeglich","1987","Ostdeutschland","maennlich","","","",""
"Taeglich","1987","Ostdeutschland","weiblich","","","",""
"Min 1x pro Woche","1987","Westdeutschland","maennlich","","","",""
"Min 1x pro Woche","1987","Westdeutschland","weiblich","","","",""
"Min 1x pro Woche","1987","Ostdeutschland","maennlich","","","",""
"Min 1x pro Woche","1987","Ostdeutschland","weiblich","","","",""
"Min 1x pro Monat","1987","Westdeutschland","maennlich","","","",""
"Min 1x pro Monat","1987","Westdeutschland","weiblich","","","",""
"Min 1x pro Monat","1987","Ostdeutschland","maennlich","","","",""
"Min 1x pro Monat","1987","Ostdeutschland","weiblich","","","",""
"Seltener","1987","Westdeutschland","maennlich","","","",""
"Seltener","1987","Westdeutschland","weiblich","","","",""
"Seltener","1987","Ostdeutschland","maennlich","","","",""
"Seltener","1987","Ostdeutschland","weiblich","","","",""
"Nie","1987","Westdeutschland","maennlich","","","",""
"Nie","1987","Westdeutschland","weiblich","","","",""
"Nie","1987","Ostdeutschland","maennlich","","","",""
"Nie","1987","Ostdeutschland","weiblich","","","",""
"Taeglich","1988","Westdeutschland","maennlich","","","",""
"Taeglich","1988","Westdeutschland","weiblich","","","",""
"Taeglich","1988","Ostdeutschland","maennlich","","","",""
"Taeglich","1988","Ostdeutschland","weiblich","","","",""
"Min 1x pro Woche","1988","Westdeutschland","maennlich","553","0.104295367178464","0.0957313919562982","0.11285934240063"
"Min 1x pro Woche","1988","Westdeutschland","weiblich","310","0.0594411237416787","0.0528800059030858","0.0660022415802715"
"Min 1x pro Woche","1988","Ostdeutschland","maennlich","","","",""
"Min 1x pro Woche","1988","Ostdeutschland","weiblich","","","",""
"Min 1x pro Monat","1988","Westdeutschland","maennlich","891","0.177934065203271","0.167217802299196","0.188650328107347"
"Min 1x pro Monat","1988","Westdeutschland","weiblich","630","0.121195734205393","0.112139845339048","0.130251623071737"
"Min 1x pro Monat","1988","Ostdeutschland","maennlich","","","",""
"Min 1x pro Monat","1988","Ostdeutschland","weiblich","","","",""
"Seltener","1988","Westdeutschland","maennlich","1572","0.339279262870752","0.326013014927789","0.352545510813715"
"Seltener","1988","Westdeutschland","weiblich","1515","0.298164718012201","0.285471052111955","0.310858383912448"
"Seltener","1988","Ostdeutschland","maennlich","","","",""
"Seltener","1988","Ostdeutschland","weiblich","","","",""
"Nie","1988","Westdeutschland","maennlich","1877","0.378491304747513","0.364901536799162","0.392081072695864"
"Nie","1988","Westdeutschland","weiblich","2534","0.521198424040728","0.507336590747507","0.535060257333948"
"Nie","1988","Ostdeutschland","maennlich","","","",""
"Nie","1988","Ostdeutschland","weiblich","","","",""
"Taeglich","1989","Westdeutschland","maennlich","","","",""
"Taeglich","1989","Westdeutschland","weiblich","","","",""
"Taeglich","1989","Ostdeutschland","maennlich","","","",""
"Taeglich","1989","Ostdeutschland","weiblich","","","",""
"Min 1x pro Woche","1989","Westdeutschland","maennlich","","","",""
"Min 1x pro Woche","1989","Westdeutschland","weiblich","","","",""
"Min 1x pro Woche","1989","Ostdeutschland","maennlich","","","",""
"Min 1x pro Woche","1989","Ostdeutschland","weiblich","","","",""
"Min 1x pro Monat","1989","Westdeutschland","maennlich","","","",""
"Min 1x pro Monat","1989","Westdeutschland","weiblich","","","",""
"Min 1x pro Monat","1989","Ostdeutschland","maennlich","","","",""
"Min 1x pro Monat","1989","Ostdeutschland","weiblich","","","",""
"Seltener","1989","Westdeutschland","maennlich","","","",""
"Seltener","1989","Westdeutschland","weiblich","","","",""
"Seltener","1989","Ostdeutschland","maennlich","","","",""
"Seltener","1989","Ostdeutschland","weiblich","","","",""
"Nie","1989","Westdeutschland","maennlich","","","",""
"Nie","1989","Westdeutschland","weiblich","","","",""
"Nie","1989","Ostdeutschland","maennlich","","","",""
"Nie","1989","Ostdeutschland","weiblich","","","",""
"Taeglich","1990","Westdeutschland","maennlich","9","","",""
"Taeglich","1990","Westdeutschland","weiblich","3","","",""
"Taeglich","1990","Ostdeutschland","maennlich","","","",""
"Taeglich","1990","Ostdeutschland","weiblich","","","",""
"Min 1x pro Woche","1990","Westdeutschland","maennlich","337","0.0658080554179949","0.0586799745302539","0.0729361363057359"
"Min 1x pro Woche","1990","Westdeutschland","weiblich","207","0.0374095382287067","0.032029423629419","0.0427896528279945"
"Min 1x pro Woche","1990","Ostdeutschland","maennlich","241","0.119996161572633","0.10602775695353","0.133964566191736"
