year,bula_h,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,At least once per week,0.10998,40,350,0.07715,0.14280
1985,Schleswig-Holstein,At least once per month,0.12769,45,350,0.09268,0.16271
1985,Schleswig-Holstein,Seldom,0.36160,136,350,0.31119,0.41201
1985,Schleswig-Holstein,Never,0.40073,129,350,0.34931,0.45214
1985,Hamburg,At least once per month,0.15659,48,252,0.11163,0.20155
1985,Hamburg,Seldom,0.28715,79,252,0.23118,0.34312
1985,Hamburg,Never,0.47177,125,252,0.41001,0.53353
1985,Lower Saxony,At least once per week,0.10052,113,1091,0.08267,0.11837
1985,Lower Saxony,At least once per month,0.12240,142,1091,0.10295,0.14186
1985,Lower Saxony,Seldom,0.36089,415,1091,0.33238,0.38940
1985,Lower Saxony,Never,0.41618,421,1091,0.38692,0.44545
1985,Bremen,Seldom,0.31820,41,98,0.22550,0.41089
1985,Bremen,Never,0.57197,57,98,0.47350,0.67044
1985,North Rhine-Westphalia,At least once per week,0.07746,237,2931,0.06778,0.08714
1985,North Rhine-Westphalia,At least once per month,0.12913,381,2931,0.11699,0.14127
1985,North Rhine-Westphalia,Seldom,0.31252,927,2931,0.29573,0.32930
1985,North Rhine-Westphalia,Never,0.48090,1386,2931,0.46281,0.49899
1985,Hesse,At least once per week,0.11745,127,1114,0.09853,0.13636
1985,Hesse,At least once per month,0.13002,148,1114,0.11026,0.14977
1985,Hesse,Seldom,0.32950,357,1114,0.30189,0.35711
1985,Hesse,Never,0.42304,482,1114,0.39401,0.45206
1985,"Rhineland-Palatinate, Saarland",At least once per week,0.07595,61,757,0.05706,0.09483
1985,"Rhineland-Palatinate, Saarland",At least once per month,0.12895,103,757,0.10506,0.15284
1985,"Rhineland-Palatinate, Saarland",Seldom,0.27946,227,757,0.24747,0.31145
1985,"Rhineland-Palatinate, Saarland",Never,0.51565,366,757,0.48002,0.55127
1985,Baden-Wuerttemberg,At least once per week,0.08155,196,2026,0.06963,0.09347
1985,Baden-Wuerttemberg,At least once per month,0.13339,258,2026,0.11858,0.14819
1985,Baden-Wuerttemberg,Seldom,0.28298,562,2026,0.26336,0.30260
1985,Baden-Wuerttemberg,Never,0.50208,1010,2026,0.48031,0.52386
1985,Bavaria,At least once per week,0.10238,195,1881,0.08868,0.11608
1985,Bavaria,At least once per month,0.12963,268,1881,0.11445,0.14482
1985,Bavaria,Seldom,0.29658,587,1881,0.27593,0.31723
1985,Bavaria,Never,0.47140,831,1881,0.44884,0.49397
1985,Berlin,At least once per week,0.10693,37,364,0.07514,0.13872
1985,Berlin,At least once per month,0.16517,56,364,0.12697,0.20337
1985,Berlin,Seldom,0.30569,127,364,0.25830,0.35309
1985,Berlin,Never,0.42221,144,364,0.37140,0.47302
1986,Schleswig-Holstein,At least once per week,0.09398,33,320,0.06196,0.12600
1986,Schleswig-Holstein,At least once per month,0.12795,39,320,0.09130,0.16461
1986,Schleswig-Holstein,Seldom,0.41373,130,320,0.35968,0.46777
1986,Schleswig-Holstein,Never,0.36434,118,320,0.31153,0.41715
1986,Hamburg,At least once per month,0.17760,46,237,0.12884,0.22636
1986,Hamburg,Seldom,0.34237,83,237,0.28183,0.40291
1986,Hamburg,Never,0.43545,108,237,0.37219,0.49871
1986,Lower Saxony,At least once per week,0.10966,116,1100,0.09119,0.12814
1986,Lower Saxony,At least once per month,0.12288,149,1100,0.10347,0.14229
1986,Lower Saxony,Seldom,0.36547,430,1100,0.33700,0.39394
1986,Lower Saxony,Never,0.40198,405,1100,0.37299,0.43097
1986,Bremen,Never,0.66547,62,62,0.54706,0.78387
1986,North Rhine-Westphalia,At least once per week,0.07941,231,2835,0.06946,0.08937
1986,North Rhine-Westphalia,At least once per month,0.14607,431,2835,0.13307,0.15908
1986,North Rhine-Westphalia,Seldom,0.29744,886,2835,0.28061,0.31427
1986,North Rhine-Westphalia,Never,0.47707,1287,2835,0.45868,0.49546
1986,Hesse,At least once per week,0.10476,108,1045,0.08618,0.12333
1986,Hesse,At least once per month,0.13771,147,1045,0.11680,0.15861
1986,Hesse,Seldom,0.32059,342,1045,0.29228,0.34890
1986,Hesse,Never,0.43695,448,1045,0.40686,0.46704
1986,"Rhineland-Palatinate, Saarland",At least once per week,0.08266,69,765,0.06313,0.10219
1986,"Rhineland-Palatinate, Saarland",At least once per month,0.10835,90,765,0.08631,0.13039
1986,"Rhineland-Palatinate, Saarland",Seldom,0.28780,234,765,0.25570,0.31991
1986,"Rhineland-Palatinate, Saarland",Never,0.52118,372,765,0.48576,0.55661
1986,Baden-Wuerttemberg,At least once per week,0.07892,177,1972,0.06702,0.09083
1986,Baden-Wuerttemberg,At least once per month,0.12272,246,1972,0.10824,0.13721
1986,Baden-Wuerttemberg,Seldom,0.27789,542,1972,0.25812,0.29767
1986,Baden-Wuerttemberg,Never,0.52046,1007,1972,0.49841,0.54252
1986,Bavaria,At least once per week,0.09416,177,1754,0.08049,0.10783
1986,Bavaria,At least once per month,0.15421,288,1754,0.13730,0.17111
1986,Bavaria,Seldom,0.29160,519,1754,0.27033,0.31288
1986,Bavaria,Never,0.46003,770,1754,0.43670,0.48337
1986,Berlin,At least once per week,0.09887,36,348,0.06746,0.13028
1986,Berlin,At least once per month,0.17117,61,348,0.13154,0.21081
1986,Berlin,Seldom,0.32687,122,348,0.27752,0.37623
1986,Berlin,Never,0.40308,129,348,0.35147,0.45470
1988,Schleswig-Holstein,At least once per week,0.09445,35,319,0.06231,0.12659
1988,Schleswig-Holstein,At least once per month,0.11697,38,319,0.08165,0.15230
1988,Schleswig-Holstein,Seldom,0.41722,131,319,0.36302,0.47142
1988,Schleswig-Holstein,Never,0.37136,115,319,0.31825,0.42447
1988,Hamburg,Seldom,0.33243,62,152,0.25729,0.40757
1988,Hamburg,Never,0.43746,90,152,0.35834,0.51659
1988,Lower Saxony,At least once per week,0.10171,113,1036,0.08330,0.12013
1988,Lower Saxony,At least once per month,0.15438,179,1036,0.13237,0.17640
1988,Lower Saxony,Seldom,0.34744,368,1036,0.31843,0.37645
1988,Lower Saxony,Never,0.39647,376,1036,0.36666,0.42627
1988,Bremen,Seldom,0.35255,37,82,0.24850,0.45659
1988,Bremen,Never,0.51534,45,82,0.40650,0.62417
1988,North Rhine-Westphalia,At least once per week,0.07927,222,2677,0.06904,0.08951
1988,North Rhine-Westphalia,At least once per month,0.14348,400,2677,0.13020,0.15676
1988,North Rhine-Westphalia,Seldom,0.31338,824,2677,0.29580,0.33096
1988,North Rhine-Westphalia,Never,0.46387,1231,2677,0.44497,0.48276
1988,Hesse,At least once per week,0.08521,85,995,0.06786,0.10257
1988,Hesse,At least once per month,0.14892,149,995,0.12679,0.17105
1988,Hesse,Seldom,0.25934,249,995,0.23210,0.28659
1988,Hesse,Never,0.50653,512,995,0.47544,0.53761
1988,"Rhineland-Palatinate, Saarland",At least once per week,0.05562,47,730,0.03899,0.07226
1988,"Rhineland-Palatinate, Saarland",At least once per month,0.13652,103,730,0.11160,0.16145
1988,"Rhineland-Palatinate, Saarland",Seldom,0.28198,223,730,0.24932,0.31464
1988,"Rhineland-Palatinate, Saarland",Never,0.52587,357,730,0.48962,0.56212
1988,Baden-Wuerttemberg,At least once per week,0.06461,152,1876,0.05348,0.07574
1988,Baden-Wuerttemberg,At least once per month,0.16380,300,1876,0.14705,0.18055
1988,Baden-Wuerttemberg,Seldom,0.30268,530,1876,0.28189,0.32348
1988,Baden-Wuerttemberg,Never,0.46891,894,1876,0.44632,0.49150
1988,Bavaria,At least once per week,0.09449,164,1620,0.08024,0.10874
1988,Bavaria,At least once per month,0.15027,253,1620,0.13286,0.16768
1988,Bavaria,Seldom,0.32690,545,1620,0.30405,0.34975
1988,Bavaria,Never,0.42834,658,1620,0.40423,0.45244
1988,Berlin,At least once per month,0.16147,55,306,0.12017,0.20277
1988,Berlin,Seldom,0.35610,118,306,0.30236,0.40984
1988,Berlin,Never,0.40999,133,306,0.35479,0.46519
1990,Schleswig-Holstein,At least once per month,0.14729,43,266,0.10462,0.18996
1990,Schleswig-Holstein,Seldom,0.41188,111,266,0.35262,0.47114
1990,Schleswig-Holstein,Never,0.38012,112,266,0.32167,0.43856
1990,Hamburg,Seldom,0.33396,49,132,0.25320,0.41473
1990,Hamburg,Never,0.48028,83,132,0.39472,0.56583
1990,Lower Saxony,At least once per week,0.06003,68,974,0.04510,0.07495
1990,Lower Saxony,At least once per month,0.13662,145,974,0.11504,0.15820
1990,Lower Saxony,Seldom,0.33715,340,974,0.30745,0.36686
1990,Lower Saxony,Never,0.46620,421,974,0.43485,0.49754
1990,Bremen,Never,0.56945,52,52,0.43355,0.70535
